ch0_C,ch1_C,ch2_C,ch3_C,ch4_C,ch5_C,ch6_C,ch7_C,ch8_C,ch9_C,ch10_C,ch11_C,ch12_C,ch13_C,ch14_C,ch15_C,ch16_C,ch17_C,ch18_C,ch19_C,ch20_C,ch21_C,ch22_C,ch23_C,ch24_C,ch25_C,ch26_C,ch27_C,ch28_C,ch29_C,ch30_C,ch31_C
917,916,917,915,917,912,916,916,918,912,915,917,918,916,914,918,917,918,915,919,916,917,916,916,916,916,916,919,918,918,920,916
917,917,917,915,917,913,917,916,917,914,917,917,918,916,914,918,917,917,915,921,917,917,916,917,915,915,917,918,918,918,920,915
917,917,917,915,918,914,918,916,917,914,917,918,919,916,915,918,917,917,915,919,916,917,916,916,915,916,916,918,918,918,920,916
917,916,916,915,917,913,917,915,916,914,915,918,917,916,914,918,917,917,915,920,916,916,916,916,916,915,916,917,918,918,918,916
916,916,916,914,918,912,917,915,918,911,916,918,918,914,915,919,918,918,915,920,916,916,916,917,916,914,916,918,918,918,920,915
917,917,917,916,917,913,917,916,918,914,917,918,918,915,914,918,918,917,915,919,916,917,916,916,916,915,916,918,917,918,920,916
917,916,916,915,918,914,916,916,916,913,916,918,919,914,914,918,918,916,915,919,916,916,917,916,916,914,916,918,917,917,920,915
917,916,917,915,917,913,917,916,916,913,917,918,919,915,914,917,917,918,915,921,916,917,916,917,915,914,916,919,918,917,921,915
917,917,917,915,918,914,918,916,917,914,916,918,918,915,914,918,917,917,916,918,916,916,917,917,916,915,916,918,917,918,919,916
917,917,917,916,918,914,918,916,917,914,917,919,918,915,914,917,917,918,915,919,917,917,916,916,916,915,916,918,918,918,920,916
917,916,917,915,918,913,918,916,917,914,917,918,919,916,913,918,918,918,915,920,916,916,916,916,916,915,916,917,918,918,920,915
918,917,917,914,919,913,918,918,918,914,917,918,919,916,915,919,918,917,916,920,917,917,917,917,916,916,916,918,917,918,921,916
917,917,917,916,918,913,917,916,917,914,916,917,918,916,914,918,917,917,915,919,917,916,916,917,915,915,916,917,918,919,920,915
917,915,916,914,916,914,917,916,916,913,916,918,919,914,914,917,918,918,916,919,916,916,916,917,915,915,917,918,917,917,920,916
917,917,917,915,918,913,917,916,916,914,917,918,919,916,915,918,917,917,916,920,916,917,916,916,915,915,916,919,917,918,919,915
917,917,917,916,918,914,918,916,917,913,917,918,920,916,914,917,917,918,915,920,916,916,916,917,916,916,916,917,917,918,920,915
917,917,917,915,917,913,917,915,917,913,915,917,918,915,913,918,918,917,915,920,915,916,916,916,914,914,916,918,917,918,920,915
917,916,916,915,917,914,917,916,917,914,916,917,919,915,914,918,917,917,916,920,916,917,916,916,914,914,915,918,917,917,920,916
918,917,917,916,917,914,917,916,917,915,917,918,919,915,914,919,917,918,916,920,916,916,917,917,915,916,917,918,919,918,920,916
917,917,917,914,917,913,918,916,916,913,916,917,918,915,914,918,917,916,916,920,916,917,917,916,915,915,916,917,917,918,920,916
916,916,916,914,916,914,918,917,918,913,916,917,918,914,914,918,917,918,914,919,916,916,916,916,916,915,916,918,917,918,920,916
917,917,917,915,917,914,917,917,917,914,916,918,919,915,914,918,917,916,916,920,916,916,917,916,915,915,916,918,918,917,919,916
917,916,917,914,917,913,917,915,916,913,916,917,919,915,914,917,917,917,915,920,917,917,916,917,915,915,916,918,917,917,920,916
917,916,916,915,916,913,916,915,917,912,915,916,918,915,914,917,917,917,915,919,916,917,916,916,914,915,916,917,917,916,920,916
917,916,916,915,917,913,918,916,917,914,916,917,919,914,915,918,917,918,916,919,916,916,916,917,914,915,916,917,918,918,920,916
917,916,917,914,917,914,917,916,917,913,916,917,917,915,914,918,918,918,915,920,917,916,917,917,916,914,916,918,918,917,920,916
917,916,916,915,918,912,917,916,918,913,916,917,918,915,913,916,918,917,915,919,916,917,916,916,915,915,917,917,917,918,920,915
917,917,917,915,918,914,918,915,917,914,917,918,918,915,915,918,918,917,915,919,916,916,917,917,916,915,916,918,919,918,920,916
917,917,917,915,917,914,918,915,916,914,917,919,918,916,914,918,917,918,916,920,917,916,917,917,915,914,916,918,918,917,920,916
917,916,916,915,918,913,917,916,917,914,917,918,919,915,914,919,918,918,915,920,917,917,918,917,916,915,916,918,918,918,920,915
917,916,917,915,918,914,918,916,917,914,917,918,918,915,914,918,917,916,915,919,916,916,917,916,915,914,916,918,917,918,919,916
918,917,917,915,918,914,917,916,917,914,917,919,919,916,915,918,917,917,915,920,917,917,916,918,916,915,918,918,918,918,920,917
917,916,916,915,918,913,918,916,917,912,916,917,917,914,914,918,917,918,915,920,916,916,917,916,916,915,916,918,917,917,920,915
917,917,917,915,917,913,918,916,917,913,916,918,919,915,915,918,917,918,914,919,916,916,916,917,915,916,916,918,918,918,920,916
917,917,917,916,918,913,917,916,917,913,916,918,918,916,914,919,916,917,916,920,916,917,917,917,916,916,917,918,916,917,920,916
916,915,916,915,917,914,917,916,917,913,915,918,917,915,914,917,918,917,915,919,917,916,916,916,915,914,916,919,917,917,919,915
917,916,917,915,917,913,917,915,917,913,917,917,920,915,914,918,917,918,915,919,917,917,916,916,915,916,916,918,917,918,921,916
917,916,917,916,918,914,917,917,918,914,916,917,921,916,914,919,918,918,915,920,916,916,917,917,915,915,917,918,917,918,921,916
917,916,916,915,916,913,917,915,916,913,916,917,918,915,914,919,917,918,914,920,916,917,916,918,915,915,917,917,917,917,920,915
917,917,917,915,917,912,917,916,917,913,916,918,918,915,914,918,918,917,915,921,916,916,917,916,916,916,916,918,918,918,920,916
917,917,917,915,918,913,919,916,918,914,916,918,919,916,915,918,918,918,916,920,917,916,918,916,916,915,916,918,918,919,920,917
917,916,917,914,918,914,917,916,917,914,915,918,917,915,914,918,917,918,916,920,916,916,917,916,915,915,916,918,918,918,920,916
917,917,917,915,918,913,917,917,916,913,917,918,918,914,914,918,917,918,917,920,916,917,917,916,915,915,917,918,918,918,920,916
917,917,917,915,918,914,917,918,917,914,916,918,919,914,915,918,918,917,914,920,916,916,916,916,916,915,916,917,917,918,920,915
917,917,917,915,917,913,916,916,918,914,917,918,919,915,915,918,918,918,915,920,917,916,917,916,916,915,916,918,917,918,920,916
