Vth_T ,6bit_Vth,VinDac,#1
150,4,255,0.000000000
151,4,255,0.000000000
152,4,255,0.000000000
153,4,255,0.000000000
154,4,255,0.000000000
155,4,255,0.000000000
156,4,255,0.000000000
157,4,255,0.000000000
158,4,255,0.000000000
159,4,255,0.000000000
160,4,255,0.000000000
161,4,255,0.000000000
162,4,255,0.000000000
163,4,255,0.000000000
164,4,255,0.000000000
165,4,255,0.000000000
166,4,255,0.000000000
167,4,255,0.000000000
168,4,255,0.000000000
169,4,255,0.000000000
170,4,255,0.000000000
171,4,255,0.000000000
172,4,255,0.000000000
173,4,255,0.000000000
174,4,255,0.000000000
175,4,255,0.000000000
176,4,255,0.000000000
177,4,255,0.000000000
178,4,255,0.000000000
179,4,255,0.000000000
180,4,255,0.000000000
181,4,255,0.000000000
182,4,255,0.000000000
183,4,255,0.000000000
184,4,255,0.000000000
185,4,255,0.000000000
186,4,255,0.000000000
187,4,255,0.000000000
188,4,255,0.000000000
189,4,255,0.000000000
190,4,255,0.000000000
191,4,255,0.000000000
192,4,255,0.000000000
193,4,255,0.000000000
194,4,255,0.000000000
195,4,255,0.000000000
196,4,255,0.000000000
197,4,255,0.000000000
198,4,255,0.000000000
199,4,255,0.000000000
200,4,255,0.000000000
201,4,255,0.000000000
202,4,255,0.000000000
203,4,255,0.000000000
204,4,255,0.000000000
205,4,255,0.000000000
206,4,255,0.000000000
207,4,255,0.000000000
208,4,255,0.000000000
209,4,255,0.000000000
210,4,255,0.000000000
211,4,255,0.000000000
212,4,255,0.000000000
213,4,255,0.000000000
214,4,255,0.000000000
215,4,255,0.000000000
216,4,255,0.000000000
217,4,255,0.000000000
218,4,255,0.000000000
219,4,255,0.000000000
220,4,255,0.000000000
221,4,255,0.000000000
222,4,255,0.000000000
223,4,255,0.000000000
224,4,255,0.000000000
225,4,255,0.000000000
226,4,255,0.000000000
227,4,255,0.000000000
228,4,255,0.000000000
229,4,255,0.000000000
230,4,255,0.000000000
231,4,255,0.000000000
232,4,255,0.000000000
233,4,255,0.000000000
234,4,255,0.000000000
235,4,255,0.000000000
236,4,255,0.000000000
237,4,255,0.000000000
238,4,255,0.000000000
239,4,255,0.000000000
240,4,255,0.000000000
241,4,255,0.000000000
242,4,255,0.000000000
243,4,255,0.000000000
244,4,255,0.000000000
245,4,255,0.000000000
246,4,255,0.000000000
247,4,255,0.000000000
248,4,255,0.000000000
249,4,255,0.000000000
250,4,255,0.000000000
251,4,255,0.000000000
252,4,255,0.000000000
253,4,255,0.000000000
254,4,255,0.000000000
255,4,255,0.000000000
256,4,255,0.000000000
257,4,255,0.000000000
258,4,255,0.000000000
259,4,255,0.000000000
260,4,255,0.000000000
261,4,255,0.000000000
262,4,255,0.000000000
263,4,255,0.000000000
264,4,255,0.000000000
265,4,255,0.000000000
266,4,255,0.000000000
267,4,255,0.000000000
268,4,255,0.000000000
269,4,255,0.000000000
270,4,255,0.000000000
271,4,255,0.000000000
272,4,255,0.000000000
273,4,255,0.000000000
274,4,255,0.000000000
275,4,255,0.000000000
276,4,255,0.000000000
277,4,255,0.000000000
278,4,255,0.000000000
279,4,255,0.000000000
280,4,255,0.000000000
281,4,255,0.000000000
282,4,255,0.000000000
283,4,255,0.000000000
284,4,255,0.000000000
285,4,255,0.000000000
286,4,255,0.000000000
287,4,255,0.000000000
288,4,255,0.000000000
289,4,255,0.000000000
290,4,255,0.000000000
291,4,255,0.000000000
292,4,255,0.000000000
293,4,255,0.000000000
294,4,255,0.000000000
295,4,255,0.000000000
296,4,255,0.000000000
297,4,255,0.000000000
298,4,255,0.000000000
299,4,255,0.000000000
300,4,255,0.000000000
301,4,255,0.000000000
302,4,255,0.000000000
303,4,255,0.000000000
304,4,255,0.000000000
305,4,255,0.000000000
306,4,255,0.000000000
307,4,255,0.000000000
308,4,255,0.000000000
309,4,255,0.000000000
310,4,255,0.000000000
311,4,255,0.000000000
312,4,255,0.000000000
313,4,255,0.000000000
314,4,255,0.000000000
315,4,255,0.000000000
316,4,255,0.000000000
317,4,255,0.000000000
318,4,255,0.000000000
319,4,255,0.000000000
320,4,255,0.000000000
321,4,255,0.000000000
322,4,255,0.000300000
323,4,255,0.000000000
324,4,255,0.000000000
325,4,255,0.000000000
326,4,255,0.000000000
327,4,255,0.000000000
328,4,255,0.000000000
329,4,255,0.000000000
330,4,255,0.001400000
331,4,255,0.001200000
332,4,255,0.004900000
333,4,255,0.007400000
334,4,255,0.013200000
335,4,255,0.026300000
336,4,255,0.062100000
337,4,255,0.210100000
338,4,255,0.553000000
339,4,255,1.680700000
340,4,255,3.874200000
341,4,255,7.848500000
342,4,255,12.535500000
343,4,255,31.741300000
344,4,255,49.904100000
345,4,255,65.823000000
346,4,255,70.915400000
347,4,255,79.255000000
348,4,255,79.938800000
349,4,255,82.004600000
350,4,255,82.587200000
351,4,255,83.008900000
352,4,255,83.597500000
353,4,255,83.917900000
354,4,255,84.423200000
355,4,255,84.700100000
356,4,255,85.161300000
357,4,255,85.706000000
358,4,255,86.416300000
359,4,255,87.515600000
360,4,255,88.461100000
361,4,255,89.519900000
362,4,255,90.895400000
363,4,255,91.954400000
364,4,255,93.664000000
365,4,255,95.661400000
366,4,255,98.535100000
367,4,255,99.382600000
368,4,255,99.486800000
369,4,255,99.823100000
370,4,255,99.931900000
371,4,255,99.967900000
372,4,255,99.988900000
373,4,255,99.996400000
374,4,255,99.999500000
375,4,255,99.999900000
376,4,255,100.000000000
377,4,255,100.000000000
378,4,255,100.000000000
379,4,255,100.000000000
380,4,255,100.000000000
381,4,255,100.000000000
382,4,255,100.000000000
383,4,255,100.000000000
384,4,255,100.000000000
385,4,255,100.000000000
386,4,255,100.000000000
387,4,255,100.000000000
388,4,255,100.000000000
389,4,255,100.000000000
390,4,255,100.000000000
391,4,255,100.000000000
392,4,255,100.000000000
393,4,255,100.000000000
394,4,255,100.000000000
395,4,255,100.000000000
396,4,255,100.000000000
397,4,255,100.000000000
398,4,255,100.000000000
399,4,255,100.000000000
400,4,255,100.000000000
