Vth_T ,6bit_Vth,VinDac,#1
150,37,253,0
151,37,253,0
152,37,253,0
153,37,253,0
154,37,253,0
155,37,253,0
156,37,253,0
157,37,253,0
158,37,253,0
159,37,253,0
160,37,253,0
161,37,253,0
162,37,253,0
163,37,253,0
164,37,253,0
165,37,253,0
166,37,253,0
167,37,253,0
168,37,253,0
169,37,253,0
170,37,253,0
171,37,253,0
172,37,253,0
173,37,253,0
174,37,253,0
175,37,253,0
176,37,253,0
177,37,253,0
178,37,253,0
179,37,253,0
180,37,253,0
181,37,253,0
182,37,253,0
183,37,253,0
184,37,253,0
185,37,253,0
186,37,253,0
187,37,253,0
188,37,253,0
189,37,253,0
190,37,253,0
191,37,253,0
192,37,253,0
193,37,253,0
194,37,253,0
195,37,253,0
196,37,253,0
197,37,253,0
198,37,253,0
199,37,253,0
200,37,253,0
201,37,253,0
202,37,253,0
203,37,253,0
204,37,253,0
205,37,253,0
206,37,253,0
207,37,253,0
208,37,253,0
209,37,253,0
210,37,253,0
211,37,253,0
212,37,253,0
213,37,253,0
214,37,253,0
215,37,253,0
216,37,253,0
217,37,253,0
218,37,253,0
219,37,253,0
220,37,253,0
221,37,253,0
222,37,253,0
223,37,253,0
224,37,253,0
225,37,253,0
226,37,253,0
227,37,253,0
228,37,253,0
229,37,253,0
230,37,253,0
231,37,253,0
232,37,253,0
233,37,253,0
234,37,253,0
235,37,253,0
236,37,253,0
237,37,253,0
238,37,253,0
239,37,253,0
240,37,253,0
241,37,253,0
242,37,253,0
243,37,253,0
244,37,253,0
245,37,253,0
246,37,253,0
247,37,253,0
248,37,253,0
249,37,253,0
250,37,253,0
251,37,253,0
252,37,253,0
253,37,253,0
254,37,253,0
255,37,253,0
256,37,253,0
257,37,253,0
258,37,253,0
259,37,253,0
260,37,253,0
261,37,253,0
262,37,253,0
263,37,253,0
264,37,253,0
265,37,253,0
266,37,253,0
267,37,253,0
268,37,253,0
269,37,253,0
270,37,253,0
271,37,253,0
272,37,253,0
273,37,253,0
274,37,253,0
275,37,253,0
276,37,253,0
277,37,253,0
278,37,253,0
279,37,253,0
280,37,253,0
281,37,253,0
282,37,253,0
283,37,253,0
284,37,253,0
285,37,253,0
286,37,253,0
287,37,253,0
288,37,253,0
289,37,253,0
290,37,253,0
291,37,253,0
292,37,253,0
293,37,253,0
294,37,253,0
295,37,253,0
296,37,253,0
297,37,253,0
298,37,253,0
299,37,253,0
300,37,253,0
301,37,253,0
302,37,253,0
303,37,253,0
304,37,253,0
305,37,253,0
306,37,253,0
307,37,253,0
308,37,253,0
309,37,253,0
310,37,253,0
311,37,253,0
312,37,253,0
313,37,253,0
314,37,253,0
315,37,253,0
316,37,253,0
317,37,253,0
318,37,253,0
319,37,253,0
320,37,253,0
321,37,253,0
322,37,253,0
323,37,253,0
324,37,253,0
325,37,253,0
326,37,253,0
327,37,253,0
328,37,253,0
329,37,253,0
330,37,253,0
331,37,253,0
332,37,253,0
333,37,253,0
334,37,253,0
335,37,253,0
336,37,253,0
337,37,253,0
338,37,253,0
339,37,253,0
340,37,253,0
341,37,253,0
342,37,253,0
343,37,253,0
344,37,253,0
345,37,253,0
346,37,253,159983
347,37,253,0
348,37,253,140401
349,37,253,1271
350,37,253,177085
351,37,253,168704
352,37,253,174491
353,37,253,173204
354,37,253,171173
355,37,253,169100
356,37,253,167468
357,37,253,164781
358,37,253,161057
359,37,253,160179
360,37,253,156256
361,37,253,151839
362,37,253,147710
363,37,253,144125
364,37,253,141637
365,37,253,140546
366,37,253,136275
367,37,253,135067
368,37,253,133995
369,37,253,132037
370,37,253,130341
371,37,253,130016
372,37,253,129862
373,37,253,126466
374,37,253,132069
375,37,253,132499
376,37,253,133475
377,37,253,131874
378,37,253,130422
379,37,253,119749
380,37,253,124960
381,37,253,121308
382,37,253,110238
383,37,253,106786
384,37,253,107714
385,37,253,103663
386,37,253,95331
387,37,253,95778
388,37,253,92201
389,37,253,87723
390,37,253,79399
391,37,253,75600
392,37,253,70013
393,37,253,64255
394,37,253,56685
395,37,253,50895
396,37,253,46039
397,37,253,40078
398,37,253,33245
399,37,253,26845
400,37,253,22197
