Net Name, Vias, No Ref, Impedance Max (Ohm), Impedance Min (Ohm), Impedance Typ (Ohm), Impedance Length Max (%), Impedance Length Min (%), Impedance Length Typ (%), Trace Total Length, Trace Total Delay (ns), Trace Total R (mOhm), Trace Total L (nH), Trace Total C (pF)
IN<0>, 2, 0, 63.00, 42.70, 42.70, 2.89, 93.59, 93.59, 39.648, 0.280, 175.110, 12.243, 6.456
IN<1>, 2, 0, 63.00, 42.70, 42.70, 4.99, 88.00, 88.00, 34.174, 0.239, 143.882, 10.654, 5.412
IN<2>, 2, 0, 63.00, 42.70, 42.70, 5.31, 83.36, 83.36, 32.116, 0.226, 139.648, 10.122, 5.112
IN<3>, 2, 0, 63.00, 42.70, 42.70, 7.76, 88.68, 88.68, 32.248, 0.226, 138.024, 10.058, 5.134
IN<4>, 2, 0, 63.00, 42.70, 42.70, 11.12, 85.74, 85.74, 28.395, 0.197, 117.640, 8.894, 4.448
IN<5>, 2, 0, 63.00, 42.70, 42.70, 8.92, 89.60, 89.60, 26.924, 0.189, 114.635, 8.372, 4.296
IN<6>, 2, 0, 63.00, 41.50, 42.70, 6.42, 1.89, 84.17, 29.660, 0.207, 124.781, 9.294, 4.670
IN<7>, 2, 0, 63.00, 42.70, 42.70, 12.93, 83.87, 83.87, 24.793, 0.172, 101.340, 7.795, 3.849
IN<8>, 2, 0, 63.00, 42.70, 42.70, 10.37, 87.40, 87.40, 23.644, 0.165, 99.123, 7.383, 3.734
IN<9>, 2, 0, 63.00, 40.40, 42.70, 6.93, 1.54, 81.36, 27.464, 0.192, 115.202, 8.616, 4.324
IN<10>, 2, 0, 63.00, 42.70, 42.70, 14.58, 81.67, 81.67, 21.987, 0.152, 88.441, 6.942, 3.378
IN<11>, 2, 0, 63.00, 42.70, 42.70, 8.61, 86.98, 86.98, 22.124, 0.154, 92.479, 6.913, 3.487
IN<12>, 2, 0, 63.00, 42.70, 42.70, 7.31, 83.05, 83.05, 26.037, 0.180, 107.406, 8.208, 4.037
IN<13>, 2, 0, 63.00, 42.70, 42.70, 8.21, 86.48, 86.48, 23.200, 0.162, 98.373, 7.260, 3.675
IN<14>, 2, 0, 63.00, 42.70, 42.70, 9.98, 85.06, 85.06, 19.076, 0.132, 78.647, 5.983, 2.979
IN<15>, 2, 0, 63.00, 42.70, 42.70, 17.63, 75.62, 75.62, 19.697, 0.135, 77.291, 6.305, 2.947
IN<16>, 2, 0, 63.00, 42.70, 42.70, 12.31, 85.73, 85.73, 20.318, 0.141, 84.172, 6.366, 3.183
IN<17>, 2, 0, 63.00, 42.70, 42.70, 15.55, 76.60, 76.60, 20.940, 0.143, 81.073, 6.672, 3.137
IN<18>, 2, 0, 63.00, 42.70, 42.70, 12.55, 82.81, 82.81, 21.664, 0.150, 89.481, 6.839, 3.357
IN<19>, 2, 0, 63.00, 42.70, 42.70, 8.54, 81.83, 81.83, 22.286, 0.154, 89.743, 7.030, 3.426
IN<20>, 2, 3, 63.00, 42.70, 42.70, 5.86, 88.22, 88.22, 25.780, 0.173, 110.448, 7.625, 3.983
IN<21>, 2, 2, 63.00, 42.70, 42.70, 5.40, 86.92, 86.92, 26.440, 0.178, 113.700, 7.879, 4.076
IN<22>, 2, 0, 63.00, 42.70, 42.70, 7.31, 84.64, 84.64, 26.046, 0.181, 107.062, 8.170, 4.059
IN<23>, 2, 3, 106.20, 42.70, 42.70, 0.02, 89.68, 89.68, 29.411, 0.199, 127.027, 8.734, 4.591
IN<24>, 2, 0, 63.00, 38.60, 42.70, 8.44, 1.21, 86.61, 33.249, 0.233, 141.408, 10.388, 5.286
IN<25>, 2, 0, 63.00, 42.70, 42.70, 6.08, 83.08, 83.08, 31.327, 0.217, 127.320, 9.852, 4.846
IN<26>, 2, 0, 63.00, 42.70, 42.70, 6.39, 90.82, 90.82, 33.684, 0.237, 146.245, 10.452, 5.431
IN<27>, 2, 0, 63.00, 38.60, 42.70, 7.71, 1.07, 86.89, 37.682, 0.264, 161.471, 11.742, 6.027
IN<28>, 2, 0, 63.00, 42.70, 42.70, 5.60, 91.93, 91.93, 38.402, 0.271, 167.791, 11.889, 6.220
IN<29>, 2, 0, 63.00, 42.70, 42.70, 5.96, 88.81, 88.81, 36.841, 0.258, 155.992, 11.469, 5.857
IN<30>, 2, 0, 113.40, 41.50, 42.70, 0.32, 1.09, 88.00, 43.702, 0.307, 188.931, 13.745, 6.961
IN<31>, 2, 0, 63.00, 42.70, 42.70, 6.29, 90.03, 90.03, 41.347, 0.290, 176.564, 12.844, 6.611
