Net Name, Vias, No Ref, Impedance Max (Ohm), Impedance Min (Ohm), Impedance Typ (Ohm), Impedance Length Max (%), Impedance Length Min (%), Impedance Length Typ (%), Trace Total Length, Trace Total Delay (ns), Trace Total R (mOhm), Trace Total L (nH), Trace Total C (pF)
F<1>, 2, 0, 80.50, 73.70, 80.50, 42.39, 8.72, 42.39, 176.962, 1.073, 974.300, 83.831, 13.742
F<2>, 6, 0, 122.00, 55.30, 122.00, 42.40, 2.48, 42.40, 158.469, 1.098, 872.481, 92.190, 15.035
F<3>, 2, 0, 80.50, 74.50, 80.50, 90.38, 0.82, 90.38, 175.214, 1.071, 964.671, 85.780, 13.366
F<4>, 6, 0, 94.40, 56.30, 57.10, 0.47, 0.19, 96.04, 159.468, 1.126, 877.980, 64.866, 19.596
F<5>, 2, 0, 80.50, 80.50, 80.50, 100.00, 100.00, 100.00, 173.839, 1.064, 957.101, 85.660, 13.213
F<6>, 6, 0, 94.40, 57.10, 57.10, 0.41, 97.69, 97.69, 159.428, 1.126, 877.761, 64.846, 19.591
F<7>, 2, 0, 121.60, 74.50, 80.50, 0.35, 0.82, 36.03, 175.285, 1.063, 965.066, 83.542, 13.549
F<8>, 6, 0, 94.40, 57.10, 57.10, 0.41, 97.69, 97.69, 159.870, 1.129, 880.195, 65.025, 19.646
F<9>, 2, 0, 121.60, 73.70, 80.50, 0.72, 12.84, 33.04, 177.064, 1.066, 974.857, 81.589, 13.959
F<10>, 6, 0, 121.60, 56.00, 57.10, 0.18, 1.37, 93.93, 158.302, 1.118, 871.562, 64.411, 19.457
F<11>, 2, 0, 121.60, 74.10, 80.50, 0.67, 1.01, 32.90, 174.737, 1.059, 962.045, 82.945, 13.547
F<12>, 6, 0, 94.40, 53.90, 57.10, 0.41, 0.13, 94.10, 159.103, 1.124, 875.972, 64.675, 19.567
F<13>, 2, 0, 121.60, 80.50, 80.50, 0.56, 99.20, 99.20, 174.316, 1.067, 959.727, 86.179, 13.214
F<14>, 6, 0, 94.40, 56.20, 57.10, 0.51, 1.28, 94.46, 160.200, 1.131, 882.011, 65.207, 19.680
F<15>, 2, 0, 121.60, 74.50, 80.50, 0.25, 0.82, 39.17, 175.038, 1.062, 963.707, 83.461, 13.538
F<16>, 6, 0, 94.40, 57.10, 57.10, 0.83, 96.97, 96.97, 158.274, 1.117, 871.409, 64.570, 19.405
F<17>, 2, 0, 121.60, 74.10, 80.50, 0.20, 1.63, 36.06, 173.959, 1.055, 957.766, 82.588, 13.483
F<18>, 6, 0, 121.60, 56.30, 57.10, 0.17, 0.66, 95.21, 160.313, 1.132, 882.633, 65.308, 19.678
