ST;ID;RT;ch0_CT;ch0_FT;ch0_C;ch0_H;ch1_CT;ch1_FT;ch1_C;ch1_H;ch2_CT;ch2_FT;ch2_C;ch2_H;ch3_CT;ch3_FT;ch3_C;ch3_H;ch4_CT;ch4_FT;ch4_C;ch4_H;ch5_CT;ch5_FT;ch5_C;ch5_H;ch6_CT;ch6_FT;ch6_C;ch6_H;ch7_CT;ch7_FT;ch7_C;ch7_H;ch8_CT;ch8_FT;ch8_C;ch8_H;ch9_CT;ch9_FT;ch9_C;ch9_H;ch10_CT;ch10_FT;ch10_C;ch10_H;ch11_CT;ch11_FT;ch11_C;ch11_H;ch12_CT;ch12_FT;ch12_C;ch12_H;ch13_CT;ch13_FT;ch13_C;ch13_H;ch14_CT;ch14_FT;ch14_C;ch14_H;ch15_CT;ch15_FT;ch15_C;ch15_H;ch16_CT;ch16_FT;ch16_C;ch16_H;ch17_CT;ch17_FT;ch17_C;ch17_H;ch18_CT;ch18_FT;ch18_C;ch18_H;ch19_CT;ch19_FT;ch19_C;ch19_H;ch20_CT;ch20_FT;ch20_C;ch20_H;ch21_CT;ch21_FT;ch21_C;ch21_H;ch22_CT;ch22_FT;ch22_C;ch22_H;ch23_CT;ch23_FT;ch23_C;ch23_H;ch24_CT;ch24_FT;ch24_C;ch24_H;ch25_CT;ch25_FT;ch25_C;ch25_H;ch26_CT;ch26_FT;ch26_C;ch26_H;ch27_CT;ch27_FT;ch27_C;ch27_H;ch28_CT;ch28_FT;ch28_C;ch28_H;ch29_CT;ch29_FT;ch29_C;ch29_H;ch30_CT;ch30_FT;ch30_C;ch30_H;ch31_CT;ch31_FT;ch31_C;ch31_H;
0;0;8830;23;4;802;0;23;4;800;0;207;4;808;0;194;4;790;0;202;4;783;0;150;4;805;0;315;4;796;0;195;4;803;0;336;4;801;0;150;4;801;0;150;4;765;0;84;4;798;0;115;4;809;0;463;4;783;0;149;485;481;1;469;4;789;0;392;4;805;0;87;4;784;0;149;639;428;1;468;4;791;0;341;4;802;0;9;4;781;0;333;4;785;0;297;4;803;0;341;4;809;0;341;4;785;0;107;4;804;0;184;4;805;0;10;4;801;0;341;4;787;0;333;4;803;0;184;4;786;0;
0;1;8830;23;4;808;0;383;4;814;0;88;4;800;0;89;4;820;0;23;4;834;0;150;4;833;0;342;4;841;0;84;4;816;0;23;4;806;0;149;4;787;0;269;4;808;0;280;4;825;0;107;4;824;0;41;4;740;0;108;4;789;0;356;4;840;0;341;4;847;0;452;4;764;0;152;4;783;0;297;4;827;0;341;4;828;0;480;4;800;0;443;4;796;0;117;4;824;0;341;4;810;0;10;4;825;0;468;4;818;0;117;4;827;0;341;4;809;0;230;4;807;0;107;4;802;0;117;4;816;0;
0;0;141175;23;4;788;0;23;4;802;0;207;4;775;0;194;4;794;0;202;4;786;0;150;4;786;0;315;4;804;0;195;4;796;0;336;4;799;0;150;4;749;0;150;4;789;0;84;4;789;0;115;4;776;0;463;4;661;0;128;4;725;0;469;4;812;0;392;4;793;0;87;4;657;0;74;4;736;0;468;4;793;0;341;4;807;0;9;4;757;0;333;4;784;0;297;4;806;0;341;4;795;0;341;4;809;0;107;4;802;0;184;4;803;0;10;4;796;0;341;4;795;0;333;4;799;0;184;4;809;0;
0;1;141175;23;4;810;0;383;4;814;0;88;4;954;0;89;4;953;0;23;4;823;0;150;4;801;0;342;4;817;0;84;4;954;0;23;4;802;0;149;4;760;0;269;4;817;0;280;4;808;0;107;4;778;0;319;811;623;1;108;4;793;0;356;4;804;0;341;4;775;0;74;4;633;0;152;4;793;0;297;4;947;0;341;4;811;0;480;4;738;0;443;4;801;0;117;4;946;0;341;4;798;0;10;4;819;0;468;4;944;0;117;4;814;0;341;4;785;0;230;4;948;0;107;4;808;0;117;4;822;0;
0;0;192386;23;4;823;0;23;4;818;0;207;4;829;0;194;4;843;0;202;4;830;0;150;4;810;0;315;4;827;0;195;4;838;0;336;4;813;0;150;4;783;0;150;4;804;0;84;4;816;0;115;4;817;0;463;4;787;0;77;4;778;0;469;4;817;0;392;4;816;0;87;4;785;0;348;4;749;0;468;4;822;0;341;4;810;0;9;4;792;0;333;4;802;0;297;4;831;0;341;4;827;0;341;4;806;0;107;4;820;0;184;4;824;0;10;4;824;0;341;4;819;0;333;4;808;0;184;4;827;0;
0;1;192386;23;4;836;0;383;4;851;0;88;4;851;0;89;4;854;0;23;4;822;0;150;4;837;0;342;4;862;0;84;4;853;0;23;4;818;0;149;4;812;0;269;4;850;0;280;4;858;0;107;4;793;0;50;4;770;0;108;4;814;0;356;4;834;0;341;4;822;0;274;496;755;1;152;4;809;0;297;4;848;0;341;4;815;0;480;4;790;0;443;4;819;0;117;4;854;0;341;4;838;0;10;4;825;0;468;4;833;0;117;4;870;0;341;4;862;0;230;4;838;0;107;4;836;0;117;4;864;0;
0;0;531122;23;4;802;0;23;4;793;0;207;4;810;0;194;4;807;0;202;4;809;0;150;4;817;0;315;4;815;0;195;4;803;0;336;4;794;0;150;4;802;0;150;4;804;0;84;4;789;0;115;4;782;0;463;4;778;0;112;4;770;0;469;4;809;0;392;4;799;0;87;4;776;0;32;4;717;0;468;4;800;0;341;4;786;0;9;4;752;0;333;4;740;0;297;4;819;0;341;4;807;0;341;4;790;0;107;4;779;0;184;4;801;0;10;4;790;0;341;4;807;0;333;4;801;0;184;4;807;0;
0;1;531122;23;4;829;0;383;4;807;0;88;4;824;0;89;4;834;0;23;4;826;0;150;4;830;0;342;4;838;0;84;4;831;0;23;4;820;0;149;4;821;0;269;4;829;0;280;4;800;0;107;4;791;0;295;4;737;0;108;4;821;0;356;4;823;0;341;4;805;0;424;238;397;1;152;4;785;0;297;4;828;0;341;4;809;0;480;4;359;0;443;4;795;0;117;4;816;0;341;4;828;0;10;4;781;0;468;4;807;0;117;4;832;0;341;4;851;0;230;4;810;0;107;4;779;0;117;4;814;0;
0;0;699698;23;4;805;0;23;4;806;0;207;4;785;0;194;4;805;0;202;4;797;0;150;4;808;0;315;4;805;0;195;4;800;0;336;4;800;0;150;4;794;0;150;4;783;0;84;4;810;0;115;4;811;0;463;4;780;0;459;4;757;0;469;4;794;0;392;4;805;0;87;4;757;0;38;661;389;1;468;4;808;0;341;4;790;0;9;4;797;0;333;4;683;0;297;4;793;0;341;4;809;0;341;4;806;0;107;4;790;0;184;4;810;0;10;4;797;0;341;4;824;0;333;4;790;0;184;4;797;0;
0;1;699698;23;4;835;0;383;4;833;0;88;4;804;0;89;4;830;0;23;4;833;0;150;4;814;0;342;4;814;0;84;4;828;0;23;4;823;0;149;4;817;0;269;4;811;0;280;4;831;0;107;4;840;0;459;4;771;0;108;4;779;0;356;4;845;0;341;4;810;0;500;4;663;0;152;4;791;0;297;4;825;0;341;4;831;0;480;4;773;0;443;4;768;0;117;4;823;0;341;4;827;0;10;4;805;0;468;4;804;0;117;4;821;0;341;4;830;0;230;4;825;0;107;4;796;0;117;4;842;0;
0;0;735154;23;4;739;0;23;4;728;0;207;4;736;0;194;4;716;0;202;4;738;0;150;4;738;0;315;4;745;0;195;4;710;0;336;4;732;0;150;4;707;0;150;4;706;0;84;4;654;0;115;4;723;0;463;4;648;0;502;4;639;0;469;4;643;0;392;4;715;0;87;4;646;0;502;4;630;0;468;4;687;0;341;4;751;0;9;4;704;0;333;4;714;0;297;4;718;0;341;4;726;0;341;4;744;0;107;4;730;0;184;4;732;0;10;4;730;0;341;4;723;0;333;4;741;0;184;4;750;0;
