ST;ID;RT;ch0_CT;ch0_FT;ch0_C;ch0_H;ch1_CT;ch1_FT;ch1_C;ch1_H;ch2_CT;ch2_FT;ch2_C;ch2_H;ch3_CT;ch3_FT;ch3_C;ch3_H;ch4_CT;ch4_FT;ch4_C;ch4_H;ch5_CT;ch5_FT;ch5_C;ch5_H;ch6_CT;ch6_FT;ch6_C;ch6_H;ch7_CT;ch7_FT;ch7_C;ch7_H;ch8_CT;ch8_FT;ch8_C;ch8_H;ch9_CT;ch9_FT;ch9_C;ch9_H;ch10_CT;ch10_FT;ch10_C;ch10_H;ch11_CT;ch11_FT;ch11_C;ch11_H;ch12_CT;ch12_FT;ch12_C;ch12_H;ch13_CT;ch13_FT;ch13_C;ch13_H;ch14_CT;ch14_FT;ch14_C;ch14_H;ch15_CT;ch15_FT;ch15_C;ch15_H;ch16_CT;ch16_FT;ch16_C;ch16_H;ch17_CT;ch17_FT;ch17_C;ch17_H;ch18_CT;ch18_FT;ch18_C;ch18_H;ch19_CT;ch19_FT;ch19_C;ch19_H;ch20_CT;ch20_FT;ch20_C;ch20_H;ch21_CT;ch21_FT;ch21_C;ch21_H;ch22_CT;ch22_FT;ch22_C;ch22_H;ch23_CT;ch23_FT;ch23_C;ch23_H;ch24_CT;ch24_FT;ch24_C;ch24_H;ch25_CT;ch25_FT;ch25_C;ch25_H;ch26_CT;ch26_FT;ch26_C;ch26_H;ch27_CT;ch27_FT;ch27_C;ch27_H;ch28_CT;ch28_FT;ch28_C;ch28_H;ch29_CT;ch29_FT;ch29_C;ch29_H;ch30_CT;ch30_FT;ch30_C;ch30_H;ch31_CT;ch31_FT;ch31_C;ch31_H;
0;0;1025725;238;4;843;0;468;4;823;0;468;4;833;0;117;4;838;0;105;4;810;0;299;4;819;0;468;4;839;0;137;4;824;0;105;4;813;0;479;4;812;0;11;4;824;0;137;4;831;0;192;4;821;0;63;4;408;0;493;4;812;0;315;4;823;0;181;4;828;0;375;4;791;0;494;4;817;0;431;4;835;0;325;4;806;0;9;4;811;0;431;4;837;0;431;4;838;0;115;4;820;0;444;4;831;0;431;4;844;0;431;4;839;0;448;4;847;0;115;4;827;0;431;4;830;0;426;4;834;0;
0;1;1025725;288;4;805;0;468;4;827;0;167;4;829;0;132;4;815;0;5;4;809;0;468;4;897;0;96;4;841;0;370;4;839;0;358;4;829;0;153;4;786;0;96;4;854;0;137;4;830;0;357;4;828;0;428;4;163;0;13;4;844;0;332;4;826;0;181;4;833;0;312;4;777;0;8;4;850;0;431;4;832;0;326;4;833;0;431;4;818;0;431;4;832;0;431;4;852;0;115;4;824;0;431;4;843;0;431;4;833;0;292;4;852;0;335;4;821;0;431;4;848;0;431;4;836;0;431;4;834;0;
0;3;1025725;83;4;951;0;83;4;953;0;83;4;952;0;82;4;952;0;83;4;954;0;82;4;953;0;83;4;951;0;82;4;953;0;82;4;949;0;82;4;951;0;82;4;951;0;82;4;950;0;82;4;955;0;461;822;952;1;66;4;950;0;82;4;952;0;335;4;957;0;393;4;954;0;369;4;954;0;335;4;952;0;111;4;952;0;362;4;954;0;335;4;952;0;199;4;955;0;111;4;951;0;186;4;955;0;67;4;951;0;199;4;952;0;111;4;954;0;82;4;952;0;82;4;956;0;199;4;953;0;
0;2;1025725;456;4;956;0;334;4;956;0;334;4;956;0;83;4;956;0;82;4;956;0;83;4;956;0;83;4;956;0;83;4;956;0;65;4;956;0;334;4;956;0;334;4;956;0;83;4;955;0;65;4;955;0;485;4;956;0;394;4;956;0;257;4;956;0;335;4;956;0;245;4;957;0;123;4;956;0;199;4;954;0;335;4;955;0;98;4;953;0;98;4;956;0;199;4;954;0;111;4;956;0;111;4;954;0;335;4;956;0;199;4;958;0;111;4;958;0;111;4;953;0;67;4;955;0;199;4;954;0;
0;1;1996177;288;4;813;0;468;4;822;0;167;4;807;0;132;4;841;0;5;4;813;0;468;4;843;0;96;4;831;0;370;4;840;0;358;4;846;0;153;4;783;0;96;4;808;0;137;4;825;0;357;4;842;0;428;4;40;0;13;4;808;0;332;4;825;0;181;4;827;0;312;4;452;0;8;4;816;0;431;4;829;0;326;4;827;0;431;4;801;0;431;4;844;0;431;4;815;0;115;4;839;0;431;4;842;0;431;4;844;0;292;4;815;0;335;4;831;0;431;4;820;0;431;4;811;0;431;4;803;0;
0;0;1996177;238;4;833;0;468;4;833;0;468;4;847;0;117;4;812;0;105;4;831;0;299;4;806;0;468;4;832;0;137;4;819;0;105;4;831;0;479;4;800;0;11;4;819;0;137;4;839;0;192;4;836;0;63;4;768;0;493;4;762;0;315;4;825;0;181;4;816;0;375;4;788;0;494;4;774;0;431;4;832;0;325;4;810;0;9;4;838;0;431;4;810;0;431;4;834;0;115;4;794;0;444;4;837;0;431;4;838;0;431;4;813;0;448;4;831;0;115;4;814;0;431;4;828;0;426;4;818;0;
0;3;1996177;83;4;950;0;83;4;952;0;83;4;952;0;82;4;952;0;83;4;950;0;82;4;951;0;83;4;949;0;82;4;950;0;82;4;948;0;82;4;949;0;82;4;950;0;82;4;949;0;82;4;952;0;358;577;949;1;66;4;948;0;82;4;950;0;335;4;955;0;511;4;951;0;369;4;951;0;335;4;950;0;111;4;950;0;362;4;950;0;335;4;949;0;199;4;952;0;111;4;948;0;186;4;952;0;67;4;950;0;199;4;950;0;111;4;952;0;82;4;949;0;82;4;954;0;199;4;951;0;
0;2;1996177;456;4;953;0;334;4;954;0;334;4;954;0;83;4;953;0;82;4;954;0;83;4;953;0;83;4;954;0;83;4;954;0;65;4;953;0;334;4;953;0;334;4;953;0;83;4;953;0;65;4;953;0;485;4;954;0;250;4;954;0;257;4;954;0;335;4;954;0;245;4;954;0;50;4;952;0;199;4;952;0;335;4;951;0;98;4;950;0;98;4;954;0;199;4;952;0;111;4;953;0;111;4;952;0;335;4;952;0;199;4;957;0;111;4;956;0;111;4;952;0;67;4;951;0;199;4;952;0;
0;0;2330994;238;4;687;0;468;4;668;0;468;4;666;0;117;4;659;0;105;4;711;0;299;4;657;0;468;4;635;0;137;4;636;0;105;4;661;0;479;4;641;0;11;4;583;0;137;4;585;0;192;4;666;0;63;4;642;0;493;4;4;0;315;4;620;0;181;4;655;0;375;4;630;0;494;4;4;0;431;4;646;0;325;4;652;0;9;4;640;0;431;4;608;0;431;4;649;0;115;4;662;0;444;4;634;0;431;4;624;0;431;4;683;0;448;4;583;0;115;4;86;0;431;4;639;0;426;4;647;0;
0;1;2330994;288;4;668;0;468;4;681;0;167;4;657;0;132;4;666;0;5;4;681;0;468;4;660;0;96;4;581;0;370;4;629;0;358;4;718;0;153;4;596;0;96;4;518;0;137;4;654;0;357;4;654;0;428;4;493;0;13;4;591;0;332;4;660;0;181;4;642;0;312;4;323;0;8;4;592;0;431;4;666;0;326;4;673;0;431;4;622;0;431;4;624;0;431;4;645;0;115;4;633;0;431;4;600;0;431;4;637;0;292;4;661;0;335;4;555;0;431;4;591;0;431;4;610;0;431;4;611;0;
