Vth_T ,6bit_Vth,#1
0,31,0
1,31,0
2,31,0
3,31,0
4,31,0
5,31,0
6,31,0
7,31,0
8,31,0
9,31,0
10,31,0
11,31,0
12,31,0
13,31,0
14,31,0
15,31,0
16,31,0
17,31,0
18,31,0
19,31,0
20,31,0
21,31,0
22,31,0
23,31,0
24,31,0
25,31,0
26,31,0
27,31,0
28,31,0
29,31,0
30,31,0
31,31,0
32,31,0
33,31,0
34,31,0
35,31,0
36,31,0
37,31,0
38,31,0
39,31,0
40,31,0
41,31,0
42,31,0
43,31,0
44,31,0
45,31,0
46,31,0
47,31,0
48,31,0
49,31,0
50,31,0
51,31,0
52,31,0
53,31,0
54,31,0
55,31,0
56,31,0
57,31,0
58,31,0
59,31,0
60,31,0
61,31,0
62,31,0
63,31,0
64,31,0
65,31,0
66,31,0
67,31,0
68,31,0
69,31,0
70,31,0
71,31,0
72,31,0
73,31,0
74,31,0
75,31,0
76,31,0
77,31,0
78,31,0
79,31,0
80,31,0
81,31,0
82,31,0
83,31,0
84,31,0
85,31,0
86,31,0
87,31,0
88,31,0
89,31,0
90,31,0
91,31,0
92,31,0
93,31,0
94,31,0
95,31,0
96,31,0
97,31,0
98,31,0
99,31,0
100,31,0
101,31,0
102,31,0
103,31,0
104,31,0
105,31,0
106,31,0
107,31,0
108,31,0
109,31,0
110,31,0
111,31,0
112,31,0
113,31,0
114,31,0
115,31,0
116,31,0
117,31,0
118,31,0
119,31,0
120,31,0
121,31,0
122,31,0
123,31,0
124,31,0
125,31,0
126,31,0
127,31,0
128,31,0
129,31,0
130,31,0
131,31,0
132,31,0
133,31,0
134,31,0
135,31,0
136,31,0
137,31,0
138,31,0
139,31,0
140,31,0
141,31,0
142,31,0
143,31,0
144,31,0
145,31,0
146,31,0
147,31,0
148,31,0
149,31,0
150,31,0
151,31,0
152,31,0
153,31,0
154,31,0
155,31,0
156,31,0
157,31,0
158,31,0
159,31,0
160,31,0
161,31,0
162,31,0
163,31,0
164,31,0
165,31,0
166,31,0
167,31,0
168,31,0
169,31,0
170,31,0
171,31,0
172,31,0
173,31,0
174,31,0
175,31,0
176,31,0
177,31,0
178,31,0
179,31,0
180,31,0
181,31,0
182,31,0
183,31,0
184,31,0
185,31,0
186,31,0
187,31,0
188,31,0
189,31,0
190,31,0
191,31,0
192,31,0
193,31,0
194,31,0
195,31,0
196,31,0
197,31,0
198,31,0
199,31,0
200,31,0
201,31,0
202,31,0
203,31,0
204,31,0
205,31,0
206,31,0
207,31,0
208,31,0
209,31,0
210,31,0
211,31,0
212,31,0
213,31,0
214,31,0
215,31,0
216,31,0
217,31,0
218,31,0
219,31,0
220,31,0
221,31,0
222,31,0
223,31,0
224,31,0
225,31,0
226,31,0
227,31,0
228,31,0
229,31,0
230,31,0
231,31,0
232,31,0
233,31,0
234,31,0
235,31,0
236,31,0
237,31,0
238,31,0
239,31,0
240,31,0
241,31,0
242,31,0
243,31,0
244,31,0
245,31,0
246,31,0
247,31,0
248,31,0
249,31,0
250,31,0
251,31,0
252,31,0
253,31,0
254,31,0
255,31,0
256,31,0
257,31,0
258,31,0
259,31,0
260,31,0
261,31,0
262,31,0
263,31,0
264,31,0
265,31,0
266,31,0
267,31,0
268,31,0
269,31,0
270,31,0
271,31,0
272,31,0
273,31,0
274,31,0
275,31,0
276,31,0
277,31,0
278,31,0
279,31,0
280,31,0
281,31,0
282,31,0
283,31,0
284,31,0
285,31,0
286,31,2
287,31,1
288,31,1
289,31,11
290,31,8
291,31,23
292,31,17
293,31,39
294,31,77
295,31,109
296,31,87
297,31,124
298,31,190
299,31,666
300,31,419
301,31,1605
302,31,1235
303,31,1821
304,31,2680
305,31,4274
306,31,9297
307,31,11577
308,31,13800
309,31,14410
310,31,20264
311,31,23266
312,31,27768
313,31,33982
314,31,41477
315,31,53337
316,31,63466
317,31,74690
318,31,92198
319,31,106378
320,31,146020
321,31,164982
322,31,187254
323,31,213998
324,31,230045
325,31,260973
326,31,287162
327,31,318046
328,31,346736
329,31,386903
330,31,435094
331,31,487927
332,31,535232
333,31,599475
334,31,689643
335,31,761098
336,31,850456
337,31,992586
338,31,1135192
339,31,1330364
340,31,1542020
341,31,1956622
342,31,2296228
343,31,2846968
344,31,3408338
345,31,4110762
346,31,5093691
347,31,6371836
348,31,8261439
349,31,10638943
350,31,12773346
351,31,15515468
352,31,20048190
353,31,22751458
354,31,25067248
355,31,26178797
356,31,27696028
357,31,31313396
358,31,33220457
359,31,35371441
360,31,36735128
361,31,38399341
362,31,40396257
363,31,41550027
364,31,41267985
365,31,42429191
366,31,43640397
367,31,44901294
368,31,45390878
369,31,45412172
370,31,45846495
371,31,46261148
372,31,46478703
373,31,46639329
374,31,46746824
375,31,47039616
376,31,47034209
377,31,46982086
378,31,47343451
379,31,47388003
380,31,47890689
381,31,47310272
382,31,47402813
383,31,48381263
384,31,47820822
385,31,49050646
386,31,48695167
387,31,49091975
388,31,49620421
389,31,50418075
390,31,52312022
391,31,53274470
392,31,54045185
393,31,55020797
394,31,55913086
395,31,57228261
396,31,58037640
397,31,59095547
398,31,60490961
399,31,61534031
400,31,62236822
401,31,62396021
402,31,63785147
403,31,64267678
404,31,64576776
405,31,64780844
406,31,63329111
407,31,64679441
408,31,64670645
409,31,64619339
410,31,64639145
411,31,66171647
412,31,67231455
413,31,66574566
414,31,70550074
415,31,69638333
416,31,73288229
417,31,75937610
418,31,78716397
419,31,84488198
420,31,83731034
421,31,89131830
422,31,91357365
423,31,91342218
424,31,92833264
425,31,95990430
426,31,96088135
427,31,97119879
428,31,98471660
429,31,98527451
430,31,99022831
431,31,99356692
432,31,99688028
433,31,99731446
434,31,99847560
435,31,99932122
436,31,99944807
437,31,99976437
438,31,99983471
439,31,99992269
440,31,99996341
441,31,99998296
442,31,99999670
443,31,99999918
444,31,99999800
445,31,99999996
446,31,99999994
447,31,100000000
448,31,100000000
449,31,100000000
450,31,100000000
451,31,100000000
452,31,100000000
453,31,100000000
454,31,100000000
455,31,100000000
456,31,100000000
457,31,100000000
458,31,100000000
459,31,100000000
460,31,100000000
461,31,100000000
462,31,100000000
463,31,100000000
464,31,100000000
465,31,100000000
466,31,100000000
467,31,100000000
468,31,100000000
469,31,100000000
470,31,100000000
471,31,100000000
472,31,100000000
473,31,100000000
474,31,100000000
475,31,100000000
476,31,100000000
477,31,100000000
478,31,100000000
479,31,100000000
480,31,100000000
481,31,100000000
482,31,100000000
483,31,100000000
484,31,100000000
485,31,100000000
486,31,100000000
487,31,100000000
488,31,100000000
489,31,100000000
490,31,100000000
491,31,100000000
492,31,100000000
493,31,100000000
494,31,100000000
495,31,100000000
496,31,100000000
497,31,100000000
498,31,100000000
499,31,100000000
500,31,100000000
501,31,100000000
502,31,100000000
503,31,100000000
504,31,100000000
505,31,100000000
506,31,100000000
507,31,100000000
508,31,100000000
509,31,100000000
510,31,100000000
511,31,100000000
512,31,100000000
513,31,100000000
514,31,100000000
515,31,100000000
516,31,100000000
517,31,100000000
518,31,100000000
519,31,100000000
520,31,100000000
521,31,100000000
522,31,100000000
523,31,100000000
524,31,100000000
525,31,100000000
526,31,100000000
527,31,100000000
528,31,100000000
529,31,100000000
530,31,100000000
531,31,100000000
532,31,100000000
533,31,100000000
534,31,100000000
535,31,100000000
536,31,100000000
537,31,100000000
538,31,100000000
539,31,100000000
540,31,100000000
541,31,100000000
542,31,100000000
543,31,100000000
544,31,100000000
545,31,100000000
546,31,100000000
547,31,100000000
548,31,100000000
549,31,100000000
550,31,100000000
551,31,100000000
552,31,100000000
553,31,100000000
554,31,100000000
555,31,100000000
556,31,100000000
557,31,100000000
558,31,100000000
559,31,100000000
560,31,100000000
561,31,100000000
562,31,100000000
563,31,100000000
564,31,100000000
565,31,100000000
566,31,100000000
567,31,100000000
568,31,100000000
569,31,100000000
570,31,100000000
571,31,100000000
572,31,100000000
573,31,100000000
574,31,100000000
575,31,100000000
576,31,100000000
577,31,100000000
578,31,100000000
579,31,100000000
580,31,100000000
581,31,100000000
582,31,100000000
583,31,100000000
584,31,100000000
585,31,100000000
586,31,100000000
587,31,100000000
