Vth_T ,6bit_Vth,#1
300,31,10202
301,31,15068
302,31,21967
303,31,30223
304,31,37998
305,31,48474
306,31,61336
307,31,75181
308,31,89450
309,31,108228
310,31,133040
311,31,163417
312,31,189928
313,31,226554
314,31,263935
315,31,306092
316,31,342647
317,31,386885
318,31,436383
319,31,479466
320,31,571829
321,31,620189
322,31,669797
323,31,720268
324,31,769392
325,31,831417
326,31,894391
327,31,968042
328,31,1026846
329,31,1109921
330,31,1208524
331,31,1312705
332,31,1406211
333,31,1535037
334,31,1697865
335,31,1863043
336,31,2038334
337,31,2295251
338,31,2619667
339,31,3027006
340,31,3427429
341,31,4063774
342,31,4941681
343,31,6117838
344,31,6833899
345,31,8302563
346,31,10305948
347,31,12805128
348,31,15610115
349,31,19617954
350,31,23834308
351,31,27895104
352,31,35090709
353,31,38528562
354,31,41894795
355,31,45229106
356,31,47770360
357,31,51448335
358,31,55146443
359,31,58746840
360,31,61221503
361,31,63743712
362,31,66008967
363,31,67439706
364,31,68236768
365,31,70062747
366,31,70662002
367,31,72801040
368,31,73118014
369,31,73562479
370,31,74014486
371,31,74023606
372,31,74298144
373,31,74563109
374,31,74568353
375,31,74661437
376,31,74744124
377,31,74729184
378,31,74983252
379,31,75134824
380,31,75300564
381,31,75893274
382,31,76736350
383,31,77054245
384,31,77955493
385,31,78704837
386,31,78866297
387,31,78821919
388,31,79459822
389,31,79870760
390,31,80462281
391,31,81158695
392,31,81348250
393,31,81993312
394,31,82850712
395,31,83317899
396,31,83869244
397,31,84442360
398,31,85045558
399,31,85630720
400,31,86111589
401,31,86559596
402,31,87044081
403,31,87476776
404,31,87723119
405,31,88003039
406,31,88435788
407,31,88674408
408,31,88809535
409,31,89001944
410,31,89172549
411,31,89701839
412,31,89744787
413,31,89999060
414,31,90861148
415,31,91646402
416,31,93234790
417,31,94851461
418,31,95460545
419,31,96254998
420,31,97040919
421,31,97830773
422,31,98406081
423,31,98842880
424,31,99189266
425,31,99412254
426,31,99618298
427,31,99796790
428,31,99835273
429,31,99901035
430,31,99941304
431,31,99966206
432,31,99980012
433,31,99992774
434,31,99994592
435,31,99996968
436,31,99998386
437,31,99999814
438,31,99999933
439,31,99999985
440,31,99999976
441,31,99999997
442,31,100000000
443,31,100000000
444,31,100000000
445,31,100000000
446,31,100000000
447,31,100000000
448,31,100000000
449,31,100000000
450,31,100000000
