Vth_T ,6bit_Vth,#1
300,31,9210
301,31,13476
302,31,19378
303,31,26327
304,31,32774
305,31,41214
306,31,51311
307,31,62400
308,31,73482
309,31,87860
310,31,107023
311,31,129751
312,31,149362
313,31,175746
314,31,201628
315,31,230166
316,31,253673
317,31,282063
318,31,312503
319,31,337790
320,31,387793
321,31,411545
322,31,435123
323,31,457387
324,31,478232
325,31,507532
326,31,528392
327,31,558187
328,31,580736
329,31,610980
330,31,645236
331,31,681729
332,31,713191
333,31,751695
334,31,798022
335,31,840003
336,31,879772
337,31,934217
338,31,994729
339,31,1058091
340,31,1119826
341,31,1202819
342,31,1312475
343,31,1459031
344,31,1530610
345,31,1686443
346,31,1885483
347,31,2124026
348,31,2373871
349,31,2717978
350,31,3068403
351,31,3400237
352,31,3985681
353,31,4271192
354,31,4556871
355,31,4837629
356,31,5050661
357,31,5361111
358,31,5655036
359,31,5943630
360,31,6145665
361,31,6344166
362,31,6507964
363,31,6560674
364,31,6579409
365,31,6655287
366,31,7030629
367,31,6567120
368,31,6444091
369,31,6296753
370,31,6104578
371,31,5969546
372,31,5872946
373,31,5801168
374,31,5865474
375,31,5918002
376,31,6041230
377,31,6119845
378,31,6274364
379,31,6432260
380,31,6539108
381,31,6677364
382,31,6807920
383,31,6911504
384,31,7453904
385,31,7182160
386,31,7314360
387,31,7522322
388,31,8324582
389,31,8489534
390,31,8638960
391,31,8730229
392,31,8510626
393,31,8680923
394,31,9021169
395,31,8985788
396,31,9094188
397,31,9214547
398,31,9346810
399,31,9451530
400,31,9556426
401,31,9644003
402,31,9746462
403,31,9806369
404,31,9989794
405,31,10012213
406,31,9889931
407,31,9909870
408,31,9971143
409,31,9976880
410,31,9988424
411,31,9113208
412,31,9670983
413,31,9534452
414,31,8762444
415,31,8043573
416,31,6575433
417,31,4771900
418,31,4439592
419,31,3677761
420,31,2914951
421,31,2139311
422,31,1576234
423,31,1145838
424,31,803852
425,31,583915
426,31,379406
427,31,197845
428,31,164054
429,31,98641
430,31,58567
431,31,33750
432,31,19975
433,31,7224
434,31,5407
435,31,3032
436,31,1614
437,31,186
438,31,67
439,31,15
440,31,24
441,31,3
442,31,0
443,31,0
444,31,0
445,31,0
446,31,0
447,31,0
448,31,0
449,31,0
450,31,0
