Vth_T ,6bit_Vth,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20
55,0,3,10,7,0,2,2,2,3,5,0,2,0,0,1,0,3,0,2,2,2
56,0,0,0,0,3,0,3,2,7,3,4,2,5,1,4,0,3,3,3,0,2
57,0,3,0,4,4,7,1,18,0,0,10,5,2,0,3,4,0,3,3,0,0
58,0,7,1,16,2,0,3,5,0,2,2,6,0,8,12,3,2,8,3,6,5
59,0,5,5,5,7,4,4,5,5,8,7,0,4,3,2,6,0,5,0,3,14
60,0,6,0,7,5,9,2,5,3,3,3,8,10,6,4,3,7,3,3,6,6
61,0,2,7,0,4,7,0,4,4,2,14,0,3,8,8,5,6,0,3,2,4
62,0,3,9,4,11,3,3,5,8,3,12,4,3,7,5,6,7,6,5,7,2
63,0,7,0,4,7,9,11,5,6,2,3,10,6,9,6,11,2,0,8,13,5
64,0,9,14,12,6,3,13,11,10,2,7,7,7,4,7,3,4,10,12,4,4
65,0,3,12,2,5,6,12,19,7,13,16,11,5,9,6,11,5,5,2,5,2
66,0,6,9,7,19,7,7,4,11,8,5,2,13,7,7,18,3,16,13,12,7
67,0,6,19,15,13,8,10,12,13,13,11,5,7,19,20,11,13,7,12,22,14
68,0,20,17,23,18,16,12,12,10,8,12,15,12,11,16,7,12,15,16,24,11
69,0,16,25,16,14,17,12,15,11,20,16,17,24,19,12,17,27,24,11,11,11
70,0,17,24,18,14,21,29,17,18,23,23,14,23,19,18,31,17,24,18,27,29
71,0,23,15,33,21,20,28,26,34,27,20,18,29,24,23,27,25,21,19,18,14
72,0,18,22,21,20,36,25,25,40,42,32,20,28,41,25,27,25,23,24,29,25
73,0,16,34,36,32,26,44,24,19,32,24,33,20,29,28,23,34,31,24,33,33
74,0,36,33,20,29,41,44,41,30,34,27,33,43,19,47,28,39,30,21,42,26
75,0,34,41,49,29,42,60,39,39,46,46,38,31,47,32,39,38,37,51,39,41
76,0,45,42,55,52,32,52,42,58,33,31,51,52,39,46,53,49,35,39,32,65
77,0,53,61,46,44,64,54,50,62,60,53,49,52,47,53,76,67,50,57,47,55
78,0,77,78,68,68,75,49,82,56,74,59,70,60,55,69,64,64,76,82,61,73
79,0,65,69,67,57,78,98,79,71,84,66,85,82,66,79,82,81,68,69,58,77
80,0,59,68,94,79,81,75,81,79,77,62,97,75,70,78,76,81,93,92,78,83
81,0,85,90,92,100,91,86,104,91,81,103,78,89,86,116,95,81,86,91,104,104
82,0,104,117,119,92,127,75,115,96,91,101,98,99,92,134,107,104,120,105,120,85
83,0,131,125,115,115,119,133,129,111,115,106,125,117,116,128,138,124,125,102,111,89
84,0,104,119,135,152,120,127,135,130,134,154,128,118,134,117,140,130,115,136,113,137
85,0,124,141,135,162,123,148,135,132,149,138,159,144,132,143,143,150,137,120,144,152
86,0,147,145,145,179,165,157,149,159,179,151,170,164,171,151,171,177,171,162,173,161
87,0,163,167,179,175,180,167,200,190,186,173,166,176,173,180,169,167,179,204,185,193
88,0,194,190,215,191,188,196,194,188,174,208,189,176,191,180,223,202,202,195,191,199
89,0,212,200,197,203,202,194,192,191,214,215,190,213,215,207,212,201,211,209,201,213
90,0,220,233,217,217,198,222,202,234,234,221,234,251,225,203,221,248,233,239,212,212
91,0,225,222,210,268,235,217,251,242,241,236,264,230,241,252,223,222,246,241,263,264
92,0,256,251,265,246,251,257,265,252,247,207,251,251,262,238,275,253,261,249,273,254
93,0,261,267,257,274,264,278,260,239,255,289,255,262,290,266,273,261,283,283,266,299
94,0,291,273,279,293,282,289,275,290,283,260,284,285,279,274,281,277,265,286,269,297
95,0,322,290,289,292,316,300,295,285,289,296,287,305,289,297,312,288,281,310,323,307
96,0,324,305,324,323,325,328,318,304,330,319,326,314,326,313,332,328,303,346,335,334
97,0,333,331,343,321,347,328,345,345,339,328,339,346,351,338,344,347,348,341,339,343
98,0,346,358,364,358,365,363,332,369,358,367,371,350,337,359,353,356,354,357,354,332
99,0,362,352,363,349,365,352,380,353,347,358,361,378,344,369,350,385,365,377,376,357
100,0,367,375,380,367,376,353,386,364,356,382,375,372,374,366,375,384,365,373,362,367
101,0,394,398,392,383,370,385,388,393,386,393,391,403,385,392,385,393,373,387,403,394
102,0,380,401,406,404,407,396,396,414,381,381,386,393,385,381,395,405,394,397,391,396
103,0,410,399,407,406,420,400,389,415,399,412,413,405,394,413,411,410,396,403,409,422
104,0,412,410,412,419,410,409,407,418,404,410,396,415,405,400,421,399,413,402,413,411
105,0,425,418,428,421,415,418,418,418,416,413,436,434,399,418,410,417,422,421,416,422
106,0,432,421,433,423,414,412,428,424,418,425,423,411,412,430,432,432,418,434,421,431
107,0,434,435,442,438,423,422,421,438,426,438,435,424,425,432,433,417,432,429,426,435
108,0,438,429,428,435,436,432,433,433,445,427,436,426,442,431,435,438,434,443,441,436
