Vth_T ,6bit_Vth,VinDac,#1
300,0,0,0
301,0,0,0
302,0,0,2
303,0,0,1
304,0,0,1
305,0,0,2
306,0,0,12
307,0,0,7
308,0,0,16
309,0,0,24
310,0,0,23
311,0,0,40
312,0,0,34
313,0,0,60
314,0,0,76
315,0,0,73
316,0,0,97
317,0,0,136
318,0,0,165
319,0,0,157
320,0,0,184
321,0,0,249
322,0,0,276
323,0,0,293
324,0,0,283
325,0,0,363
326,0,0,412
327,0,0,383
328,0,0,483
329,0,0,588
330,0,0,591
331,0,0,698
332,0,0,744
333,0,0,864
334,0,0,954
335,0,0,1059
336,0,0,1187
337,0,0,1291
338,0,0,1311
339,0,0,1486
340,0,0,1538
341,0,0,1639
342,0,0,1787
343,0,0,1897
344,0,0,2019
345,0,0,2159
346,0,0,2319
347,0,0,2500
348,0,0,2632
349,0,0,2696
350,0,0,2815
351,0,0,3059
352,0,0,3335
353,0,0,3575
354,0,0,3746
355,0,0,3883
356,0,0,4050
357,0,0,4377
358,0,0,4711
359,0,0,5173
360,0,0,5560
361,0,0,6035
362,0,0,6863
363,0,0,7704
364,0,0,8585
365,0,0,9837
366,0,0,11957
367,0,0,14476
368,0,0,17602
369,0,0,21795
370,0,0,27496
371,0,0,36855
372,0,0,44445
373,0,0,54364
374,0,0,67153
375,0,0,84327
376,0,0,100383
377,0,0,124252
378,0,0,156656
379,0,0,192353
380,0,0,227756
381,0,0,272732
382,0,0,323932
383,0,0,371974
384,0,0,459916
385,0,0,489379
386,0,0,511248
387,0,0,525829
388,0,0,533156
389,0,0,541012
390,0,0,549897
391,0,0,558174
392,0,0,564920
393,0,0,575352
394,0,0,590245
395,0,0,605403
396,0,0,622476
397,0,0,647136
398,0,0,682083
399,0,0,721334
400,0,0,760364
401,0,0,806597
402,0,0,851027
403,0,0,888496
404,0,0,914027
405,0,0,939111
406,0,0,958678
407,0,0,971852
408,0,0,980522
409,0,0,988582
410,0,0,993835
411,0,0,996539
412,0,0,997799
413,0,0,998738
414,0,0,999399
415,0,0,999701
416,0,0,999973
417,0,0,999998
418,0,0,1000000
