Vth_T ,6bit_Vth,VinDac,#1
300,0,0,0
301,0,0,0
302,0,0,2
303,0,0,1
304,0,0,1
305,0,0,2
306,0,0,7
307,0,0,6
308,0,0,12
309,0,0,20
310,0,0,20
311,0,0,32
312,0,0,28
313,0,0,46
314,0,0,63
315,0,0,60
316,0,0,79
317,0,0,113
318,0,0,135
319,0,0,128
320,0,0,158
321,0,0,222
322,0,0,243
323,0,0,258
324,0,0,261
325,0,0,324
326,0,0,359
327,0,0,352
328,0,0,435
329,0,0,514
330,0,0,524
331,0,0,609
332,0,0,642
333,0,0,755
334,0,0,810
335,0,0,896
336,0,0,1012
337,0,0,1099
338,0,0,1118
339,0,0,1260
340,0,0,1266
341,0,0,1362
342,0,0,1454
343,0,0,1549
344,0,0,1592
345,0,0,1698
346,0,0,1811
347,0,0,1900
348,0,0,1964
349,0,0,2031
350,0,0,2104
351,0,0,2215
352,0,0,2372
353,0,0,2465
354,0,0,2612
355,0,0,2687
356,0,0,2817
357,0,0,2971
358,0,0,3225
359,0,0,3453
360,0,0,3681
361,0,0,3925
362,0,0,4435
363,0,0,4987
364,0,0,5565
365,0,0,6409
366,0,0,7813
367,0,0,9493
368,0,0,11548
369,0,0,14311
370,0,0,17916
371,0,0,23546
372,0,0,28382
373,0,0,34014
374,0,0,41207
375,0,0,50888
376,0,0,59367
377,0,0,72291
378,0,0,88887
379,0,0,106624
380,0,0,123589
381,0,0,143891
382,0,0,166458
383,0,0,186043
384,0,0,219047
385,0,0,227665
386,0,0,232757
387,0,0,235707
388,0,0,236309
389,0,0,236556
390,0,0,236431
391,0,0,235453
392,0,0,234267
393,0,0,232247
394,0,0,228313
395,0,0,223596
396,0,0,217565
397,0,0,207396
398,0,0,191430
399,0,0,171330
400,0,0,150179
401,0,0,123689
402,0,0,96899
403,0,0,73711
404,0,0,57461
405,0,0,40845
406,0,0,28118
407,0,0,19549
408,0,0,13847
409,0,0,8275
410,0,0,4480
411,0,0,2500
412,0,0,1578
413,0,0,922
414,0,0,473
415,0,0,249
416,0,0,24
417,0,0,2
418,0,0,0
