Vth_T ,6bit_Vth,VinDac,#1
262,0,0,0
263,0,0,0
264,0,0,2
265,0,0,4
266,0,0,0
267,0,0,0
268,0,0,2
269,0,0,0
270,0,0,4
271,0,0,1
272,0,0,1
273,0,0,3
274,0,0,1
275,0,0,4
276,0,0,10
277,0,0,6
278,0,0,10
279,0,0,9
280,0,0,13
281,0,0,19
282,0,0,16
283,0,0,22
284,0,0,34
285,0,0,37
286,0,0,49
287,0,0,63
288,0,0,87
289,0,0,89
290,0,0,119
291,0,0,146
292,0,0,150
293,0,0,207
294,0,0,222
295,0,0,233
296,0,0,276
297,0,0,337
298,0,0,362
299,0,0,372
300,0,0,463
301,0,0,469
302,0,0,527
303,0,0,665
304,0,0,726
305,0,0,794
306,0,0,861
307,0,0,928
308,0,0,967
309,0,0,1073
310,0,0,1120
311,0,0,1145
312,0,0,1233
313,0,0,1264
314,0,0,1324
315,0,0,1347
316,0,0,1464
317,0,0,1476
318,0,0,1509
319,0,0,1562
320,0,0,1658
321,0,0,1686
322,0,0,1754
323,0,0,1829
324,0,0,1907
325,0,0,1934
326,0,0,1968
327,0,0,2032
328,0,0,2085
329,0,0,2108
330,0,0,2215
331,0,0,2309
332,0,0,2235
333,0,0,2426
334,0,0,2455
335,0,0,2553
336,0,0,2571
337,0,0,2662
338,0,0,2776
339,0,0,2782
340,0,0,2845
341,0,0,2938
342,0,0,3091
343,0,0,3152
344,0,0,3224
345,0,0,3310
346,0,0,3435
347,0,0,3489
348,0,0,3766
349,0,0,3907
350,0,0,4158
351,0,0,4423
352,0,0,5152
353,0,0,5851
354,0,0,6768
355,0,0,7795
356,0,0,9201
357,0,0,11472
358,0,0,15049
359,0,0,18708
360,0,0,22969
361,0,0,30584
362,0,0,40446
363,0,0,53342
364,0,0,66313
365,0,0,83763
366,0,0,104874
367,0,0,131236
368,0,0,151216
369,0,0,180335
370,0,0,211432
371,0,0,240201
372,0,0,264067
373,0,0,287288
374,0,0,310726
375,0,0,330889
376,0,0,348156
377,0,0,365758
378,0,0,383363
379,0,0,396783
380,0,0,408544
381,0,0,419407
382,0,0,430478
383,0,0,439720
384,0,0,455174
385,0,0,461486
386,0,0,469538
387,0,0,476306
388,0,0,483303
389,0,0,491469
390,0,0,501119
391,0,0,511013
392,0,0,520692
393,0,0,531779
394,0,0,544484
395,0,0,557494
396,0,0,568426
397,0,0,585092
398,0,0,606646
399,0,0,633685
400,0,0,664855
401,0,0,712667
402,0,0,763597
403,0,0,812745
404,0,0,848506
405,0,0,888462
406,0,0,921810
407,0,0,943991
408,0,0,958992
409,0,0,973440
410,0,0,984601
411,0,0,991207
412,0,0,994338
413,0,0,997001
414,0,0,998247
415,0,0,999125
416,0,0,999849
417,0,0,999960
418,0,0,999990
419,0,0,1000000
