Vth_T ,6bit_Vth,VinDac,#1
262,0,0,0
263,0,0,0
264,0,0,2
265,0,0,4
266,0,0,0
267,0,0,0
268,0,0,2
269,0,0,0
270,0,0,4
271,0,0,1
272,0,0,1
273,0,0,3
274,0,0,1
275,0,0,4
276,0,0,10
277,0,0,6
278,0,0,10
279,0,0,9
280,0,0,13
281,0,0,19
282,0,0,16
283,0,0,22
284,0,0,34
285,0,0,37
286,0,0,49
287,0,0,63
288,0,0,87
289,0,0,89
290,0,0,119
291,0,0,146
292,0,0,148
293,0,0,203
294,0,0,218
295,0,0,229
296,0,0,268
297,0,0,327
298,0,0,348
299,0,0,363
300,0,0,451
301,0,0,456
302,0,0,507
303,0,0,631
304,0,0,697
305,0,0,749
306,0,0,812
307,0,0,875
308,0,0,904
309,0,0,1003
310,0,0,1034
311,0,0,1061
312,0,0,1138
313,0,0,1156
314,0,0,1207
315,0,0,1232
316,0,0,1332
317,0,0,1337
318,0,0,1372
319,0,0,1422
320,0,0,1482
321,0,0,1513
322,0,0,1544
323,0,0,1600
324,0,0,1627
325,0,0,1670
326,0,0,1684
327,0,0,1742
328,0,0,1734
329,0,0,1762
330,0,0,1822
331,0,0,1893
332,0,0,1836
333,0,0,1959
334,0,0,1952
335,0,0,2022
336,0,0,2033
337,0,0,2096
338,0,0,2197
339,0,0,2200
340,0,0,2246
341,0,0,2298
342,0,0,2432
343,0,0,2516
344,0,0,2565
345,0,0,2641
346,0,0,2767
347,0,0,2821
348,0,0,3079
349,0,0,3203
350,0,0,3473
351,0,0,3684
352,0,0,4355
353,0,0,4955
354,0,0,5767
355,0,0,6732
356,0,0,7941
357,0,0,10006
358,0,0,13248
359,0,0,16582
360,0,0,20488
361,0,0,27297
362,0,0,35845
363,0,0,47039
364,0,0,58216
365,0,0,72938
366,0,0,90367
367,0,0,111902
368,0,0,127181
369,0,0,149728
370,0,0,172601
371,0,0,192464
372,0,0,207308
373,0,0,219843
374,0,0,231230
375,0,0,240113
376,0,0,246555
377,0,0,252206
378,0,0,257550
379,0,0,260366
380,0,0,262106
381,0,0,263470
382,0,0,262999
383,0,0,263324
384,0,0,262536
385,0,0,260872
386,0,0,258887
387,0,0,256722
388,0,0,254523
389,0,0,251709
390,0,0,248693
391,0,0,245594
392,0,0,242950
393,0,0,239970
394,0,0,237079
395,0,0,234185
396,0,0,231711
397,0,0,227546
398,0,0,221143
399,0,0,211318
400,0,0,197788
401,0,0,174099
402,0,0,146688
403,0,0,118851
404,0,0,97877
405,0,0,73311
406,0,0,52063
407,0,0,37765
408,0,0,27928
409,0,0,18665
410,0,0,11179
411,0,0,6501
412,0,0,4135
413,0,0,2205
414,0,0,1257
415,0,0,668
416,0,0,138
417,0,0,38
418,0,0,10
419,0,0,0
