Vth_T ,6bit_Vth,VinDac,#1
262,0,0,2
263,0,0,2
264,0,0,5
265,0,0,1
266,0,0,1
267,0,0,3
268,0,0,5
269,0,0,5
270,0,0,5
271,0,0,10
272,0,0,10
273,0,0,15
274,0,0,15
275,0,0,12
276,0,0,19
277,0,0,40
278,0,0,34
279,0,0,40
280,0,0,63
281,0,0,65
282,0,0,78
283,0,0,106
284,0,0,112
285,0,0,132
286,0,0,138
287,0,0,185
288,0,0,217
289,0,0,231
290,0,0,286
291,0,0,300
292,0,0,350
293,0,0,376
294,0,0,402
295,0,0,421
296,0,0,493
297,0,0,494
298,0,0,526
299,0,0,574
300,0,0,653
301,0,0,636
302,0,0,684
303,0,0,752
304,0,0,803
305,0,0,839
306,0,0,860
307,0,0,898
308,0,0,918
309,0,0,964
310,0,0,1045
311,0,0,1022
312,0,0,1077
313,0,0,1172
314,0,0,1127
315,0,0,1226
316,0,0,1256
317,0,0,1301
318,0,0,1313
319,0,0,1335
320,0,0,1414
321,0,0,1492
322,0,0,1524
323,0,0,1565
324,0,0,1606
325,0,0,1616
326,0,0,1697
327,0,0,1727
328,0,0,1684
329,0,0,1758
330,0,0,1761
331,0,0,1833
332,0,0,1870
333,0,0,1866
334,0,0,1885
335,0,0,1880
336,0,0,1923
337,0,0,1964
338,0,0,2007
339,0,0,2008
340,0,0,2054
341,0,0,2068
342,0,0,2114
343,0,0,2132
344,0,0,2178
345,0,0,2225
346,0,0,2282
347,0,0,2313
348,0,0,2375
349,0,0,2423
350,0,0,2530
351,0,0,2635
352,0,0,2822
353,0,0,2895
354,0,0,3069
355,0,0,3260
356,0,0,3384
357,0,0,3551
358,0,0,3793
359,0,0,4262
360,0,0,4558
361,0,0,4923
362,0,0,5465
363,0,0,6251
364,0,0,6862
365,0,0,7647
366,0,0,8909
367,0,0,10176
368,0,0,11275
369,0,0,13646
370,0,0,16204
371,0,0,19291
372,0,0,22889
373,0,0,28489
374,0,0,36081
375,0,0,45721
376,0,0,55176
377,0,0,68124
378,0,0,85625
379,0,0,106151
380,0,0,120528
381,0,0,143939
382,0,0,172322
383,0,0,201419
384,0,0,262326
385,0,0,296198
386,0,0,329137
387,0,0,359710
388,0,0,379959
389,0,0,405859
390,0,0,431549
391,0,0,450494
392,0,0,466222
393,0,0,481904
394,0,0,499410
395,0,0,515687
396,0,0,530796
397,0,0,550377
398,0,0,573594
399,0,0,599531
400,0,0,626362
401,0,0,662789
402,0,0,716329
403,0,0,760240
404,0,0,798447
405,0,0,842809
406,0,0,885100
407,0,0,916990
408,0,0,937886
409,0,0,957193
410,0,0,971646
411,0,0,982493
412,0,0,989215
413,0,0,994185
414,0,0,996816
415,0,0,998145
416,0,0,999454
417,0,0,999775
418,0,0,999953
419,0,0,999996
420,0,0,999999
