Vth_T ,6bit_Vth,VinDac,#1
262,0,0,2
263,0,0,2
264,0,0,5
265,0,0,1
266,0,0,1
267,0,0,3
268,0,0,5
269,0,0,5
270,0,0,5
271,0,0,10
272,0,0,10
273,0,0,15
274,0,0,15
275,0,0,12
276,0,0,19
277,0,0,40
278,0,0,34
279,0,0,40
280,0,0,63
281,0,0,65
282,0,0,78
283,0,0,106
284,0,0,112
285,0,0,132
286,0,0,138
287,0,0,185
288,0,0,216
289,0,0,231
290,0,0,286
291,0,0,300
292,0,0,350
293,0,0,376
294,0,0,401
295,0,0,421
296,0,0,489
297,0,0,492
298,0,0,523
299,0,0,568
300,0,0,645
301,0,0,635
302,0,0,677
303,0,0,744
304,0,0,801
305,0,0,834
306,0,0,849
307,0,0,892
308,0,0,901
309,0,0,953
310,0,0,1029
311,0,0,1009
312,0,0,1064
313,0,0,1150
314,0,0,1107
315,0,0,1200
316,0,0,1240
317,0,0,1281
318,0,0,1291
319,0,0,1311
320,0,0,1390
321,0,0,1458
322,0,0,1494
323,0,0,1535
324,0,0,1575
325,0,0,1593
326,0,0,1657
327,0,0,1689
328,0,0,1643
329,0,0,1715
330,0,0,1712
331,0,0,1778
332,0,0,1808
333,0,0,1809
334,0,0,1823
335,0,0,1822
336,0,0,1856
337,0,0,1914
338,0,0,1935
339,0,0,1944
340,0,0,1997
341,0,0,2010
342,0,0,2045
343,0,0,2068
344,0,0,2115
345,0,0,2154
346,0,0,2196
347,0,0,2239
348,0,0,2292
349,0,0,2337
350,0,0,2419
351,0,0,2530
352,0,0,2674
353,0,0,2741
354,0,0,2862
355,0,0,3056
356,0,0,3139
357,0,0,3278
358,0,0,3481
359,0,0,3846
360,0,0,4086
361,0,0,4331
362,0,0,4758
363,0,0,5356
364,0,0,5835
365,0,0,6435
366,0,0,7411
367,0,0,8390
368,0,0,9366
369,0,0,11169
370,0,0,13243
371,0,0,15653
372,0,0,18556
373,0,0,23151
374,0,0,29003
375,0,0,36625
376,0,0,43856
377,0,0,53610
378,0,0,66675
379,0,0,81502
380,0,0,91668
381,0,0,107705
382,0,0,126571
383,0,0,145017
384,0,0,183023
385,0,0,201705
386,0,0,217750
387,0,0,230872
388,0,0,237724
389,0,0,245778
390,0,0,251593
391,0,0,253341
392,0,0,253764
393,0,0,252494
394,0,0,249495
395,0,0,246029
396,0,0,242022
397,0,0,237031
398,0,0,230298
399,0,0,221970
400,0,0,212420
401,0,0,197009
402,0,0,171410
403,0,0,148227
404,0,0,126142
405,0,0,100195
406,0,0,74706
407,0,0,54702
408,0,0,41334
409,0,0,28866
410,0,0,19385
411,0,0,12344
412,0,0,7694
413,0,0,4124
414,0,0,2245
415,0,0,1317
416,0,0,407
417,0,0,182
418,0,0,42
419,0,0,4
420,0,0,1
