Vth_T ,6bit_Vth,VinDac,#1
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,2
252,0,0,0
253,0,0,0
254,0,0,2
255,0,0,0
256,0,0,1
257,0,0,1
258,0,0,2
259,0,0,1
260,0,0,1
261,0,0,3
262,0,0,1
263,0,0,2
264,0,0,0
265,0,0,1
266,0,0,3
267,0,0,1
268,0,0,2
269,0,0,9
270,0,0,3
271,0,0,11
272,0,0,13
273,0,0,9
274,0,0,17
275,0,0,16
276,0,0,19
277,0,0,34
278,0,0,32
279,0,0,63
280,0,0,66
281,0,0,71
282,0,0,91
283,0,0,101
284,0,0,98
285,0,0,129
286,0,0,151
287,0,0,194
288,0,0,245
289,0,0,252
290,0,0,266
291,0,0,337
292,0,0,346
293,0,0,397
294,0,0,415
295,0,0,468
296,0,0,472
297,0,0,528
298,0,0,562
299,0,0,632
300,0,0,648
301,0,0,698
302,0,0,773
303,0,0,778
304,0,0,813
305,0,0,888
306,0,0,880
307,0,0,980
308,0,0,988
309,0,0,1040
310,0,0,1047
311,0,0,1102
312,0,0,1128
313,0,0,1197
314,0,0,1217
315,0,0,1235
316,0,0,1255
317,0,0,1313
318,0,0,1380
319,0,0,1381
320,0,0,1455
321,0,0,1564
322,0,0,1569
323,0,0,1650
324,0,0,1631
325,0,0,1617
326,0,0,1692
327,0,0,1716
328,0,0,1765
329,0,0,1789
330,0,0,1854
331,0,0,1893
332,0,0,1873
333,0,0,1906
334,0,0,1908
335,0,0,1970
336,0,0,2008
337,0,0,2002
338,0,0,2018
339,0,0,2069
340,0,0,2096
341,0,0,2092
342,0,0,2170
343,0,0,2212
344,0,0,2237
345,0,0,2242
346,0,0,2324
347,0,0,2415
348,0,0,2415
349,0,0,2503
350,0,0,2566
351,0,0,2645
352,0,0,2846
353,0,0,2980
354,0,0,3099
355,0,0,3325
356,0,0,3514
357,0,0,3739
358,0,0,4015
359,0,0,4362
360,0,0,4673
361,0,0,5035
362,0,0,5675
363,0,0,6246
364,0,0,7115
365,0,0,7846
366,0,0,8888
367,0,0,9996
368,0,0,11482
369,0,0,13276
370,0,0,15764
371,0,0,18630
372,0,0,21970
373,0,0,27323
374,0,0,34772
375,0,0,43221
376,0,0,52539
377,0,0,65972
378,0,0,82913
379,0,0,100791
380,0,0,117826
381,0,0,138505
382,0,0,167888
383,0,0,194919
384,0,0,257814
385,0,0,289944
386,0,0,322646
387,0,0,353389
388,0,0,375792
389,0,0,403211
390,0,0,428794
391,0,0,448957
392,0,0,463391
393,0,0,481747
394,0,0,498912
395,0,0,516253
396,0,0,531187
397,0,0,550152
398,0,0,574252
399,0,0,599244
400,0,0,626950
401,0,0,664507
402,0,0,711396
403,0,0,760445
404,0,0,800025
405,0,0,845259
406,0,0,885182
407,0,0,917515
408,0,0,937576
409,0,0,956367
410,0,0,971209
411,0,0,982242
412,0,0,989047
413,0,0,993939
414,0,0,996833
415,0,0,998152
416,0,0,999433
417,0,0,999820
418,0,0,999972
419,0,0,999995
420,0,0,999998
