Vth_T ,6bit_Vth,VinDac,#1
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,2
252,0,0,0
253,0,0,0
254,0,0,2
255,0,0,0
256,0,0,1
257,0,0,1
258,0,0,2
259,0,0,1
260,0,0,1
261,0,0,3
262,0,0,1
263,0,0,2
264,0,0,0
265,0,0,1
266,0,0,3
267,0,0,1
268,0,0,2
269,0,0,9
270,0,0,3
271,0,0,11
272,0,0,13
273,0,0,9
274,0,0,17
275,0,0,16
276,0,0,19
277,0,0,34
278,0,0,32
279,0,0,63
280,0,0,66
281,0,0,71
282,0,0,91
283,0,0,101
284,0,0,98
285,0,0,128
286,0,0,151
287,0,0,193
288,0,0,245
289,0,0,252
290,0,0,266
291,0,0,336
292,0,0,342
293,0,0,394
294,0,0,412
295,0,0,466
296,0,0,471
297,0,0,525
298,0,0,559
299,0,0,623
300,0,0,640
301,0,0,695
302,0,0,763
303,0,0,770
304,0,0,799
305,0,0,872
306,0,0,863
307,0,0,968
308,0,0,964
309,0,0,1016
310,0,0,1021
311,0,0,1079
312,0,0,1104
313,0,0,1158
314,0,0,1188
315,0,0,1211
316,0,0,1230
317,0,0,1281
318,0,0,1350
319,0,0,1355
320,0,0,1425
321,0,0,1532
322,0,0,1540
323,0,0,1600
324,0,0,1597
325,0,0,1583
326,0,0,1637
327,0,0,1669
328,0,0,1706
329,0,0,1726
330,0,0,1782
331,0,0,1811
332,0,0,1814
333,0,0,1832
334,0,0,1836
335,0,0,1884
336,0,0,1925
337,0,0,1922
338,0,0,1939
339,0,0,1978
340,0,0,2020
341,0,0,2013
342,0,0,2087
343,0,0,2116
344,0,0,2149
345,0,0,2171
346,0,0,2231
347,0,0,2304
348,0,0,2319
349,0,0,2368
350,0,0,2417
351,0,0,2519
352,0,0,2661
353,0,0,2741
354,0,0,2843
355,0,0,3023
356,0,0,3153
357,0,0,3340
358,0,0,3512
359,0,0,3824
360,0,0,4035
361,0,0,4274
362,0,0,4728
363,0,0,5224
364,0,0,5915
365,0,0,6417
366,0,0,7242
367,0,0,8091
368,0,0,9270
369,0,0,10636
370,0,0,12658
371,0,0,14977
372,0,0,17695
373,0,0,22024
374,0,0,28062
375,0,0,34699
376,0,0,41907
377,0,0,52109
378,0,0,64771
379,0,0,77959
380,0,0,89822
381,0,0,103716
382,0,0,123890
383,0,0,141030
384,0,0,180639
385,0,0,198577
386,0,0,214967
387,0,0,228120
388,0,0,236452
389,0,0,244959
390,0,0,250370
391,0,0,252793
392,0,0,253235
393,0,0,252189
394,0,0,249423
395,0,0,245849
396,0,0,242088
397,0,0,237289
398,0,0,230225
399,0,0,221957
400,0,0,211957
401,0,0,196427
402,0,0,173873
403,0,0,147919
404,0,0,125356
405,0,0,98642
406,0,0,74336
407,0,0,54067
408,0,0,41292
409,0,0,29221
410,0,0,19613
411,0,0,12444
412,0,0,7743
413,0,0,4314
414,0,0,2238
415,0,0,1294
416,0,0,427
417,0,0,147
418,0,0,26
419,0,0,5
420,0,0,2
