Vth_T ,6bit_Vth,VinDac,#1
246,0,0,0
247,0,0,0
248,0,0,1
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,1
254,0,0,1
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,3
259,0,0,0
260,0,0,2
261,0,0,3
262,0,0,3
263,0,0,0
264,0,0,2
265,0,0,4
266,0,0,2
267,0,0,2
268,0,0,3
269,0,0,7
270,0,0,11
271,0,0,8
272,0,0,9
273,0,0,6
274,0,0,16
275,0,0,10
276,0,0,21
277,0,0,21
278,0,0,32
279,0,0,56
280,0,0,56
281,0,0,57
282,0,0,95
283,0,0,92
284,0,0,113
285,0,0,111
286,0,0,182
287,0,0,182
288,0,0,217
289,0,0,243
290,0,0,292
291,0,0,362
292,0,0,361
293,0,0,361
294,0,0,433
295,0,0,462
296,0,0,526
297,0,0,523
298,0,0,593
299,0,0,604
300,0,0,658
301,0,0,682
302,0,0,771
303,0,0,789
304,0,0,831
305,0,0,841
306,0,0,860
307,0,0,899
308,0,0,1001
309,0,0,1025
310,0,0,1091
311,0,0,1150
312,0,0,1163
313,0,0,1177
314,0,0,1189
315,0,0,1298
316,0,0,1258
317,0,0,1313
318,0,0,1414
319,0,0,1397
320,0,0,1464
321,0,0,1496
322,0,0,1574
323,0,0,1566
324,0,0,1631
325,0,0,1657
326,0,0,1688
327,0,0,1742
328,0,0,1744
329,0,0,1783
330,0,0,1829
331,0,0,1853
332,0,0,1874
333,0,0,1876
334,0,0,1942
335,0,0,1927
336,0,0,1977
337,0,0,1995
338,0,0,2053
339,0,0,2049
340,0,0,2101
341,0,0,2088
342,0,0,2109
343,0,0,2192
344,0,0,2186
345,0,0,2258
346,0,0,2329
347,0,0,2353
348,0,0,2435
349,0,0,2435
350,0,0,2586
351,0,0,2643
352,0,0,2804
353,0,0,3032
354,0,0,3122
355,0,0,3341
356,0,0,3483
357,0,0,3767
358,0,0,3985
359,0,0,4284
360,0,0,4569
361,0,0,5071
362,0,0,5581
363,0,0,6511
364,0,0,6955
365,0,0,7558
366,0,0,8778
367,0,0,10240
368,0,0,11572
369,0,0,13101
370,0,0,15598
371,0,0,18924
372,0,0,22310
373,0,0,27004
374,0,0,34607
375,0,0,43513
376,0,0,52235
377,0,0,64116
378,0,0,80855
379,0,0,99971
380,0,0,117988
381,0,0,140827
382,0,0,166714
383,0,0,195660
384,0,0,256320
385,0,0,287771
386,0,0,324582
387,0,0,353909
388,0,0,377032
389,0,0,404041
390,0,0,428353
391,0,0,447839
392,0,0,464091
393,0,0,481001
394,0,0,499293
395,0,0,516356
396,0,0,531280
397,0,0,550416
398,0,0,573647
399,0,0,598849
400,0,0,628052
401,0,0,665131
402,0,0,710872
403,0,0,759807
404,0,0,799692
405,0,0,846390
406,0,0,887567
407,0,0,917455
408,0,0,938775
409,0,0,956817
410,0,0,971533
411,0,0,982678
412,0,0,988886
413,0,0,994102
414,0,0,996774
415,0,0,998184
416,0,0,999432
417,0,0,999808
418,0,0,999958
419,0,0,999995
420,0,0,1000000
