Vth_T ,6bit_Vth,VinDac,#1
246,0,0,0
247,0,0,0
248,0,0,1
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,1
254,0,0,1
255,0,0,0
256,0,0,0
257,0,0,0
258,0,0,3
259,0,0,0
260,0,0,2
261,0,0,3
262,0,0,3
263,0,0,0
264,0,0,2
265,0,0,4
266,0,0,2
267,0,0,2
268,0,0,3
269,0,0,7
270,0,0,11
271,0,0,8
272,0,0,9
273,0,0,6
274,0,0,16
275,0,0,10
276,0,0,21
277,0,0,21
278,0,0,32
279,0,0,56
280,0,0,56
281,0,0,57
282,0,0,95
283,0,0,92
284,0,0,113
285,0,0,111
286,0,0,182
287,0,0,182
288,0,0,217
289,0,0,241
290,0,0,292
291,0,0,360
292,0,0,358
293,0,0,359
294,0,0,433
295,0,0,458
296,0,0,522
297,0,0,519
298,0,0,585
299,0,0,599
300,0,0,652
301,0,0,673
302,0,0,754
303,0,0,780
304,0,0,816
305,0,0,823
306,0,0,846
307,0,0,884
308,0,0,977
309,0,0,1006
310,0,0,1072
311,0,0,1129
312,0,0,1140
313,0,0,1151
314,0,0,1165
315,0,0,1269
316,0,0,1233
317,0,0,1283
318,0,0,1383
319,0,0,1375
320,0,0,1428
321,0,0,1457
322,0,0,1541
323,0,0,1527
324,0,0,1589
325,0,0,1616
326,0,0,1650
327,0,0,1680
328,0,0,1694
329,0,0,1720
330,0,0,1746
331,0,0,1800
332,0,0,1802
333,0,0,1805
334,0,0,1866
335,0,0,1839
336,0,0,1911
337,0,0,1922
338,0,0,1978
339,0,0,1971
340,0,0,2011
341,0,0,2023
342,0,0,2043
343,0,0,2100
344,0,0,2110
345,0,0,2174
346,0,0,2233
347,0,0,2256
348,0,0,2332
349,0,0,2337
350,0,0,2444
351,0,0,2470
352,0,0,2598
353,0,0,2809
354,0,0,2861
355,0,0,3041
356,0,0,3158
357,0,0,3353
358,0,0,3525
359,0,0,3729
360,0,0,3951
361,0,0,4305
362,0,0,4693
363,0,0,5437
364,0,0,5787
365,0,0,6224
366,0,0,7139
367,0,0,8278
368,0,0,9360
369,0,0,10564
370,0,0,12600
371,0,0,15351
372,0,0,17997
373,0,0,21731
374,0,0,27811
375,0,0,34899
376,0,0,41681
377,0,0,50822
378,0,0,63127
379,0,0,77394
380,0,0,89994
381,0,0,105698
382,0,0,122939
383,0,0,141305
384,0,0,179810
385,0,0,197381
386,0,0,215519
387,0,0,227767
388,0,0,236741
389,0,0,244634
390,0,0,250363
391,0,0,252590
392,0,0,253180
393,0,0,251959
394,0,0,249360
395,0,0,245880
396,0,0,242286
397,0,0,237114
398,0,0,230452
399,0,0,222194
400,0,0,211701
401,0,0,195971
402,0,0,173995
403,0,0,148028
404,0,0,125661
405,0,0,98031
406,0,0,72870
407,0,0,54078
408,0,0,40609
409,0,0,28922
410,0,0,19508
411,0,0,12063
412,0,0,7846
413,0,0,4148
414,0,0,2249
415,0,0,1295
416,0,0,424
417,0,0,149
418,0,0,35
419,0,0,5
420,0,0,0
