Vth_T ,6bit_Vth,#1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0,0
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,0
141,0,0
142,0,0
143,0,0
144,0,0
145,0,0
146,0,0
147,0,0
148,0,0
149,0,0
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
158,0,0
159,0,0
160,0,0
161,0,0
162,0,0
163,0,0
164,0,0
165,0,0
166,0,0
167,0,0
168,0,0
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,0,0
176,0,0
177,0,0
178,0,0
179,0,0
180,0,0
181,0,0
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,0
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,0,0
196,0,0
197,0,0
198,0,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,0
204,0,0
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,2
234,0,1
235,0,1
236,0,0
237,0,0
238,0,3
239,0,0
240,0,2
241,0,5
242,0,6
243,0,11
244,0,9
245,0,19
246,0,22
247,0,31
248,0,45
249,0,58
250,0,75
251,0,78
252,0,110
253,0,142
254,0,172
255,0,198
256,0,318
257,0,342
258,0,379
259,0,417
260,0,431
261,0,491
262,0,532
263,0,615
264,0,623
265,0,660
266,0,741
267,0,776
268,0,814
269,0,872
270,0,953
271,0,992
272,0,1011
273,0,1106
274,0,1135
275,0,1213
276,0,1298
277,0,1333
278,0,1416
279,0,1470
280,0,1516
281,0,1573
282,0,1619
283,0,1663
284,0,1688
285,0,1717
286,0,1775
287,0,1806
288,0,1811
289,0,1846
290,0,1828
291,0,1854
292,0,1893
293,0,1906
294,0,1899
295,0,1877
296,0,1927
297,0,1941
298,0,1934
299,0,1985
300,0,1984
301,0,1971
302,0,1982
303,0,1975
304,0,2032
305,0,2015
306,0,2050
307,0,2061
308,0,2072
309,0,2059
310,0,2094
311,0,2104
312,0,2116
313,0,2135
314,0,2131
315,0,2171
316,0,2182
317,0,2232
318,0,2296
319,0,2315
320,0,2411
321,0,2487
322,0,2597
323,0,2674
324,0,2725
325,0,2858
326,0,2939
327,0,3048
328,0,3194
329,0,3320
330,0,3393
331,0,3560
332,0,3760
333,0,3931
334,0,4006
335,0,4241
336,0,4392
337,0,4648
338,0,4794
339,0,5098
340,0,5298
341,0,5654
342,0,6027
343,0,6586
344,0,6986
345,0,7594
346,0,8563
347,0,9800
348,0,11001
349,0,13204
350,0,15129
351,0,18515
352,0,26610
353,0,33966
354,0,44062
355,0,57822
356,0,69920
357,0,94540
358,0,124480
359,0,159575
360,0,186180
361,0,229430
362,0,275602
363,0,317275
364,0,351376
365,0,381778
366,0,410223
367,0,433589
368,0,450272
369,0,465220
370,0,478845
371,0,490509
372,0,500474
373,0,512545
374,0,526541
375,0,541869
376,0,556748
377,0,573123
378,0,598952
379,0,630666
380,0,666334
381,0,706959
382,0,758533
383,0,798811
384,0,881599
385,0,912932
386,0,937945
387,0,957001
388,0,970593
389,0,982644
390,0,989621
391,0,993478
392,0,995407
393,0,997657
394,0,998855
395,0,999418
396,0,999740
397,0,999861
398,0,999940
399,0,999982
400,0,999996
401,0,999999
402,0,1000000
403,0,1000000
404,0,1000000
405,0,1000000
406,0,1000000
407,0,1000000
408,0,1000000
409,0,1000000
410,0,1000000
411,0,1000000
412,0,1000000
413,0,1000000
414,0,1000000
415,0,1000000
416,0,1000000
417,0,1000000
418,0,1000000
419,0,1000000
420,0,1000000
421,0,1000000
422,0,1000000
423,0,1000000
424,0,1000000
425,0,1000000
426,0,1000000
427,0,1000000
428,0,1000000
429,0,1000000
430,0,1000000
431,0,1000000
432,0,1000000
433,0,1000000
434,0,1000000
435,0,1000000
436,0,1000000
437,0,1000000
438,0,1000000
439,0,1000000
440,0,1000000
441,0,1000000
442,0,1000000
443,0,1000000
444,0,1000000
445,0,1000000
446,0,1000000
447,0,1000000
448,0,1000000
449,0,1000000
450,0,1000000
451,0,1000000
452,0,1000000
453,0,1000000
454,0,1000000
455,0,1000000
456,0,1000000
457,0,1000000
458,0,1000000
459,0,1000000
460,0,1000000
461,0,1000000
462,0,1000000
463,0,1000000
464,0,1000000
465,0,1000000
466,0,1000000
467,0,1000000
468,0,1000000
469,0,1000000
470,0,1000000
471,0,1000000
472,0,1000000
473,0,1000000
474,0,1000000
475,0,1000000
476,0,1000000
477,0,1000000
478,0,1000000
479,0,1000000
480,0,1000000
481,0,1000000
482,0,1000000
483,0,1000000
484,0,1000000
485,0,1000000
486,0,1000000
487,0,1000000
488,0,1000000
489,0,1000000
490,0,1000000
491,0,1000000
492,0,1000000
493,0,1000000
494,0,1000000
495,0,1000000
496,0,1000000
497,0,1000000
498,0,1000000
499,0,1000000
500,0,1000000
501,0,1000000
502,0,1000000
503,0,1000000
504,0,1000000
505,0,1000000
506,0,1000000
507,0,1000000
508,0,1000000
509,0,1000000
510,0,1000000
511,0,1000000
