Vth_T ,6bit_Vth,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20
0,0,3102,3148,3130,3171,3130,3108,3142,3125,3200,3107,3157,3156,3157,3143,3171,3159,3103,3157,3052,3155
1,0,3154,3187,3154,3196,3185,3161,3142,3217,3224,3217,3230,3203,3172,3204,3270,3162,3187,3211,3266,3186
2,0,3229,3284,3204,3230,3199,3197,3238,3245,3188,3183,3198,3248,3201,3175,3212,3244,3223,3239,3193,3242
3,0,3160,3158,3212,3190,3257,3198,3274,3251,3262,3224,3167,3217,3209,3223,3218,3286,3215,3204,3267,3187
4,0,3216,3213,3230,3242,3165,3219,3242,3245,3231,3253,3229,3277,3278,3256,3273,3280,3280,3243,3278,3205
5,0,3229,3301,3270,3261,3271,3262,3292,3297,3281,3298,3313,3278,3342,3259,3311,3267,3260,3314,3247,3268
6,0,3315,3282,3347,3341,3309,3303,3330,3323,3349,3329,3311,3326,3364,3296,3311,3311,3305,3331,3359,3380
7,0,3257,3322,3305,3359,3325,3336,3349,3290,3326,3326,3309,3325,3299,3327,3311,3314,3339,3322,3270,3382
8,0,3331,3364,3328,3363,3326,3372,3323,3311,3317,3347,3366,3340,3346,3361,3377,3342,3375,3344,3333,3370
9,0,3319,3345,3364,3373,3370,3350,3434,3355,3389,3381,3344,3423,3397,3423,3407,3370,3370,3398,3359,3347
10,0,3321,3401,3391,3403,3431,3440,3433,3389,3445,3421,3427,3451,3440,3425,3443,3383,3402,3411,3386,3444
11,0,3381,3419,3458,3412,3464,3432,3425,3452,3479,3436,3428,3447,3444,3452,3428,3523,3386,3424,3428,3412
12,0,3415,3449,3416,3448,3410,3479,3473,3412,3438,3441,3401,3384,3450,3463,3475,3429,3379,3491,3464,3430
13,0,3453,3468,3492,3471,3496,3472,3421,3417,3436,3460,3467,3443,3456,3491,3422,3491,3510,3466,3500,3407
14,0,3457,3530,3499,3479,3496,3435,3469,3448,3491,3499,3495,3520,3428,3545,3479,3488,3495,3513,3518,3520
15,0,3486,3513,3512,3537,3567,3533,3527,3492,3560,3516,3535,3595,3524,3522,3531,3530,3548,3536,3505,3516
16,0,3507,3514,3563,3482,3544,3553,3544,3493,3551,3507,3575,3514,3575,3560,3543,3556,3586,3512,3560,3532
17,0,3468,3585,3617,3566,3563,3598,3597,3620,3578,3557,3578,3581,3539,3559,3569,3550,3559,3655,3544,3563
18,0,3551,3597,3563,3579,3571,3580,3605,3545,3593,3579,3559,3610,3547,3601,3601,3651,3618,3624,3579,3560
19,0,3571,3581,3636,3620,3640,3636,3645,3618,3648,3616,3616,3636,3597,3596,3638,3602,3623,3590,3613,3577
20,0,3599,3623,3638,3625,3605,3645,3648,3622,3643,3674,3617,3653,3630,3623,3611,3586,3596,3667,3632,3638
21,0,3621,3689,3645,3641,3694,3628,3603,3661,3609,3640,3663,3647,3644,3656,3656,3650,3690,3700,3634,3678
22,0,3677,3674,3700,3707,3692,3725,3693,3728,3706,3665,3692,3679,3714,3648,3680,3731,3673,3654,3736,3652
23,0,3699,3734,3707,3727,3735,3734,3720,3721,3745,3734,3720,3708,3700,3702,3671,3738,3708,3729,3740,3701
24,0,3696,3717,3710,3741,3739,3774,3785,3769,3773,3735,3805,3762,3761,3717,3776,3740,3771,3774,3743,3751
25,0,3773,3785,3765,3772,3761,3792,3765,3763,3769,3775,3744,3794,3711,3767,3755,3780,3788,3789,3767,3772
26,0,3798,3789,3767,3822,3814,3824,3798,3794,3774,3812,3807,3782,3813,3819,3797,3805,3820,3824,3790,3844
27,0,3775,3827,3824,3793,3841,3790,3811,3870,3803,3787,3843,3842,3828,3851,3818,3817,3853,3841,3832,3836
28,0,3797,3837,3837,3807,3809,3859,3816,3845,3838,3831,3820,3850,3835,3795,3839,3849,3852,3889,3837,3841
29,0,3799,3835,3883,3819,3832,3825,3854,3837,3850,3840,3851,3853,3889,3872,3850,3846,3874,3890,3903,3909
30,0,3882,3913,3914,3846,3926,3897,3920,3869,3890,3907,3916,3920,3932,3863,3856,3887,3874,3863,3892,3908
31,0,3941,3887,3933,3922,3931,3914,3902,3894,3893,3915,3916,3898,3928,3907,3943,3926,3911,3913,3960,3857
32,0,3947,3928,3910,3913,3932,3963,3949,3934,3950,3945,3920,3953,3933,3927,3940,3928,3947,3926,3940,3936
33,0,3956,3920,3970,3962,3979,3989,3973,3970,3994,3953,3981,3940,3961,3965,3942,3973,3951,3971,3941,3951
34,0,3934,3993,4007,3976,3985,3998,3960,4000,3974,3967,3987,4006,3999,4009,4022,4012,3946,3998,3976,3979
35,0,4001,4010,3976,4023,3989,3996,3994,4013,3992,4007,3958,4008,4023,4044,4060,4025,4045,3989,4022,3975
36,0,3981,4021,4045,4015,4038,4053,4048,4048,4052,4008,4030,4023,4009,4037,4048,4028,4035,4049,4029,3996
