Vth_T ,6bit_Vth,#1
304,0,2
305,0,1
306,0,2
307,0,0
308,0,4
309,0,5
310,0,3
311,0,20
312,0,15
313,0,18
314,0,31
315,0,47
316,0,37
317,0,53
318,0,86
319,0,78
320,0,116
321,0,123
322,0,157
323,0,184
324,0,210
325,0,236
326,0,287
327,0,312
328,0,346
329,0,381
330,0,436
331,0,434
332,0,501
333,0,536
334,0,667
335,0,667
336,0,699
337,0,833
338,0,881
339,0,972
340,0,1104
341,0,1129
342,0,1304
343,0,1446
344,0,1530
345,0,1723
346,0,1790
347,0,1900
348,0,2059
349,0,2231
350,0,2420
351,0,2538
352,0,2812
353,0,2960
354,0,3244
355,0,3391
356,0,3561
357,0,3833
358,0,4016
359,0,4400
360,0,4735
361,0,5144
362,0,5682
363,0,6198
364,0,7056
365,0,8202
366,0,9572
367,0,11635
368,0,12997
369,0,16635
370,0,20067
371,0,25120
372,0,32142
373,0,38894
374,0,50017
375,0,62693
376,0,76691
377,0,95039
378,0,118992
379,0,147201
380,0,171473
381,0,208963
382,0,257544
383,0,302267
384,0,400082
385,0,433165
386,0,463724
387,0,489427
388,0,507729
389,0,521774
390,0,530807
391,0,540440
392,0,547294
393,0,555927
394,0,566107
395,0,580016
396,0,593475
397,0,612725
398,0,638444
399,0,671969
400,0,705219
401,0,749204
402,0,794301
403,0,837577
404,0,871527
405,0,904816
406,0,932072
407,0,952016
408,0,965489
409,0,978011
410,0,986474
411,0,992077
412,0,995136
413,0,997009
414,0,998425
415,0,999154
416,0,999844
417,0,999948
418,0,999990
419,0,999999
420,0,1000000
