Vth_T ,6bit_Vth,#1
304,0,2
305,0,1
306,0,2
307,0,0
308,0,4
309,0,5
310,0,2
311,0,17
312,0,12
313,0,16
314,0,24
315,0,39
316,0,34
317,0,47
318,0,74
319,0,65
320,0,103
321,0,108
322,0,130
323,0,165
324,0,186
325,0,205
326,0,245
327,0,276
328,0,309
329,0,343
330,0,398
331,0,400
332,0,454
333,0,483
334,0,615
335,0,602
336,0,647
337,0,754
338,0,799
339,0,883
340,0,970
341,0,1010
342,0,1140
343,0,1273
344,0,1317
345,0,1472
346,0,1530
347,0,1592
348,0,1682
349,0,1805
350,0,1889
351,0,1981
352,0,2145
353,0,2217
354,0,2347
355,0,2450
356,0,2512
357,0,2626
358,0,2744
359,0,2859
360,0,3064
361,0,3245
362,0,3518
363,0,3695
364,0,4184
365,0,4664
366,0,5459
367,0,6528
368,0,7113
369,0,9076
370,0,10583
371,0,13003
372,0,16328
373,0,19249
374,0,23941
375,0,29001
376,0,35007
377,0,42144
378,0,51185
379,0,61487
380,0,69912
381,0,82599
382,0,98530
383,0,111944
384,0,139697
385,0,147138
386,0,152486
387,0,156555
388,0,159171
389,0,160967
390,0,161369
391,0,161696
392,0,161756
393,0,161347
394,0,160666
395,0,159543
396,0,157712
397,0,154308
398,0,148469
399,0,139188
400,0,128292
401,0,113204
402,0,94785
403,0,76982
404,0,62177
405,0,47068
406,0,34488
407,0,24804
408,0,18299
409,0,11990
410,0,7633
411,0,4585
412,0,2818
413,0,1661
414,0,914
415,0,518
416,0,121
417,0,44
418,0,8
419,0,1
420,0,0
