Vth_T ,6bit_Vth,#1
216,0,0
217,0,0
218,0,0
219,0,0
220,0,1
221,0,0
222,0,2
223,0,0
224,0,4
225,0,6
226,0,13
227,0,7
228,0,10
229,0,10
230,0,15
231,0,32
232,0,26
233,0,37
234,0,62
235,0,66
236,0,86
237,0,125
238,0,152
239,0,175
240,0,264
241,0,326
242,0,363
243,0,434
244,0,570
245,0,653
246,0,753
247,0,904
248,0,991
249,0,1131
250,0,1253
251,0,1420
252,0,1536
253,0,1727
254,0,1856
255,0,2100
256,0,2528
257,0,2758
258,0,3028
259,0,3295
260,0,3500
261,0,3712
262,0,3953
263,0,4336
264,0,4549
265,0,4875
266,0,5144
267,0,5447
268,0,5717
269,0,6044
270,0,6317
271,0,6520
272,0,6941
273,0,7226
274,0,7711
275,0,7794
276,0,8203
277,0,8796
278,0,9190
279,0,9799
280,0,10233
281,0,10868
282,0,11678
283,0,12392
284,0,13021
285,0,13935
286,0,15136
287,0,16018
288,0,18500
289,0,19576
290,0,20882
291,0,22386
292,0,23697
293,0,25117
294,0,27030
295,0,28851
296,0,30382
297,0,32132
298,0,34610
299,0,36296
300,0,37759
301,0,39809
302,0,42498
303,0,44484
304,0,46102
305,0,48774
306,0,50987
307,0,53452
308,0,55744
309,0,58207
310,0,61050
311,0,63607
312,0,65219
313,0,68415
314,0,71376
315,0,75597
316,0,77403
317,0,81176
318,0,84138
319,0,87533
320,0,96582
321,0,101438
322,0,105780
323,0,109832
324,0,114887
325,0,120427
326,0,126683
327,0,132171
328,0,138639
329,0,145312
330,0,152862
331,0,161398
332,0,168040
333,0,177234
334,0,188646
335,0,198480
336,0,207775
337,0,218838
338,0,232251
339,0,244949
340,0,256811
341,0,272566
342,0,286956
343,0,303070
344,0,316848
345,0,334579
346,0,354791
347,0,374997
348,0,392059
349,0,420684
350,0,448563
351,0,478692
352,0,544218
353,0,589024
354,0,640764
355,0,696747
356,0,741406
357,0,789796
358,0,835955
359,0,877759
360,0,900650
361,0,927307
362,0,946731
363,0,959302
364,0,966857
365,0,972608
366,0,978118
367,0,981781
368,0,981875
369,0,982140
370,0,982369
371,0,979818
372,0,978444
373,0,974347
374,0,972569
375,0,969291
376,0,968034
377,0,964933
378,0,961647
379,0,957839
380,0,954516
381,0,950625
382,0,943477
383,0,939501
384,0,931261
385,0,922577
386,0,912288
387,0,899171
388,0,885980
389,0,870240
390,0,852971
391,0,839286
392,0,830460
393,0,821684
394,0,818760
395,0,819537
396,0,825147
397,0,837659
398,0,855731
399,0,874660
400,0,894632
401,0,913858
402,0,935161
403,0,952790
404,0,964268
405,0,975070
406,0,983452
407,0,989334
408,0,993339
409,0,995966
410,0,998014
411,0,998793
412,0,999149
413,0,999483
414,0,999789
415,0,999937
416,0,1000000
