Vth_T ,6bit_Vth,#1
216,0,0
217,0,0
218,0,0
219,0,0
220,0,1
221,0,0
222,0,2
223,0,0
224,0,4
225,0,6
226,0,13
227,0,7
228,0,10
229,0,10
230,0,15
231,0,30
232,0,26
233,0,36
234,0,62
235,0,66
236,0,86
237,0,124
238,0,152
239,0,174
240,0,260
241,0,317
242,0,360
243,0,428
244,0,558
245,0,644
246,0,740
247,0,890
248,0,962
249,0,1114
250,0,1222
251,0,1383
252,0,1488
253,0,1690
254,0,1810
255,0,2046
256,0,2469
257,0,2684
258,0,2949
259,0,3210
260,0,3415
261,0,3620
262,0,3820
263,0,4228
264,0,4410
265,0,4729
266,0,4982
267,0,5278
268,0,5522
269,0,5840
270,0,6064
271,0,6275
272,0,6662
273,0,6911
274,0,7377
275,0,7446
276,0,7774
277,0,8309
278,0,8650
279,0,9209
280,0,9582
281,0,10143
282,0,10867
283,0,11443
284,0,11973
285,0,12774
286,0,13764
287,0,14533
288,0,16512
289,0,17389
290,0,18598
291,0,19784
292,0,20864
293,0,21980
294,0,23597
295,0,25085
296,0,26186
297,0,27621
298,0,29537
299,0,30833
300,0,32006
301,0,33597
302,0,35686
303,0,37091
304,0,38332
305,0,40286
306,0,41971
307,0,43716
308,0,45568
309,0,47276
310,0,49278
311,0,50930
312,0,52143
313,0,54220
314,0,56416
315,0,59069
316,0,60222
317,0,62694
318,0,64687
319,0,66555
320,0,71814
321,0,74237
322,0,76906
323,0,78973
324,0,81266
325,0,83837
326,0,87192
327,0,88957
328,0,91664
329,0,94546
330,0,97363
331,0,100193
332,0,102367
333,0,104935
334,0,108245
335,0,110653
336,0,112911
337,0,115799
338,0,117955
339,0,120565
340,0,122250
341,0,124544
342,0,126515
343,0,127984
344,0,128627
345,0,130578
346,0,130949
347,0,131281
348,0,130983
349,0,129572
350,0,127610
351,0,124490
352,0,114710
353,0,106156
354,0,95475
355,0,83150
356,0,72811
357,0,61151
358,0,49010
359,0,37691
360,0,31021
361,0,23760
362,0,17914
363,0,14254
364,0,12021
365,0,10328
366,0,8715
367,0,7804
368,0,7938
369,0,8353
370,0,8717
371,0,10316
372,0,11557
373,0,13792
374,0,15312
375,0,17429
376,0,18719
377,0,20781
378,0,23220
379,0,25786
380,0,27845
381,0,30606
382,0,34871
383,0,37204
384,0,42602
385,0,47010
386,0,52152
387,0,58480
388,0,64377
389,0,71429
390,0,79052
391,0,85883
392,0,90131
393,0,94398
394,0,95967
395,0,96090
396,0,93776
397,0,88040
398,0,79163
399,0,69020
400,0,58166
401,0,47985
402,0,36636
403,0,26884
404,0,20363
405,0,14309
406,0,9500
407,0,6261
408,0,3989
409,0,2359
410,0,1210
411,0,704
412,0,490
413,0,300
414,0,134
415,0,45
416,0,0
