Vth_T ,6bit_Vth,#1
185,0,0
186,0,0
187,0,1
188,0,0
189,0,1
190,0,1
191,0,0
192,0,0
193,0,4
194,0,1
195,0,1
196,0,1
197,0,2
198,0,4
199,0,3
200,0,5
201,0,4
202,0,8
203,0,5
204,0,8
205,0,8
206,0,11
207,0,13
208,0,14
209,0,13
210,0,18
211,0,33
212,0,31
213,0,39
214,0,43
215,0,43
216,0,40
217,0,58
218,0,66
219,0,75
220,0,84
221,0,113
222,0,142
223,0,139
224,0,199
225,0,219
226,0,252
227,0,321
228,0,361
229,0,422
230,0,436
231,0,553
232,0,642
233,0,716
234,0,874
235,0,917
236,0,1094
237,0,1297
238,0,1396
239,0,1740
240,0,1774
241,0,2127
242,0,2434
243,0,2722
244,0,3076
245,0,3573
246,0,3794
247,0,4409
248,0,4575
249,0,5226
250,0,5957
251,0,6437
252,0,7158
253,0,7805
254,0,8531
255,0,9376
256,0,11114
257,0,12032
258,0,12997
259,0,14027
260,0,14668
261,0,16068
262,0,17134
263,0,18036
264,0,18744
265,0,19539
266,0,20892
267,0,21914
268,0,22983
269,0,23687
270,0,24974
271,0,25900
272,0,26482
273,0,27400
274,0,29158
275,0,29974
276,0,30141
277,0,32188
278,0,33152
279,0,33885
280,0,34530
281,0,35734
282,0,36780
283,0,37866
284,0,39701
285,0,40386
286,0,41947
287,0,43230
288,0,46020
289,0,47413
290,0,49084
291,0,50618
292,0,52377
293,0,54102
294,0,56190
295,0,57779
296,0,59843
297,0,61059
298,0,64353
299,0,66621
300,0,68288
301,0,70295
302,0,72262
303,0,75498
304,0,78150
305,0,80724
306,0,84101
307,0,87433
308,0,90625
309,0,93238
310,0,97137
311,0,101190
312,0,105178
313,0,108273
314,0,112897
315,0,118228
316,0,122062
317,0,127919
318,0,133534
319,0,139331
320,0,153300
321,0,160373
322,0,169463
323,0,175703
324,0,183775
325,0,191624
326,0,202349
327,0,211415
328,0,221433
329,0,230658
330,0,242918
331,0,255872
332,0,266303
333,0,276625
334,0,291437
335,0,306474
336,0,320571
337,0,336541
338,0,353939
339,0,369727
340,0,385214
341,0,405944
342,0,426004
343,0,446488
344,0,461583
345,0,487049
346,0,508215
347,0,534156
348,0,551616
349,0,579682
350,0,605449
351,0,631247
352,0,674694
353,0,702587
354,0,728761
355,0,752915
356,0,773126
357,0,795117
358,0,814048
359,0,833298
360,0,846742
361,0,861622
362,0,875958
363,0,885933
364,0,894343
365,0,903017
366,0,910088
367,0,915268
368,0,918246
369,0,922292
370,0,924761
371,0,926711
372,0,927478
373,0,928065
374,0,928032
375,0,927954
376,0,926532
377,0,925338
378,0,922985
379,0,921582
380,0,919491
381,0,917827
382,0,915345
383,0,913058
384,0,910023
385,0,909114
386,0,907837
387,0,906084
388,0,906129
389,0,903928
390,0,901849
391,0,901226
392,0,900087
393,0,900226
394,0,903911
395,0,907283
396,0,910230
397,0,916309
398,0,924355
399,0,932860
400,0,941008
401,0,950933
402,0,962455
403,0,972222
404,0,978248
405,0,984309
406,0,989996
407,0,993520
408,0,995503
409,0,997318
410,0,998620
411,0,999128
412,0,999462
413,0,999711
414,0,999884
415,0,999942
416,0,999999
417,0,1000000
