Vth_T ,6bit_Vth,#1
185,0,0
186,0,0
187,0,1
188,0,0
189,0,1
190,0,1
191,0,0
192,0,0
193,0,3
194,0,1
195,0,1
196,0,1
197,0,2
198,0,4
199,0,3
200,0,5
201,0,3
202,0,8
203,0,5
204,0,7
205,0,8
206,0,9
207,0,12
208,0,13
209,0,13
210,0,14
211,0,28
212,0,26
213,0,34
214,0,38
215,0,38
216,0,36
217,0,57
218,0,61
219,0,69
220,0,81
221,0,107
222,0,133
223,0,131
224,0,188
225,0,204
226,0,235
227,0,303
228,0,334
229,0,396
230,0,418
231,0,517
232,0,595
233,0,679
234,0,810
235,0,862
236,0,1030
237,0,1198
238,0,1295
239,0,1615
240,0,1644
241,0,1965
242,0,2272
243,0,2524
244,0,2841
245,0,3279
246,0,3458
247,0,4016
248,0,4154
249,0,4749
250,0,5381
251,0,5805
252,0,6453
253,0,6978
254,0,7597
255,0,8336
256,0,9757
257,0,10496
258,0,11382
259,0,12153
260,0,12755
261,0,13857
262,0,14636
263,0,15504
264,0,16033
265,0,16656
266,0,17639
267,0,18486
268,0,19230
269,0,19771
270,0,20858
271,0,21573
272,0,21945
273,0,22684
274,0,24057
275,0,24592
276,0,24804
277,0,26298
278,0,27039
279,0,27710
280,0,27997
281,0,29002
282,0,29912
283,0,30618
284,0,32033
285,0,32592
286,0,33779
287,0,34648
288,0,36696
289,0,37729
290,0,39035
291,0,39943
292,0,41282
293,0,42475
294,0,44059
295,0,45367
296,0,46746
297,0,47521
298,0,49708
299,0,51390
300,0,52392
301,0,53763
302,0,55256
303,0,57492
304,0,59108
305,0,60673
306,0,62832
307,0,64874
308,0,66770
309,0,68327
310,0,70625
311,0,73079
312,0,75590
313,0,76987
314,0,79506
315,0,82256
316,0,84447
317,0,87116
318,0,89826
319,0,92326
320,0,98565
321,0,101145
322,0,104894
323,0,107393
324,0,109958
325,0,112792
326,0,116185
327,0,118803
328,0,121802
329,0,124522
330,0,127588
331,0,130269
332,0,132745
333,0,134586
334,0,137565
335,0,139694
336,0,141895
337,0,144120
338,0,145999
339,0,147347
340,0,147582
341,0,148986
342,0,149472
343,0,149139
344,0,148780
345,0,147445
346,0,145672
347,0,143675
348,0,141147
349,0,137621
350,0,133541
351,0,128479
352,0,120110
353,0,113503
354,0,106728
355,0,99843
356,0,94516
357,0,87634
358,0,81929
359,0,75749
360,0,70508
361,0,66073
362,0,61066
363,0,57355
364,0,54504
365,0,51101
366,0,48831
367,0,47261
368,0,46561
369,0,45216
370,0,44783
371,0,44734
372,0,44976
373,0,45612
374,0,46299
375,0,47298
376,0,48894
377,0,50099
378,0,51845
379,0,53645
380,0,55553
381,0,56887
382,0,58947
383,0,60881
384,0,63813
385,0,64444
386,0,65286
387,0,66329
388,0,66202
389,0,67281
390,0,67848
391,0,67912
392,0,67849
393,0,66698
394,0,64016
395,0,60979
396,0,58627
397,0,54047
398,0,48616
399,0,43057
400,0,37547
401,0,31020
402,0,23850
403,0,17759
404,0,13614
405,0,9847
406,0,6313
407,0,4147
408,0,2826
409,0,1714
410,0,871
411,0,519
412,0,340
413,0,194
414,0,80
415,0,42
416,0,1
417,0,0
