Vth_T ,6bit_Vth,#1
149,0,0
150,0,0
151,0,4
152,0,0
153,0,2
154,0,2
155,0,1
156,0,1
157,0,1
158,0,1
159,0,4
160,0,4
161,0,2
162,0,3
163,0,4
164,0,8
165,0,9
166,0,15
167,0,14
168,0,14
169,0,12
170,0,23
171,0,19
172,0,31
173,0,27
174,0,34
175,0,44
176,0,41
177,0,41
178,0,51
179,0,49
180,0,68
181,0,78
182,0,99
183,0,92
184,0,106
185,0,122
186,0,126
187,0,161
188,0,196
189,0,195
190,0,243
191,0,249
192,0,285
193,0,339
194,0,360
195,0,395
196,0,473
197,0,515
198,0,555
199,0,602
200,0,701
201,0,694
202,0,726
203,0,866
204,0,888
205,0,1027
206,0,988
207,0,1220
208,0,1183
209,0,1395
210,0,1431
211,0,1533
212,0,1592
213,0,1743
214,0,1862
215,0,1970
216,0,2131
217,0,2310
218,0,2319
219,0,2529
220,0,2663
221,0,2737
222,0,2940
223,0,3148
224,0,3431
225,0,3546
226,0,3737
227,0,4067
228,0,4025
229,0,4218
230,0,4362
231,0,4647
232,0,4939
233,0,5124
234,0,5339
235,0,5836
236,0,5934
237,0,6019
238,0,6196
239,0,6564
240,0,6744
241,0,7088
242,0,7365
243,0,7629
244,0,7910
245,0,8344
246,0,8662
247,0,9065
248,0,9356
249,0,9605
250,0,10058
251,0,10640
252,0,10776
253,0,11451
254,0,11603
255,0,12315
256,0,13497
257,0,14051
258,0,14479
259,0,15246
260,0,15796
261,0,16275
262,0,16948
263,0,17772
264,0,18291
265,0,18937
266,0,19824
267,0,20433
268,0,20726
269,0,21986
270,0,23047
271,0,23817
272,0,24360
273,0,25734
274,0,26943
275,0,27837
276,0,28530
277,0,29824
278,0,30562
279,0,31956
280,0,32956
281,0,34212
282,0,35596
283,0,36479
284,0,37914
285,0,39432
286,0,41430
287,0,42912
288,0,45401
289,0,47299
290,0,49257
291,0,50891
292,0,51906
293,0,54467
294,0,56888
295,0,59059
296,0,61239
297,0,63791
298,0,65996
299,0,68370
300,0,71634
301,0,74158
302,0,76752
303,0,80392
304,0,84754
305,0,87059
306,0,91338
307,0,94989
308,0,98494
309,0,103697
310,0,108683
311,0,113190
312,0,117256
313,0,123428
314,0,129698
315,0,135918
316,0,140984
317,0,147697
318,0,155661
319,0,163863
320,0,181739
321,0,190487
322,0,201414
323,0,211363
324,0,221042
325,0,232011
326,0,245092
327,0,256842
328,0,267714
329,0,283233
330,0,296245
331,0,310843
332,0,325313
333,0,340237
334,0,356996
335,0,377766
336,0,393187
337,0,409632
338,0,430432
339,0,449936
340,0,467263
341,0,485614
342,0,507054
343,0,529302
344,0,547716
345,0,565770
346,0,587210
347,0,609633
348,0,625963
349,0,646008
350,0,667204
351,0,686797
352,0,719636
353,0,736253
354,0,752350
355,0,767402
356,0,781896
357,0,793391
358,0,808440
359,0,819344
360,0,827100
361,0,836556
362,0,844775
363,0,852223
364,0,857531
365,0,861780
366,0,867638
367,0,870951
368,0,874488
369,0,877993
370,0,879805
371,0,883404
372,0,885325
373,0,888347
374,0,892462
375,0,893441
376,0,896731
377,0,898876
378,0,902958
379,0,905016
380,0,907058
381,0,909296
382,0,911831
383,0,913845
384,0,918609
385,0,920860
386,0,923135
387,0,925558
388,0,928106
389,0,931051
390,0,933435
391,0,935877
392,0,937734
393,0,941752
394,0,945652
395,0,947914
396,0,951195
397,0,955059
398,0,959235
399,0,961875
400,0,965260
401,0,968415
402,0,971912
403,0,975098
404,0,979685
405,0,985234
406,0,990241
407,0,993786
408,0,995897
409,0,997425
410,0,998614
411,0,999164
412,0,999482
413,0,999702
414,0,999840
415,0,999960
416,0,999998
417,0,1000000
