Vth_T ,6bit_Vth,#1
149,0,0
150,0,0
151,0,4
152,0,0
153,0,2
154,0,1
155,0,1
156,0,1
157,0,1
158,0,1
159,0,4
160,0,4
161,0,2
162,0,3
163,0,3
164,0,8
165,0,9
166,0,15
167,0,14
168,0,14
169,0,12
170,0,23
171,0,18
172,0,28
173,0,24
174,0,32
175,0,42
176,0,40
177,0,39
178,0,49
179,0,47
180,0,66
181,0,77
182,0,92
183,0,83
184,0,102
185,0,115
186,0,121
187,0,158
188,0,180
189,0,178
190,0,225
191,0,236
192,0,269
193,0,321
194,0,330
195,0,372
196,0,440
197,0,487
198,0,519
199,0,554
200,0,647
201,0,644
202,0,671
203,0,797
204,0,814
205,0,941
206,0,930
207,0,1124
208,0,1088
209,0,1272
210,0,1308
211,0,1406
212,0,1472
213,0,1593
214,0,1707
215,0,1795
216,0,1927
217,0,2079
218,0,2090
219,0,2311
220,0,2399
221,0,2480
222,0,2640
223,0,2823
224,0,3065
225,0,3169
226,0,3318
227,0,3606
228,0,3595
229,0,3741
230,0,3864
231,0,4119
232,0,4350
233,0,4545
234,0,4743
235,0,5141
236,0,5203
237,0,5306
238,0,5431
239,0,5743
240,0,5942
241,0,6227
242,0,6423
243,0,6613
244,0,6907
245,0,7224
246,0,7553
247,0,7843
248,0,8123
249,0,8279
250,0,8705
251,0,9199
252,0,9321
253,0,9953
254,0,10078
255,0,10588
256,0,11620
257,0,12078
258,0,12413
259,0,13023
260,0,13419
261,0,13958
262,0,14461
263,0,15120
264,0,15603
265,0,16013
266,0,16733
267,0,17313
268,0,17576
269,0,18672
270,0,19434
271,0,20163
272,0,20516
273,0,21703
274,0,22550
275,0,23265
276,0,23832
277,0,24783
278,0,25336
279,0,26550
280,0,27247
281,0,28216
282,0,29391
283,0,30064
284,0,31049
285,0,32181
286,0,33779
287,0,34659
288,0,36658
289,0,38148
290,0,39622
291,0,40652
292,0,41551
293,0,43234
294,0,45139
295,0,46434
296,0,47962
297,0,49648
298,0,51390
299,0,52664
300,0,54869
301,0,56380
302,0,58103
303,0,60382
304,0,62963
305,0,64531
306,0,66949
307,0,69058
308,0,70984
309,0,73635
310,0,76463
311,0,78746
312,0,80701
313,0,83898
314,0,86819
315,0,89804
316,0,91717
317,0,95157
318,0,98404
319,0,101477
320,0,107773
321,0,111245
322,0,114909
323,0,117858
324,0,120770
325,0,123781
326,0,127585
327,0,129897
328,0,132523
329,0,136281
330,0,137948
331,0,141052
332,0,142800
333,0,144809
334,0,147170
335,0,148412
336,0,149742
337,0,150865
338,0,151971
339,0,151835
340,0,152047
341,0,151910
342,0,150612
343,0,149301
344,0,147710
345,0,145786
346,0,143637
347,0,140439
348,0,137765
349,0,134682
350,0,130561
351,0,126780
352,0,119321
353,0,115481
354,0,111023
355,0,106954
356,0,103287
357,0,99696
358,0,95348
359,0,91973
360,0,89941
361,0,87410
362,0,84708
363,0,83049
364,0,81444
365,0,80859
366,0,79491
367,0,79324
368,0,78483
369,0,78200
370,0,78357
371,0,77471
372,0,77490
373,0,76803
374,0,75598
375,0,75936
376,0,74738
377,0,74262
378,0,72750
379,0,72323
380,0,71488
381,0,70923
382,0,70153
383,0,69281
384,0,67308
385,0,66394
386,0,64953
387,0,63348
388,0,61619
389,0,59454
390,0,57699
391,0,55710
392,0,54047
393,0,50949
394,0,47465
395,0,45203
396,0,42288
397,0,38476
398,0,34620
399,0,31557
400,0,28418
401,0,25018
402,0,21365
403,0,17884
404,0,14074
405,0,9873
406,0,6378
407,0,4070
408,0,2696
409,0,1676
410,0,882
411,0,534
412,0,337
413,0,202
414,0,96
415,0,27
416,0,1
417,0,0
