Vth_T ,6bit_Vth,#1
300,0,2843
300,1,2643
300,2,1964
300,3,1706
300,4,1340
300,5,1155
300,6,940
300,7,780
300,8,643
300,9,532
300,10,458
300,11,403
300,12,328
300,13,284
300,14,204
300,15,205
300,16,128
300,17,111
300,18,94
300,19,69
300,20,55
300,21,36
300,22,26
300,23,18
300,24,5
300,25,6
300,26,4
300,27,7
300,28,0
300,29,0
300,30,0
300,31,0
300,32,0
300,33,0
300,34,0
300,35,0
300,36,0
300,37,0
300,38,0
300,39,0
300,40,0
300,41,0
300,42,0
300,43,0
300,44,0
300,45,0
300,46,0
300,47,0
300,48,0
300,49,0
300,50,0
300,51,0
300,52,0
300,53,0
300,54,0
300,55,0
300,56,0
300,57,0
300,58,0
300,59,0
300,60,0
300,61,0
300,62,0
300,63,0

301,0,3112
301,1,2570
301,2,2117
301,3,1930
301,4,1631
301,5,1263
301,6,1090
301,7,973
301,8,725
301,9,596
301,10,539
301,11,399
301,12,347
301,13,291
301,14,243
301,15,185
301,16,188
301,17,117
301,18,116
301,19,75
301,20,82
301,21,46
301,22,29
301,23,16
301,24,20
301,25,15
301,26,7
301,27,4
301,28,4
301,29,1
301,30,1
301,31,0
301,32,0
301,33,1
301,34,0
301,35,0
301,36,0
301,37,0
301,38,0
301,39,0
301,40,0
301,41,0
301,42,0
301,43,0
301,44,0
301,45,0
301,46,0
301,47,0
301,48,0
301,49,0
301,50,0
301,51,0
301,52,0
301,53,0
301,54,0
301,55,0
301,56,0
301,57,0
301,58,0
301,59,0
301,60,0
301,61,0
301,62,0
301,63,0

302,0,3420
302,1,3229
302,2,2613
302,3,2008
302,4,1835
302,5,1514
302,6,1337
302,7,1068
302,8,770
302,9,698
302,10,581
302,11,416
302,12,425
302,13,333
302,14,313
302,15,243
302,16,183
302,17,150
302,18,135
302,19,98
302,20,81
302,21,69
302,22,43
302,23,31
302,24,22
302,25,6
302,26,9
302,27,4
302,28,1
302,29,3
302,30,0
302,31,2
302,32,0
302,33,0
302,34,0
302,35,0
302,36,0
302,37,0
302,38,0
302,39,0
302,40,0
302,41,0
302,42,0
302,43,0
302,44,0
302,45,0
302,46,0
302,47,0
302,48,0
302,49,0
302,50,0
302,51,0
302,52,0
302,53,0
302,54,0
302,55,0
302,56,0
302,57,0
302,58,0
302,59,0
302,60,0
302,61,0
302,62,0
302,63,0

303,0,5400
303,1,4059
303,2,2749
303,3,2327
303,4,2091
303,5,1851
303,6,1388
303,7,1106
303,8,972
303,9,784
303,10,649
303,11,535
303,12,424
303,13,335
303,14,327
303,15,286
303,16,218
303,17,199
303,18,149
303,19,112
303,20,94
303,21,55
303,22,53
303,23,44
303,24,31
303,25,34
303,26,5
303,27,5
303,28,6
303,29,2
303,30,0
303,31,0
303,32,1
303,33,0
303,34,0
303,35,0
303,36,0
303,37,0
303,38,0
303,39,0
303,40,0
303,41,0
303,42,0
303,43,0
303,44,0
303,45,0
303,46,0
303,47,0
303,48,0
303,49,0
303,50,0
303,51,0
303,52,0
303,53,0
303,54,0
303,55,0
303,56,0
303,57,0
303,58,0
303,59,0
303,60,0
303,61,0
303,62,0
303,63,0

304,0,4743
304,1,3705
304,2,3136
304,3,2802
304,4,2209
304,5,1767
304,6,1526
304,7,1347
304,8,1138
304,9,931
304,10,816
304,11,617
304,12,530
304,13,401
304,14,352
304,15,287
304,16,249
304,17,208
304,18,193
304,19,125
304,20,98
304,21,95
304,22,57
304,23,52
304,24,30
304,25,27
304,26,25
304,27,16
304,28,14
304,29,5
304,30,6
304,31,1
304,32,1
304,33,1
304,34,0
304,35,0
304,36,0
304,37,0
304,38,0
304,39,0
304,40,0
304,41,0
304,42,0
304,43,0
304,44,0
304,45,0
304,46,0
304,47,0
304,48,0
304,49,0
304,50,0
304,51,0
304,52,0
304,53,0
304,54,0
304,55,0
304,56,0
304,57,0
304,58,0
304,59,0
304,60,0
304,61,0
304,62,0
304,63,0

305,0,5880
305,1,5494
305,2,3893
305,3,2966
305,4,2355
305,5,1973
305,6,1751
305,7,1443
305,8,1227
305,9,883
305,10,823
305,11,651
305,12,601
305,13,468
305,14,448
305,15,300
305,16,259
305,17,227
305,18,222
305,19,161
305,20,130
305,21,101
305,22,84
305,23,65
305,24,45
305,25,27
305,26,19
305,27,13
305,28,5
305,29,10
305,30,3
305,31,0
305,32,3
305,33,1
305,34,2
305,35,0
305,36,0
305,37,0
305,38,0
305,39,0
305,40,0
305,41,0
305,42,0
305,43,0
305,44,0
305,45,0
305,46,0
305,47,0
305,48,0
305,49,0
305,50,0
305,51,0
305,52,0
305,53,0
305,54,0
305,55,0
305,56,0
305,57,0
305,58,0
305,59,0
305,60,0
305,61,0
305,62,0
305,63,0

306,0,6906
306,1,5650
306,2,4282
306,3,3447
306,4,2821
306,5,2392
306,6,2063
306,7,1598
306,8,1457
306,9,1153
306,10,990
306,11,793
306,12,665
306,13,550
306,14,464
306,15,386
306,16,328
306,17,227
306,18,202
306,19,141
306,20,173
306,21,116
306,22,89
306,23,69
306,24,57
306,25,33
306,26,25
306,27,21
306,28,12
306,29,9
306,30,7
306,31,3
306,32,1
306,33,1
306,34,0
306,35,0
306,36,0
306,37,0
306,38,0
306,39,0
306,40,0
306,41,0
306,42,0
306,43,0
306,44,0
306,45,0
306,46,0
306,47,0
306,48,0
306,49,0
306,50,0
306,51,0
306,52,0
306,53,0
306,54,0
306,55,0
306,56,0
306,57,0
306,58,0
306,59,0
306,60,0
306,61,0
306,62,0
306,63,0

307,0,8635
307,1,6638
307,2,4904
307,3,4569
307,4,3252
307,5,2589
307,6,2391
307,7,1984
307,8,1585
307,9,1208
307,10,1036
307,11,857
307,12,750
307,13,594
307,14,575
307,15,443
307,16,362
307,17,292
307,18,253
307,19,207
307,20,163
307,21,148
307,22,99
307,23,89
307,24,56
307,25,34
307,26,27
307,27,22
307,28,18
307,29,11
307,30,5
307,31,5
307,32,0
307,33,1
307,34,0
307,35,3
307,36,0
307,37,0
307,38,0
307,39,0
307,40,0
307,41,0
307,42,0
307,43,0
307,44,0
307,45,0
307,46,0
307,47,0
307,48,0
307,49,0
307,50,0
307,51,0
307,52,0
307,53,0
307,54,0
307,55,0
307,56,0
307,57,0
307,58,0
307,59,0
307,60,0
307,61,0
307,62,0
307,63,0

308,0,13177
308,1,9677
308,2,6229
308,3,4614
308,4,4209
308,5,3305
308,6,2692
308,7,2121
308,8,1667
308,9,1345
308,10,1218
308,11,910
308,12,807
308,13,694
308,14,539
308,15,452
308,16,413
308,17,331
308,18,298
308,19,246
308,20,203
308,21,145
308,22,124
308,23,112
308,24,68
308,25,55
308,26,41
308,27,21
308,28,21
308,29,12
308,30,11
308,31,4
308,32,12
308,33,3
308,34,0
308,35,1
308,36,0
308,37,1
308,38,0
308,39,0
308,40,0
308,41,0
308,42,0
308,43,0
308,44,0
308,45,0
308,46,0
308,47,0
308,48,0
308,49,0
308,50,0
308,51,0
308,52,0
308,53,0
308,54,0
308,55,0
308,56,0
308,57,0
308,58,0
308,59,0
308,60,0
308,61,0
308,62,0
308,63,0

309,0,16076
309,1,11658
309,2,7312
309,3,6873
309,4,4518
309,5,3578
309,6,2798
309,7,2437
309,8,1833
309,9,1590
309,10,1303
309,11,1190
309,12,1011
309,13,812
309,14,606
309,15,566
309,16,412
309,17,363
309,18,291
309,19,265
309,20,246
309,21,171
309,22,151
309,23,136
309,24,81
309,25,67
309,26,59
309,27,37
309,28,26
309,29,23
309,30,20
309,31,8
309,32,8
309,33,6
309,34,2
309,35,1
309,36,0
309,37,0
309,38,0
309,39,0
309,40,0
309,41,0
309,42,0
309,43,0
309,44,0
309,45,0
309,46,0
309,47,0
309,48,0
309,49,0
309,50,0
309,51,0
309,52,0
309,53,0
309,54,0
309,55,0
309,56,0
309,57,0
309,58,0
309,59,0
309,60,0
309,61,0
309,62,0
309,63,0

310,0,17791
310,1,12684
310,2,9336
310,3,7343
310,4,5837
310,5,4292
310,6,3444
310,7,2776
310,8,2494
310,9,1850
310,10,1650
310,11,1333
310,12,1081
310,13,867
310,14,738
310,15,572
310,16,444
310,17,377
310,18,359
310,19,271
310,20,254
310,21,191
310,22,154
310,23,134
310,24,118
310,25,87
310,26,57
310,27,39
310,28,38
310,29,20
310,30,15
310,31,6
310,32,6
310,33,3
310,34,3
310,35,2
310,36,3
310,37,0
310,38,0
310,39,0
310,40,0
310,41,1
310,42,0
310,43,0
310,44,0
310,45,0
310,46,0
310,47,0
310,48,0
310,49,0
310,50,0
310,51,0
310,52,0
310,53,0
310,54,0
310,55,0
310,56,0
310,57,0
310,58,0
310,59,0
310,60,0
310,61,0
310,62,0
310,63,0

311,0,20440
311,1,17175
311,2,11775
311,3,9218
311,4,7049
311,5,5143
311,6,4171
311,7,3432
311,8,2572
311,9,2135
311,10,1736
311,11,1386
311,12,1244
311,13,1003
311,14,782
311,15,738
311,16,583
311,17,438
311,18,430
311,19,343
311,20,302
311,21,247
311,22,212
311,23,168
311,24,139
311,25,116
311,26,56
311,27,53
311,28,39
311,29,35
311,30,25
311,31,9
311,32,7
311,33,13
311,34,3
311,35,2
311,36,4
311,37,0
311,38,0
311,39,0
311,40,0
311,41,0
311,42,0
311,43,0
311,44,0
311,45,0
311,46,0
311,47,0
311,48,0
311,49,0
311,50,0
311,51,0
311,52,0
311,53,0
311,54,0
311,55,0
311,56,0
311,57,0
311,58,0
311,59,0
311,60,0
311,61,0
311,62,0
311,63,0

312,0,22041
312,1,17957
312,2,14168
312,3,10355
312,4,7864
312,5,6470
312,6,4995
312,7,3740
312,8,2662
312,9,2343
312,10,1846
312,11,1659
312,12,1296
312,13,1137
312,14,865
312,15,797
312,16,605
312,17,519
312,18,382
312,19,339
312,20,301
312,21,253
312,22,202
312,23,173
312,24,132
312,25,112
312,26,84
312,27,54
312,28,40
312,29,43
312,30,23
312,31,12
312,32,8
312,33,12
312,34,8
312,35,8
312,36,1
312,37,2
312,38,0
312,39,0
312,40,0
312,41,0
312,42,0
312,43,0
312,44,0
312,45,0
312,46,0
312,47,0
312,48,0
312,49,0
312,50,0
312,51,0
312,52,0
312,53,0
312,54,0
312,55,0
312,56,0
312,57,0
312,58,0
312,59,0
312,60,0
312,61,0
312,62,0
312,63,0

313,0,25480
313,1,20757
313,2,17517
313,3,12528
313,4,10878
313,5,7669
313,6,5935
313,7,4880
313,8,3369
313,9,2795
313,10,2195
313,11,1810
313,12,1558
313,13,1244
313,14,1089
313,15,877
313,16,648
313,17,576
313,18,470
313,19,418
313,20,328
313,21,298
313,22,224
313,23,221
313,24,140
313,25,120
313,26,116
313,27,80
313,28,60
313,29,42
313,30,33
313,31,22
313,32,11
313,33,15
313,34,10
313,35,2
313,36,2
313,37,2
313,38,0
313,39,0
313,40,0
313,41,0
313,42,0
313,43,0
313,44,0
313,45,0
313,46,0
313,47,0
313,48,0
313,49,0
313,50,0
313,51,0
313,52,0
313,53,0
313,54,0
313,55,0
313,56,0
313,57,0
313,58,0
313,59,0
313,60,0
313,61,0
313,62,0
313,63,0

314,0,29123
314,1,25863
314,2,21966
314,3,16058
314,4,13050
314,5,9699
314,6,7550
314,7,5911
314,8,4066
314,9,3483
314,10,2647
314,11,2072
314,12,1805
314,13,1387
314,14,1190
314,15,978
314,16,802
314,17,665
314,18,564
314,19,517
314,20,386
314,21,296
314,22,268
314,23,235
314,24,186
314,25,138
314,26,117
314,27,84
314,28,67
314,29,56
314,30,34
314,31,31
314,32,23
314,33,18
314,34,9
314,35,7
314,36,6
314,37,2
314,38,0
314,39,1
314,40,0
314,41,0
314,42,0
314,43,0
314,44,0
314,45,0
314,46,0
314,47,0
314,48,0
314,49,0
314,50,0
314,51,0
314,52,0
314,53,0
314,54,0
314,55,0
314,56,0
314,57,0
314,58,0
314,59,0
314,60,0
314,61,0
314,62,0
314,63,0

315,0,31063
315,1,28754
315,2,26049
315,3,21786
315,4,15826
315,5,12274
315,6,9526
315,7,7011
315,8,4922
315,9,4276
315,10,2962
315,11,2384
315,12,1812
315,13,1750
315,14,1336
315,15,1189
315,16,977
315,17,740
315,18,701
315,19,527
315,20,425
315,21,321
315,22,306
315,23,258
315,24,209
315,25,145
315,26,137
315,27,102
315,28,98
315,29,58
315,30,42
315,31,34
315,32,21
315,33,25
315,34,21
315,35,17
315,36,6
315,37,10
315,38,0
315,39,3
315,40,0
315,41,0
315,42,0
315,43,0
315,44,0
315,45,0
315,46,0
315,47,0
315,48,0
315,49,0
315,50,0
315,51,0
315,52,0
315,53,0
315,54,0
315,55,0
315,56,0
315,57,0
315,58,0
315,59,0
315,60,0
315,61,0
315,62,0
315,63,0

316,0,34944
316,1,31233
316,2,28185
316,3,23046
316,4,20027
316,5,14838
316,6,11086
316,7,9331
316,8,5664
316,9,4403
316,10,3520
316,11,2864
316,12,2188
316,13,1760
316,14,1512
316,15,1161
316,16,985
316,17,818
316,18,709
316,19,590
316,20,486
316,21,390
316,22,297
316,23,263
316,24,214
316,25,168
316,26,155
316,27,123
316,28,95
316,29,90
316,30,63
316,31,27
316,32,29
316,33,31
316,34,17
316,35,11
316,36,8
316,37,6
316,38,1
316,39,2
316,40,1
316,41,0
316,42,1
316,43,0
316,44,0
316,45,0
316,46,0
316,47,0
316,48,0
316,49,0
316,50,0
316,51,0
316,52,0
316,53,0
316,54,0
316,55,0
316,56,0
316,57,0
316,58,0
316,59,0
316,60,0
316,61,0
316,62,0
316,63,0

317,0,37784
317,1,33656
317,2,28630
317,3,25453
317,4,22288
317,5,18519
317,6,13900
317,7,10081
317,8,7031
317,9,5325
317,10,4239
317,11,3558
317,12,2694
317,13,2145
317,14,1741
317,15,1411
317,16,1078
317,17,982
317,18,760
317,19,655
317,20,535
317,21,432
317,22,404
317,23,318
317,24,253
317,25,221
317,26,200
317,27,160
317,28,112
317,29,102
317,30,69
317,31,54
317,32,44
317,33,32
317,34,16
317,35,8
317,36,10
317,37,6
317,38,6
317,39,1
317,40,0
317,41,0
317,42,0
317,43,0
317,44,0
317,45,0
317,46,0
317,47,0
317,48,0
317,49,0
317,50,0
317,51,0
317,52,0
317,53,0
317,54,0
317,55,0
317,56,0
317,57,0
317,58,0
317,59,0
317,60,0
317,61,0
317,62,0
317,63,0

318,0,40652
318,1,36814
318,2,33017
318,3,30788
318,4,26608
318,5,21896
318,6,17426
318,7,13177
318,8,10192
318,9,7054
318,10,5711
318,11,3998
318,12,3251
318,13,2383
318,14,2080
318,15,1765
318,16,1216
318,17,1153
318,18,895
318,19,709
318,20,564
318,21,524
318,22,423
318,23,340
318,24,311
318,25,246
318,26,208
318,27,192
318,28,120
318,29,119
318,30,78
318,31,49
318,32,47
318,33,32
318,34,32
318,35,24
318,36,12
318,37,11
318,38,5
318,39,2
318,40,2
318,41,1
318,42,1
318,43,0
318,44,0
318,45,1
318,46,1
318,47,0
318,48,0
318,49,0
318,50,0
318,51,0
318,52,0
318,53,0
318,54,0
318,55,0
318,56,0
318,57,0
318,58,0
318,59,0
318,60,0
318,61,0
318,62,0
318,63,0

319,0,41518
319,1,39041
319,2,33537
319,3,29173
319,4,29373
319,5,24487
319,6,21273
319,7,16023
319,8,11418
319,9,8942
319,10,6380
319,11,5042
319,12,3823
319,13,3290
319,14,2481
319,15,1829
319,16,1372
319,17,1211
319,18,1029
319,19,874
319,20,728
319,21,595
319,22,468
319,23,429
319,24,322
319,25,259
319,26,217
319,27,198
319,28,163
319,29,150
319,30,94
319,31,93
319,32,71
319,33,34
319,34,25
319,35,21
319,36,17
319,37,14
319,38,11
319,39,9
319,40,7
319,41,1
319,42,2
319,43,1
319,44,2
319,45,0
319,46,0
319,47,0
319,48,0
319,49,0
319,50,0
319,51,0
319,52,0
319,53,0
319,54,0
319,55,0
319,56,0
319,57,0
319,58,0
319,59,0
319,60,0
319,61,0
319,62,0
319,63,0

320,0,43993
320,1,41312
320,2,40906
320,3,35785
320,4,34024
320,5,33171
320,6,28410
320,7,23843
320,8,18727
320,9,12904
320,10,10204
320,11,8137
320,12,6179
320,13,4385
320,14,3431
320,15,2601
320,16,1959
320,17,1508
320,18,1284
320,19,1123
320,20,877
320,21,728
320,22,663
320,23,531
320,24,470
320,25,352
320,26,332
320,27,235
320,28,207
320,29,177
320,30,152
320,31,134
320,32,99
320,33,74
320,34,59
320,35,32
320,36,34
320,37,15
320,38,13
320,39,15
320,40,7
320,41,1
320,42,3
320,43,0
320,44,3
320,45,2
320,46,0
320,47,0
320,48,0
320,49,0
320,50,0
320,51,0
320,52,0
320,53,0
320,54,0
320,55,0
320,56,0
320,57,0
320,58,0
320,59,0
320,60,0
320,61,0
320,62,0
320,63,0

321,0,45156
321,1,43237
321,2,42597
321,3,37471
321,4,35723
321,5,31317
321,6,29603
321,7,25575
321,8,21530
321,9,15896
321,10,13616
321,11,8915
321,12,7075
321,13,5192
321,14,4569
321,15,3223
321,16,2221
321,17,2024
321,18,1621
321,19,1138
321,20,1000
321,21,908
321,22,711
321,23,583
321,24,472
321,25,434
321,26,356
321,27,299
321,28,272
321,29,176
321,30,153
321,31,103
321,32,132
321,33,83
321,34,55
321,35,42
321,36,44
321,37,28
321,38,25
321,39,13
321,40,6
321,41,6
321,42,1
321,43,1
321,44,0
321,45,0
321,46,1
321,47,0
321,48,0
321,49,0
321,50,0
321,51,0
321,52,0
321,53,0
321,54,0
321,55,0
321,56,0
321,57,0
321,58,0
321,59,0
321,60,0
321,61,0
321,62,0
321,63,0

322,0,44447
322,1,44323
322,2,43356
322,3,41412
322,4,39146
322,5,37611
322,6,32329
322,7,27885
322,8,24006
322,9,19584
322,10,16322
322,11,11605
322,12,9147
322,13,6675
322,14,5509
322,15,4061
322,16,2817
322,17,2250
322,18,1875
322,19,1423
322,20,1223
322,21,1012
322,22,794
322,23,650
322,24,492
322,25,445
322,26,364
322,27,323
322,28,220
322,29,220
322,30,189
322,31,138
322,32,126
322,33,110
322,34,76
322,35,73
322,36,48
322,37,36
322,38,32
322,39,8
322,40,10
322,41,4
322,42,2
322,43,1
322,44,1
322,45,0
322,46,0
322,47,0
322,48,0
322,49,0
322,50,0
322,51,0
322,52,0
322,53,0
322,54,0
322,55,0
322,56,0
322,57,0
322,58,0
322,59,0
322,60,0
322,61,0
322,62,0
322,63,0

323,0,46093
323,1,44845
323,2,44415
323,3,43034
323,4,42093
323,5,39550
323,6,35852
323,7,30093
323,8,29082
323,9,24051
323,10,20135
323,11,16617
323,12,11609
323,13,7767
323,14,6067
323,15,4682
323,16,3548
323,17,2592
323,18,2110
323,19,1776
323,20,1420
323,21,1081
323,22,949
323,23,768
323,24,563
323,25,548
323,26,408
323,27,380
323,28,289
323,29,271
323,30,221
323,31,201
323,32,182
323,33,104
323,34,95
323,35,77
323,36,55
323,37,27
323,38,38
323,39,21
323,40,17
323,41,9
323,42,3
323,43,5
323,44,1
323,45,0
323,46,0
323,47,0
323,48,0
323,49,0
323,50,0
323,51,0
323,52,0
323,53,0
323,54,0
323,55,0
323,56,0
323,57,0
323,58,0
323,59,0
323,60,0
323,61,0
323,62,0
323,63,0

324,0,46680
324,1,46359
324,2,43488
324,3,43621
324,4,42668
324,5,39420
324,6,38416
324,7,34641
324,8,30802
324,9,27262
324,10,22326
324,11,17488
324,12,14137
324,13,9810
324,14,7170
324,15,6041
324,16,4037
324,17,2973
324,18,2576
324,19,1997
324,20,1666
324,21,1263
324,22,1030
324,23,865
324,24,671
324,25,535
324,26,440
324,27,411
324,28,332
324,29,272
324,30,251
324,31,204
