Vth_T ,6bit_Vth,#1
300,0,1190
300,1,1114
300,2,953
300,3,867
300,4,745
300,5,670
300,6,554
300,7,524
300,8,440
300,9,384
300,10,339
300,11,309
300,12,248
300,13,222
300,14,174
300,15,167
300,16,103
300,17,92
300,18,78
300,19,58
300,20,46
300,21,31
300,22,21
300,23,15
300,24,5
300,25,5
300,26,4
300,27,5
300,28,0
300,29,0
300,30,0
300,31,0
300,32,0
300,33,0
300,34,0
300,35,0
300,36,0
300,37,0
300,38,0
300,39,0
300,40,0
300,41,0
300,42,0
300,43,0
300,44,0
300,45,0
300,46,0
300,47,0
300,48,0
300,49,0
300,50,0
300,51,0
300,52,0
300,53,0
300,54,0
300,55,0
300,56,0
300,57,0
300,58,0
300,59,0
300,60,0
300,61,0
300,62,0
300,63,0

301,0,1266
301,1,1126
301,2,1015
301,3,946
301,4,839
301,5,691
301,6,629
301,7,588
301,8,482
301,9,393
301,10,388
301,11,300
301,12,274
301,13,217
301,14,200
301,15,153
301,16,159
301,17,98
301,18,101
301,19,67
301,20,72
301,21,42
301,22,26
301,23,15
301,24,17
301,25,12
301,26,6
301,27,4
301,28,4
301,29,1
301,30,1
301,31,0
301,32,0
301,33,1
301,34,0
301,35,0
301,36,0
301,37,0
301,38,0
301,39,0
301,40,0
301,41,0
301,42,0
301,43,0
301,44,0
301,45,0
301,46,0
301,47,0
301,48,0
301,49,0
301,50,0
301,51,0
301,52,0
301,53,0
301,54,0
301,55,0
301,56,0
301,57,0
301,58,0
301,59,0
301,60,0
301,61,0
301,62,0
301,63,0

302,0,1316
302,1,1270
302,2,1124
302,3,993
302,4,892
302,5,795
302,6,751
302,7,624
302,8,491
302,9,443
302,10,397
302,11,307
302,12,315
302,13,249
302,14,244
302,15,194
302,16,151
302,17,132
302,18,114
302,19,81
302,20,71
302,21,60
302,22,36
302,23,26
302,24,18
302,25,6
302,26,8
302,27,3
302,28,1
302,29,3
302,30,0
302,31,2
302,32,0
302,33,0
302,34,0
302,35,0
302,36,0
302,37,0
302,38,0
302,39,0
302,40,0
302,41,0
302,42,0
302,43,0
302,44,0
302,45,0
302,46,0
302,47,0
302,48,0
302,49,0
302,50,0
302,51,0
302,52,0
302,53,0
302,54,0
302,55,0
302,56,0
302,57,0
302,58,0
302,59,0
302,60,0
302,61,0
302,62,0
302,63,0

303,0,1683
303,1,1440
303,2,1185
303,3,1049
303,4,992
303,5,918
303,6,762
303,7,644
303,8,596
303,9,503
303,10,440
303,11,391
303,12,315
303,13,252
303,14,254
303,15,221
303,16,173
303,17,170
303,18,122
303,19,93
303,20,82
303,21,47
303,22,45
303,23,38
303,24,28
303,25,30
303,26,5
303,27,4
303,28,5
303,29,2
303,30,0
303,31,0
303,32,1
303,33,0
303,34,0
303,35,0
303,36,0
303,37,0
303,38,0
303,39,0
303,40,0
303,41,0
303,42,0
303,43,0
303,44,0
303,45,0
303,46,0
303,47,0
303,48,0
303,49,0
303,50,0
303,51,0
303,52,0
303,53,0
303,54,0
303,55,0
303,56,0
303,57,0
303,58,0
303,59,0
303,60,0
303,61,0
303,62,0
303,63,0

304,0,1623
304,1,1401
304,2,1270
304,3,1202
304,4,1027
304,5,863
304,6,804
304,7,749
304,8,654
304,9,559
304,10,500
304,11,427
304,12,379
304,13,307
304,14,272
304,15,238
304,16,197
304,17,168
304,18,159
304,19,100
304,20,85
304,21,84
304,22,51
304,23,48
304,24,26
304,25,26
304,26,19
304,27,14
304,28,11
304,29,5
304,30,6
304,31,1
304,32,1
304,33,1
304,34,0
304,35,0
304,36,0
304,37,0
304,38,0
304,39,0
304,40,0
304,41,0
304,42,0
304,43,0
304,44,0
304,45,0
304,46,0
304,47,0
304,48,0
304,49,0
304,50,0
304,51,0
304,52,0
304,53,0
304,54,0
304,55,0
304,56,0
304,57,0
304,58,0
304,59,0
304,60,0
304,61,0
304,62,0
304,63,0

305,0,1796
305,1,1739
305,2,1403
305,3,1228
305,4,1054
305,5,923
305,6,894
305,7,750
305,8,672
305,9,543
305,10,506
305,11,437
305,12,430
305,13,329
305,14,331
305,15,227
305,16,209
305,17,190
305,18,174
305,19,132
305,20,108
305,21,88
305,22,73
305,23,58
305,24,42
305,25,24
305,26,17
305,27,12
305,28,5
305,29,8
305,30,3
305,31,0
305,32,2
305,33,1
305,34,1
305,35,0
305,36,0
305,37,0
305,38,0
305,39,0
305,40,0
305,41,0
305,42,0
305,43,0
305,44,0
305,45,0
305,46,0
305,47,0
305,48,0
305,49,0
305,50,0
305,51,0
305,52,0
305,53,0
305,54,0
305,55,0
305,56,0
305,57,0
305,58,0
305,59,0
305,60,0
305,61,0
305,62,0
305,63,0

306,0,1927
306,1,1682
306,2,1497
306,3,1316
306,4,1170
306,5,1071
306,6,958
306,7,809
306,8,745
306,9,671
306,10,585
306,11,497
306,12,449
306,13,381
306,14,333
306,15,292
306,16,258
306,17,189
306,18,159
306,19,115
306,20,146
306,21,96
306,22,79
306,23,61
306,24,53
306,25,32
306,26,22
306,27,19
306,28,12
306,29,8
306,30,7
306,31,2
306,32,1
306,33,1
306,34,0
306,35,0
306,36,0
306,37,0
306,38,0
306,39,0
306,40,0
306,41,0
306,42,0
306,43,0
306,44,0
306,45,0
306,46,0
306,47,0
306,48,0
306,49,0
306,50,0
306,51,0
306,52,0
306,53,0
306,54,0
306,55,0
306,56,0
306,57,0
306,58,0
306,59,0
306,60,0
