Vth_T ,6bit_Vth,VinDac,#1
300,0,0,0
300,1,0,0
300,2,0,0
300,3,0,0
300,4,0,0
300,5,0,0
300,6,0,0
300,7,0,0
300,8,0,0
300,9,0,0
300,10,0,0
300,11,0,0
300,12,0,0
300,13,0,0
300,14,0,0
300,15,0,0
300,16,0,0
300,17,0,0
300,18,0,0
300,19,0,0
300,20,0,0
300,21,0,0
300,22,0,0
300,23,0,0
300,24,0,0
300,25,0,0
300,26,0,0
300,27,0,0
300,28,0,0
300,29,0,0
300,30,0,0
300,31,0,0
300,32,0,0
300,33,0,0
300,34,0,0
300,35,0,0
300,36,0,0
300,37,0,0
300,38,0,0
300,39,0,0
300,40,0,0
300,41,0,0
300,42,0,0
300,43,0,0
300,44,0,0
300,45,0,0
300,46,0,0
300,47,0,0
300,48,0,0
300,49,0,0
300,50,0,0
300,51,0,0
300,52,0,0
300,53,0,0
300,54,0,0
300,55,0,0
300,56,0,0
300,57,0,0
300,58,0,0
300,59,0,0
300,60,0,0
300,61,0,0
300,62,0,0
300,63,0,0
301,0,0,1
301,1,0,0
301,2,0,0
301,3,0,0
301,4,0,0
301,5,0,0
301,6,0,0
301,7,0,0
301,8,0,0
301,9,0,0
301,10,0,0
301,11,0,0
301,12,0,0
301,13,0,0
301,14,0,0
301,15,0,0
301,16,0,0
301,17,0,0
301,18,0,0
301,19,0,0
301,20,0,0
301,21,0,0
301,22,0,0
301,23,0,0
301,24,0,0
301,25,0,0
301,26,0,0
301,27,0,0
301,28,0,0
301,29,0,0
301,30,0,0
301,31,0,0
301,32,0,0
301,33,0,0
301,34,0,0
301,35,0,0
301,36,0,0
301,37,0,0
301,38,0,0
301,39,0,0
301,40,0,0
301,41,0,0
301,42,0,0
301,43,0,0
301,44,0,0
301,45,0,0
301,46,0,0
301,47,0,0
301,48,0,0
301,49,0,0
301,50,0,0
301,51,0,0
301,52,0,0
301,53,0,0
301,54,0,0
301,55,0,0
301,56,0,0
301,57,0,0
301,58,0,0
301,59,0,0
301,60,0,0
301,61,0,0
301,62,0,0
301,63,0,0
302,0,0,1
302,1,0,0
302,2,0,0
302,3,0,0
302,4,0,0
302,5,0,0
302,6,0,0
302,7,0,0
302,8,0,0
302,9,0,0
302,10,0,0
302,11,0,0
302,12,0,0
302,13,0,0
302,14,0,0
302,15,0,0
302,16,0,0
302,17,0,0
302,18,0,0
302,19,0,0
302,20,0,0
302,21,0,0
302,22,0,0
302,23,0,0
302,24,0,0
302,25,0,0
302,26,0,0
302,27,0,0
302,28,0,0
302,29,0,0
302,30,0,0
302,31,0,0
302,32,0,0
302,33,0,0
302,34,0,0
302,35,0,0
302,36,0,0
302,37,0,0
302,38,0,0
302,39,0,0
302,40,0,0
302,41,0,0
302,42,0,0
302,43,0,0
302,44,0,0
302,45,0,0
302,46,0,0
302,47,0,0
302,48,0,0
302,49,0,0
302,50,0,0
302,51,0,0
302,52,0,0
302,53,0,0
302,54,0,0
302,55,0,0
302,56,0,0
302,57,0,0
302,58,0,0
302,59,0,0
302,60,0,0
302,61,0,0
302,62,0,0
302,63,0,0
303,0,0,1
303,1,0,1
303,2,0,0
303,3,0,0
303,4,0,0
303,5,0,0
303,6,0,0
303,7,0,0
303,8,0,0
303,9,0,0
303,10,0,0
303,11,0,0
303,12,0,0
303,13,0,0
303,14,0,0
303,15,0,0
303,16,0,0
303,17,0,0
303,18,0,0
303,19,0,0
303,20,0,0
303,21,0,0
303,22,0,0
303,23,0,0
303,24,0,0
303,25,0,0
303,26,0,0
303,27,0,0
303,28,0,0
303,29,0,0
303,30,0,0
303,31,0,0
303,32,0,0
303,33,0,0
303,34,0,0
303,35,0,0
303,36,0,0
303,37,0,0
303,38,0,0
303,39,0,0
303,40,0,0
303,41,0,0
303,42,0,0
303,43,0,0
303,44,0,0
303,45,0,0
303,46,0,0
303,47,0,0
303,48,0,0
303,49,0,0
303,50,0,0
303,51,0,0
303,52,0,0
303,53,0,0
303,54,0,0
303,55,0,0
303,56,0,0
303,57,0,0
303,58,0,0
303,59,0,0
303,60,0,0
303,61,0,0
303,62,0,0
303,63,0,0
304,0,0,3
304,1,0,0
304,2,0,0
304,3,0,0
304,4,0,0
304,5,0,0
304,6,0,0
304,7,0,0
304,8,0,0
304,9,0,0
304,10,0,0
304,11,0,0
304,12,0,0
304,13,0,0
304,14,0,0
304,15,0,0
304,16,0,0
304,17,0,0
304,18,0,0
304,19,0,0
304,20,0,0
304,21,0,0
304,22,0,0
304,23,0,0
304,24,0,0
304,25,0,0
304,26,0,0
304,27,0,0
304,28,0,0
304,29,0,0
304,30,0,0
304,31,0,0
304,32,0,0
304,33,0,0
304,34,0,0
304,35,0,0
304,36,0,0
304,37,0,0
304,38,0,0
304,39,0,0
304,40,0,0
304,41,0,0
304,42,0,0
304,43,0,0
304,44,0,0
304,45,0,0
304,46,0,0
304,47,0,0
304,48,0,0
304,49,0,0
304,50,0,0
304,51,0,0
304,52,0,0
304,53,0,0
304,54,0,0
304,55,0,0
304,56,0,0
304,57,0,0
304,58,0,0
304,59,0,0
304,60,0,0
304,61,0,0
304,62,0,0
304,63,0,0
305,0,0,3
305,1,0,1
305,2,0,0
305,3,0,0
305,4,0,0
305,5,0,0
305,6,0,0
305,7,0,0
305,8,0,0
305,9,0,0
305,10,0,0
305,11,0,0
305,12,0,0
305,13,0,0
305,14,0,0
305,15,0,0
305,16,0,0
305,17,0,0
305,18,0,0
305,19,0,0
305,20,0,0
305,21,0,0
305,22,0,0
305,23,0,0
305,24,0,0
305,25,0,0
305,26,0,0
305,27,0,0
305,28,0,0
305,29,0,0
305,30,0,0
305,31,0,0
305,32,0,0
305,33,0,0
305,34,0,0
305,35,0,0
305,36,0,0
305,37,0,0
305,38,0,0
305,39,0,0
305,40,0,0
305,41,0,0
305,42,0,0
305,43,0,0
305,44,0,0
305,45,0,0
305,46,0,0
305,47,0,0
305,48,0,0
305,49,0,0
305,50,0,0
305,51,0,0
305,52,0,0
305,53,0,0
305,54,0,0
305,55,0,0
305,56,0,0
305,57,0,0
305,58,0,0
305,59,0,0
305,60,0,0
305,61,0,0
305,62,0,0
305,63,0,0
306,0,0,3
306,1,0,1
306,2,0,0
306,3,0,0
306,4,0,0
306,5,0,0
306,6,0,0
306,7,0,0
306,8,0,0
306,9,0,0
306,10,0,0
306,11,0,0
306,12,0,0
306,13,0,0
306,14,0,0
306,15,0,0
306,16,0,0
306,17,0,0
306,18,0,0
306,19,0,0
306,20,0,0
306,21,0,0
306,22,0,0
306,23,0,0
306,24,0,0
306,25,0,0
306,26,0,0
306,27,0,0
306,28,0,0
306,29,0,0
306,30,0,0
306,31,0,0
306,32,0,0
306,33,0,0
306,34,0,0
306,35,0,0
306,36,0,0
306,37,0,0
306,38,0,0
306,39,0,0
306,40,0,0
306,41,0,0
306,42,0,0
306,43,0,0
306,44,0,0
306,45,0,0
306,46,0,0
306,47,0,0
306,48,0,0
306,49,0,0
306,50,0,0
306,51,0,0
306,52,0,0
306,53,0,0
306,54,0,0
306,55,0,0
306,56,0,0
306,57,0,0
306,58,0,0
306,59,0,0
306,60,0,0
306,61,0,0
306,62,0,0
306,63,0,0
307,0,0,5
307,1,0,1
307,2,0,0
307,3,0,2
307,4,0,0
307,5,0,1
307,6,0,0
307,7,0,0
307,8,0,0
307,9,0,0
307,10,0,0
307,11,0,0
307,12,0,0
307,13,0,0
307,14,0,0
307,15,0,0
307,16,0,0
307,17,0,0
307,18,0,0
307,19,0,0
307,20,0,0
307,21,0,0
307,22,0,0
307,23,0,0
307,24,0,0
307,25,0,0
307,26,0,0
307,27,0,0
307,28,0,0
307,29,0,0
307,30,0,0
307,31,0,0
307,32,0,0
307,33,0,0
307,34,0,0
307,35,0,0
307,36,0,0
307,37,0,0
307,38,0,0
307,39,0,0
307,40,0,0
307,41,0,0
307,42,0,0
307,43,0,0
307,44,0,0
307,45,0,0
307,46,0,0
307,47,0,0
307,48,0,0
307,49,0,0
307,50,0,0
307,51,0,0
307,52,0,0
307,53,0,0
307,54,0,0
307,55,0,0
307,56,0,0
307,57,0,0
307,58,0,0
307,59,0,0
307,60,0,0
307,61,0,0
307,62,0,0
307,63,0,0
308,0,0,6
308,1,0,7
308,2,0,0
308,3,0,0
308,4,0,1
308,5,0,0
308,6,0,0
308,7,0,0
308,8,0,0
308,9,0,0
308,10,0,0
308,11,0,0
308,12,0,0
308,13,0,0
308,14,0,0
308,15,0,0
308,16,0,0
308,17,0,0
308,18,0,0
308,19,0,0
308,20,0,0
308,21,0,0
308,22,0,0
308,23,0,0
308,24,0,0
308,25,0,0
308,26,0,0
308,27,0,0
308,28,0,0
308,29,0,0
308,30,0,0
308,31,0,0
308,32,0,0
308,33,0,0
308,34,0,0
308,35,0,0
308,36,0,0
308,37,0,0
308,38,0,0
308,39,0,0
308,40,0,0
308,41,0,0
308,42,0,0
308,43,0,0
308,44,0,0
308,45,0,0
308,46,0,0
308,47,0,0
308,48,0,0
308,49,0,0
308,50,0,0
308,51,0,0
308,52,0,0
308,53,0,0
308,54,0,0
308,55,0,0
308,56,0,0
308,57,0,0
