Vth_T ,6bit_Vth,VinDac,#1
0,0,0,1504
1,0,0,1571
2,0,0,1679
3,0,0,1527
4,0,0,1658
5,0,0,1632
6,0,0,1543
7,0,0,1576
8,0,0,1547
9,0,0,1588
10,0,0,1600
11,0,0,1381
12,0,0,1629
13,0,0,1455
14,0,0,1490
15,0,0,1505
16,0,0,1975
17,0,0,2108
18,0,0,1860
19,0,0,2076
20,0,0,1755
21,0,0,1445
22,0,0,1736
23,0,0,1712
24,0,0,1623
25,0,0,1595
26,0,0,1873
27,0,0,1542
28,0,0,1732
29,0,0,1809
30,0,0,1628
31,0,0,1533
32,0,0,1588
33,0,0,1435
34,0,0,1450
35,0,0,1516
36,0,0,1758
37,0,0,1634
38,0,0,1568
39,0,0,1723
40,0,0,1961
41,0,0,1699
42,0,0,1593
43,0,0,1848
44,0,0,1749
45,0,0,1903
46,0,0,1599
47,0,0,1855
48,0,0,1494
49,0,0,1336
50,0,0,1665
51,0,0,1540
52,0,0,1578
53,0,0,1642
54,0,0,1702
55,0,0,1475
56,0,0,1677
57,0,0,1530
58,0,0,1548
59,0,0,1483
60,0,0,1560
61,0,0,1360
62,0,0,1811
63,0,0,1600
64,0,0,1607
65,0,0,1566
66,0,0,1500
67,0,0,1495
68,0,0,1735
69,0,0,1825
70,0,0,1795
71,0,0,1845
72,0,0,1752
73,0,0,1589
74,0,0,1562
75,0,0,1456
76,0,0,1521
77,0,0,1701
78,0,0,1634
79,0,0,1388
80,0,0,1537
81,0,0,1617
82,0,0,1689
83,0,0,1570
84,0,0,1505
85,0,0,1509
86,0,0,1511
87,0,0,1644
88,0,0,1673
89,0,0,1395
90,0,0,1449
91,0,0,1440
92,0,0,1517
93,0,0,1532
94,0,0,1512
95,0,0,1536
96,0,0,1345
97,0,0,1591
98,0,0,1551
99,0,0,1608
100,0,0,1449
101,0,0,1583
102,0,0,1405
103,0,0,1644
104,0,0,1777
105,0,0,1624
106,0,0,1371
107,0,0,1570
108,0,0,1465
109,0,0,1639
110,0,0,1362
111,0,0,1817
112,0,0,1524
113,0,0,1586
114,0,0,1493
115,0,0,1352
116,0,0,1418
117,0,0,1434
118,0,0,1464
119,0,0,1934
120,0,0,1640
121,0,0,1283
122,0,0,1371
123,0,0,1417
124,0,0,1445
125,0,0,1494
126,0,0,1465
127,0,0,1833
128,0,0,1617
129,0,0,1904
130,0,0,1550
131,0,0,1306
132,0,0,1737
133,0,0,1411
134,0,0,1490
135,0,0,1666
136,0,0,1777
137,0,0,1792
138,0,0,1549
139,0,0,1744
140,0,0,1596
141,0,0,1575
142,0,0,1576
143,0,0,1506
144,0,0,1387
145,0,0,1694
146,0,0,1598
147,0,0,1373
148,0,0,1567
149,0,0,1673
150,0,0,1801
151,0,0,1723
152,0,0,1388
153,0,0,1531
154,0,0,1575
155,0,0,1721
156,0,0,1578
157,0,0,1757
158,0,0,1659
159,0,0,1511
160,0,0,1591
161,0,0,1510
162,0,0,1392
163,0,0,1674
164,0,0,1678
165,0,0,1848
166,0,0,1625
167,0,0,1750
168,0,0,1680
169,0,0,1505
