Vth_T ,6bit_Vth,VinDac,#1
619,0,0,21
620,0,0,34
621,0,0,36
622,0,0,40
623,0,0,32
624,0,0,47
625,0,0,54
626,0,0,52
627,0,0,79
628,0,0,98
629,0,0,76
630,0,0,105
631,0,0,108
632,0,0,113
633,0,0,157
634,0,0,182
635,0,0,218
636,0,0,234
637,0,0,297
638,0,0,291
639,0,0,325
640,0,0,371
641,0,0,540
642,0,0,521
643,0,0,597
644,0,0,714
645,0,0,852
646,0,0,909
647,0,0,1172
648,0,0,1350
649,0,0,1436
650,0,0,1640
651,0,0,1894
652,0,0,2196
653,0,0,2105
654,0,0,2524
655,0,0,2958
656,0,0,3281
657,0,0,3843
658,0,0,3942
659,0,0,4558
660,0,0,4684
661,0,0,5136
662,0,0,5536
663,0,0,6399
664,0,0,6907
665,0,0,7313
666,0,0,8558
667,0,0,9412
668,0,0,10408
669,0,0,11737
670,0,0,13498
671,0,0,16310
672,0,0,20296
673,0,0,24867
674,0,0,28237
675,0,0,35942
676,0,0,54367
677,0,0,70053
678,0,0,92930
679,0,0,115140
680,0,0,133214
681,0,0,182008
682,0,0,232721
683,0,0,304742
684,0,0,346056
685,0,0,407302
686,0,0,510214
687,0,0,575715
688,0,0,660413
689,0,0,720657
690,0,0,799481
691,0,0,827055
692,0,0,858166
693,0,0,900319
694,0,0,930994
695,0,0,951301
696,0,0,970098
697,0,0,979037
698,0,0,989151
699,0,0,990819
700,0,0,994123
701,0,0,996420
702,0,0,998070
703,0,0,999081
704,0,0,999844
705,0,0,999958
706,0,0,999982
707,0,0,999998
708,0,0,999999
709,0,0,1000000
710,0,0,1000000
711,0,0,1000000
712,0,0,1000000
713,0,0,1000000
714,0,0,1000000
715,0,0,1000000
716,0,0,1000000
717,0,0,1000000
718,0,0,1000000
719,0,0,1000000
