Vth_T ,6bit_Vth,#1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,1
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,1
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,1
93,0,0
94,0,0
95,0,1
96,0,0
97,0,0
98,0,0
99,0,0
100,0,1
101,0,0
102,0,2
103,0,1
104,0,0
105,0,2
106,0,1
107,0,1
108,0,0
109,0,2
110,0,0
111,0,1
112,0,2
113,0,1
114,0,0
115,0,0
116,0,0
117,0,1
118,0,0
119,0,1
120,0,1
121,0,1
122,0,2
123,0,0
124,0,2
125,0,4
126,0,1
127,0,4
128,0,1
129,0,3
130,0,5
131,0,3
132,0,2
133,0,2
134,0,3
135,0,1
136,0,2
137,0,3
138,0,6
139,0,1
140,0,5
141,0,4
142,0,6
143,0,7
144,0,1
145,0,3
146,0,6
147,0,4
148,0,7
149,0,8
150,0,7
151,0,6
152,0,7
153,0,9
154,0,5
155,0,14
156,0,11
157,0,11
158,0,14
159,0,20
160,0,22
161,0,22
162,0,33
163,0,33
164,0,43
165,0,48
166,0,67
167,0,77
168,0,78
169,0,85
170,0,131
171,0,129
172,0,154
173,0,136
174,0,166
175,0,169
176,0,230
177,0,222
178,0,221
179,0,239
180,0,234
181,0,257
182,0,283
183,0,310
184,0,314
185,0,326
186,0,350
187,0,368
188,0,397
189,0,414
190,0,438
191,0,484
192,0,509
193,0,574
194,0,577
195,0,654
196,0,695
197,0,728
198,0,794
199,0,793
200,0,866
201,0,950
202,0,994
203,0,1085
204,0,1159
205,0,1169
206,0,1237
207,0,1267
208,0,1312
209,0,1340
210,0,1347
211,0,1379
212,0,1402
213,0,1409
214,0,1403
215,0,1430
216,0,1425
217,0,1465
218,0,1474
219,0,1496
220,0,1499
221,0,1528
222,0,1523
223,0,1554
224,0,1571
225,0,1571
226,0,1581
227,0,1587
228,0,1590
229,0,1615
230,0,1634
231,0,1631
232,0,1665
233,0,1668
234,0,1722
235,0,1697
236,0,1714
237,0,1731
238,0,1766
239,0,1780
240,0,1802
241,0,1818
242,0,1863
243,0,1909
244,0,1883
245,0,1898
246,0,1948
247,0,2015
248,0,2026
249,0,2040
250,0,2072
251,0,2078
252,0,2140
253,0,2158
254,0,2179
255,0,2225
256,0,2228
257,0,2242
258,0,2300
259,0,2317
260,0,2363
261,0,2412
262,0,2429
263,0,2453
264,0,2507
265,0,2593
266,0,2608
267,0,2694
268,0,2726
269,0,2735
270,0,2779
271,0,2881
272,0,2940
273,0,2992
274,0,3059
275,0,3203
276,0,3199
277,0,3273
278,0,3346
279,0,3432
280,0,3427
281,0,3475
282,0,3532
283,0,3587
284,0,3608
285,0,3675
286,0,3689
287,0,3837
288,0,3948
289,0,4033
290,0,4067
291,0,4249
292,0,4449
293,0,4514
294,0,4833
295,0,5017
296,0,5278
297,0,5554
298,0,5976
299,0,6361
300,0,6690
301,0,7149
302,0,7550
303,0,8082
304,0,8700
305,0,9146
306,0,9719
307,0,10204
308,0,10618
309,0,11057
310,0,11561
311,0,11936
312,0,12381
313,0,12885
314,0,13479
315,0,13818
316,0,14159
317,0,14537
318,0,14802
319,0,15185
320,0,15725
321,0,15956
322,0,16538
323,0,16760
324,0,17158
325,0,17591
326,0,17859
327,0,18087
328,0,18297
329,0,18462
330,0,18604
331,0,18749
332,0,19022
333,0,19117
334,0,19521
335,0,20185
336,0,21236
337,0,23054
338,0,26288
339,0,31204
340,0,38423
341,0,48013
342,0,61774
343,0,79843
344,0,97511
345,0,115746
346,0,130507
347,0,138833
348,0,141267
349,0,137698
350,0,126128
351,0,108443
352,0,82780
353,0,60647
354,0,39315
355,0,22773
356,0,13370
357,0,6732
358,0,3009
359,0,1249
360,0,434
361,0,139
362,0,23
363,0,3
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
535,0,0
536,0,0
537,0,0
538,0,0
539,0,0
540,0,0
541,0,0
542,0,0
543,0,0
