Vth_T ,6bit_Vth,#1
0,0,972
1,0,1006
2,0,1045
3,0,1098
4,0,1168
5,0,1214
6,0,1233
7,0,1274
8,0,1320
9,0,1330
10,0,1368
11,0,1407
12,0,1463
13,0,1492
14,0,1506
15,0,1556
16,0,1521
17,0,1571
18,0,1564
19,0,1606
20,0,1621
21,0,1649
22,0,1621
23,0,1656
24,0,1656
25,0,1666
26,0,1676
27,0,1672
28,0,1702
29,0,1710
30,0,1708
31,0,1732
32,0,1710
33,0,1732
34,0,1759
35,0,1750
36,0,1743
37,0,1778
38,0,1761
39,0,1776
40,0,1782
41,0,1772
42,0,1748
43,0,1792
44,0,1803
45,0,1818
46,0,1786
47,0,1814
48,0,1797
49,0,1785
50,0,1836
51,0,1828
52,0,1827
53,0,1819
54,0,1837
55,0,1844
56,0,1826
57,0,1876
58,0,1852
59,0,1841
60,0,1837
61,0,1862
62,0,1878
63,0,1859
64,0,1879
65,0,1860
66,0,1876
67,0,1847
68,0,1880
69,0,1877
70,0,1892
71,0,1898
72,0,1888
73,0,1909
74,0,1867
75,0,1907
76,0,1872
77,0,1914
78,0,1933
79,0,1887
80,0,1887
81,0,1868
82,0,1930
83,0,1892
84,0,1900
85,0,1933
86,0,1947
87,0,1949
88,0,1936
89,0,1936
90,0,1926
91,0,1945
92,0,1930
93,0,1940
94,0,1939
95,0,1954
96,0,1970
97,0,1996
98,0,1947
99,0,1989
100,0,2000
101,0,1957
102,0,2006
103,0,1974
104,0,1983
105,0,2011
106,0,1976
107,0,2007
108,0,2011
109,0,2022
110,0,1997
111,0,2026
112,0,1995
113,0,2013
114,0,2024
115,0,1999
116,0,2030
117,0,2096
118,0,2050
119,0,2019
120,0,2042
121,0,2066
122,0,2076
123,0,2072
124,0,2109
125,0,2055
126,0,2073
127,0,2066
128,0,2102
129,0,2106
130,0,2086
131,0,2062
132,0,2135
133,0,2097
134,0,2125
135,0,2162
136,0,2145
137,0,2140
138,0,2153
139,0,2189
140,0,2265
141,0,2210
142,0,2237
143,0,2287
144,0,2320
145,0,2302
146,0,2378
147,0,2400
148,0,2435
149,0,2464
150,0,2529
151,0,2514
152,0,2630
153,0,2690
154,0,2711
155,0,2744
156,0,2791
157,0,2823
158,0,2853
159,0,2878
160,0,2939
161,0,2970
162,0,2952
163,0,2931
164,0,2988
165,0,3000
166,0,3031
167,0,3045
168,0,3059
169,0,3107
170,0,3103
171,0,3164
172,0,3136
173,0,3225
174,0,3222
175,0,3300
176,0,3289
177,0,3303
178,0,3427
179,0,3472
180,0,3516
181,0,3584
182,0,3685
183,0,3687
184,0,3755
185,0,3849
186,0,3842
187,0,3911
188,0,3903
189,0,3965
190,0,3970
191,0,4008
192,0,4023
193,0,4049
194,0,4035
195,0,4035
196,0,4093
197,0,4096
198,0,4099
199,0,4153
200,0,4154
201,0,4207
202,0,4198
203,0,4211
204,0,4201
205,0,4228
206,0,4240
207,0,4280
208,0,4261
209,0,4266
210,0,4245
211,0,4291
212,0,4296
213,0,4286
214,0,4306
215,0,4316
216,0,4327
217,0,4320
218,0,4374
219,0,4350
220,0,4364
221,0,4375
222,0,4355
223,0,4389
224,0,4343
225,0,4375
226,0,4445
227,0,4448
228,0,4486
229,0,4520
230,0,4471
231,0,4566
232,0,4573
233,0,4636
234,0,4634
235,0,4706
236,0,4715
237,0,4807
238,0,4800
239,0,4836
240,0,4879
241,0,4867
242,0,4933
243,0,5022
244,0,5065
245,0,5128
246,0,5140
247,0,5190
248,0,5271
249,0,5349
250,0,5374
251,0,5496
252,0,5592
253,0,5664
254,0,5749
255,0,5888
256,0,5914
257,0,6058
258,0,6130
259,0,6237
260,0,6275
261,0,6456
262,0,6561
263,0,6573
264,0,6663
265,0,6834
266,0,6984
267,0,6984
268,0,7093
269,0,7241
270,0,7301
271,0,7350
272,0,7426
273,0,7479
274,0,7662
275,0,7727
276,0,7875
277,0,7996
278,0,8082
279,0,8288
280,0,8410
281,0,8577
282,0,8711
283,0,9016
284,0,9146
285,0,9377
286,0,9642
287,0,9801
288,0,10021
289,0,10290
290,0,10504
291,0,10801
292,0,11045
293,0,11251
294,0,11616
295,0,11908
296,0,12154
297,0,12500
298,0,12828
299,0,13204
300,0,13714
301,0,14274
302,0,14711
303,0,15358
304,0,15657
305,0,16220
306,0,17098
307,0,17748
308,0,18770
309,0,19355
310,0,20497
311,0,21318
312,0,22368
313,0,23459
314,0,24508
315,0,25693
316,0,27169
317,0,28361
318,0,29951
319,0,31131
320,0,33250
321,0,35239
322,0,37384
323,0,39610
324,0,42749
325,0,46539
326,0,50845
327,0,55897
328,0,62969
329,0,72412
330,0,85779
331,0,100109
332,0,124736
333,0,147710
334,0,185752
335,0,222043
336,0,229488
337,0,266776
338,0,311255
339,0,345929
340,0,385648
341,0,409579
342,0,436626
343,0,454627
344,0,471388
345,0,483396
346,0,495971
347,0,506696
348,0,517259
349,0,526441
350,0,537976
351,0,546086
352,0,558876
353,0,568181
354,0,581827
355,0,593979
356,0,616702
357,0,634208
358,0,664448
359,0,693884
360,0,734180
361,0,774365
362,0,822315
363,0,859729
364,0,903307
365,0,928547
366,0,952721
367,0,967463
368,0,972465
369,0,983154
370,0,991105
371,0,995274
372,0,997516
373,0,998620
374,0,999343
375,0,999697
376,0,999935
377,0,999990
378,0,1000000
379,0,1000000
380,0,1000000
381,0,1000000
382,0,1000000
383,0,1000000
384,0,1000000
385,0,1000000
386,0,1000000
387,0,1000000
388,0,1000000
389,0,1000000
390,0,1000000
391,0,1000000
392,0,1000000
393,0,1000000
394,0,1000000
395,0,1000000
396,0,1000000
397,0,1000000
398,0,1000000
399,0,1000000
400,0,1000000
401,0,1000000
402,0,1000000
403,0,1000000
404,0,1000000
405,0,1000000
406,0,1000000
407,0,1000000
408,0,1000000
409,0,1000000
410,0,1000000
411,0,1000000
412,0,1000000
413,0,1000000
414,0,1000000
415,0,1000000
416,0,1000000
417,0,1000000
418,0,1000000
419,0,1000000
420,0,1000000
421,0,1000000
422,0,1000000
423,0,1000000
424,0,1000000
425,0,1000000
426,0,1000000
427,0,1000000
428,0,1000000
429,0,1000000
430,0,1000000
431,0,1000000
432,0,1000000
433,0,1000000
434,0,1000000
435,0,1000000
436,0,1000000
437,0,1000000
438,0,1000000
439,0,1000000
440,0,1000000
441,0,1000000
442,0,1000000
443,0,1000000
444,0,1000000
445,0,1000000
446,0,1000000
447,0,1000000
448,0,1000000
449,0,1000000
450,0,1000000
451,0,1000000
452,0,1000000
453,0,1000000
454,0,1000000
455,0,1000000
456,0,1000000
457,0,1000000
458,0,1000000
459,0,1000000
460,0,1000000
461,0,1000000
462,0,1000000
463,0,1000000
464,0,1000000
465,0,1000000
466,0,1000000
467,0,1000000
468,0,1000000
469,0,1000000
470,0,1000000
471,0,1000000
472,0,1000000
473,0,1000000
474,0,1000000
475,0,1000000
476,0,1000000
477,0,1000000
478,0,1000000
479,0,1000000
480,0,1000000
481,0,1000000
482,0,1000000
483,0,1000000
484,0,1000000
485,0,1000000
486,0,1000000
487,0,1000000
488,0,1000000
489,0,1000000
490,0,1000000
491,0,1000000
492,0,1000000
493,0,1000000
494,0,1000000
495,0,1000000
496,0,1000000
497,0,1000000
498,0,1000000
499,0,1000000
500,0,1000000
501,0,1000000
502,0,1000000
503,0,1000000
504,0,1000000
505,0,1000000
506,0,1000000
507,0,1000000
508,0,1000000
509,0,1000000
510,0,1000000
511,0,1000000
512,0,1000000
513,0,1000000
514,0,1000000
515,0,1000000
516,0,1000000
517,0,1000000
518,0,1000000
519,0,1000000
520,0,1000000
521,0,1000000
522,0,1000000
523,0,1000000
524,0,1000000
525,0,1000000
526,0,1000000
527,0,1000000
528,0,1000000
529,0,1000000
530,0,1000000
531,0,1000000
532,0,1000000
533,0,1000000
534,0,1000000
535,0,1000000
536,0,1000000
537,0,1000000
538,0,1000000
539,0,1000000
540,0,1000000
541,0,1000000
542,0,1000000
543,0,1000000
544,0,1000000
545,0,1000000
546,0,1000000
547,0,1000000
548,0,1000000
549,0,1000000
550,0,1000000
551,0,1000000
552,0,1000000
553,0,1000000
554,0,1000000
555,0,1000000
556,0,1000000
557,0,1000000
558,0,1000000
559,0,1000000
560,0,1000000
561,0,1000000
562,0,1000000
563,0,1000000
564,0,1000000
565,0,1000000
566,0,1000000
567,0,1000000
568,0,1000000
569,0,1000000
570,0,1000000
571,0,1000000
572,0,1000000
573,0,1000000
574,0,1000000
575,0,1000000
576,0,1000000
577,0,1000000
578,0,1000000
579,0,1000000
580,0,1000000
581,0,1000000
582,0,1000000
583,0,1000000
584,0,1000000
585,0,1000000
586,0,1000000
587,0,1000000
588,0,1000000
589,0,1000000
590,0,1000000
591,0,1000000
592,0,1000000
593,0,1000000
594,0,1000000
595,0,1000000
596,0,1000000
597,0,1000000
598,0,1000000
599,0,1000000
600,0,1000000
