Vth_T ,6bit_Vth,#1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,1
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,2
115,0,1
116,0,0
117,0,0
118,0,0
119,0,1
120,0,3
121,0,1
122,0,0
123,0,0
124,0,0
125,0,2
126,0,2
127,0,0
128,0,1
129,0,1
130,0,3
131,0,6
132,0,5
133,0,1
134,0,3
135,0,1
136,0,1
137,0,2
138,0,3
139,0,3
140,0,8
141,0,8
142,0,6
143,0,7
144,0,8
145,0,6
146,0,10
147,0,7
148,0,7
149,0,17
150,0,4
151,0,14
152,0,8
153,0,8
154,0,16
155,0,8
156,0,12
157,0,15
158,0,12
159,0,22
160,0,17
161,0,16
162,0,24
163,0,28
164,0,27
165,0,38
166,0,31
167,0,45
168,0,45
169,0,61
170,0,49
171,0,54
172,0,93
173,0,91
174,0,127
175,0,161
176,0,184
177,0,257
178,0,298
179,0,338
180,0,382
181,0,486
182,0,577
183,0,558
184,0,716
185,0,822
186,0,908
187,0,988
188,0,1172
189,0,1240
190,0,1318
191,0,1603
192,0,1918
193,0,1925
194,0,2126
195,0,2206
196,0,2358
197,0,2512
198,0,2543
199,0,2818
200,0,2970
201,0,3010
202,0,3245
203,0,3340
204,0,3480
205,0,3623
206,0,3933
207,0,4060
208,0,4109
209,0,4338
210,0,4384
211,0,4560
212,0,4660
213,0,4859
214,0,5275
215,0,5509
216,0,5595
217,0,5804
218,0,5979
219,0,6171
220,0,6380
221,0,6728
222,0,6963
223,0,7328
224,0,7709
225,0,8231
226,0,8629
227,0,9281
228,0,9472
229,0,10106
230,0,10424
231,0,11355
232,0,11308
233,0,12170
234,0,12926
235,0,14659
236,0,15200
237,0,18182
238,0,19361
239,0,21656
240,0,25920
241,0,31824
242,0,35164
243,0,45092
244,0,52784
245,0,67914
246,0,83747
247,0,96094
248,0,115385
249,0,143763
250,0,167724
251,0,200622
252,0,220731
253,0,241755
254,0,257746
255,0,281496
256,0,314621
257,0,319530
258,0,332189
259,0,345376
260,0,359055
261,0,366423
262,0,372378
263,0,383888
264,0,386762
265,0,391651
266,0,401510
267,0,406268
268,0,414375
269,0,425490
270,0,430427
271,0,439531
272,0,447790
273,0,457215
274,0,460865
275,0,469389
276,0,478720
277,0,484368
278,0,494766
279,0,500016
280,0,506195
281,0,516351
282,0,522021
283,0,528816
284,0,532441
285,0,536764
286,0,538812
287,0,538085
288,0,538401
289,0,539636
290,0,543245
291,0,545956
292,0,546894
293,0,547650
294,0,548423
295,0,549276
296,0,549553
297,0,549710
298,0,550873
299,0,552190
300,0,552526
301,0,553044
302,0,554284
303,0,555352
304,0,555803
305,0,556116
306,0,556360
307,0,556907
308,0,557133
309,0,557921
310,0,558513
311,0,558528
312,0,558504
313,0,558328
314,0,557986
315,0,557370
316,0,557020
317,0,556863
318,0,555957
319,0,555990
320,0,555339
321,0,555414
322,0,555622
323,0,555437
324,0,555674
325,0,555606
326,0,555931
327,0,556311
328,0,556798
329,0,557187
330,0,557905
331,0,558122
332,0,558692
333,0,559543
334,0,559948
335,0,561139
336,0,561478
337,0,562536
338,0,563037
339,0,564015
340,0,564824
341,0,566041
342,0,567517
343,0,569208
344,0,570311
345,0,571811
346,0,574125
347,0,575639
348,0,576774
349,0,579004
350,0,581836
351,0,583998
352,0,588719
353,0,591935
354,0,595914
355,0,600444
356,0,604826
357,0,610657
358,0,618538
359,0,626388
360,0,633147
361,0,642425
362,0,653560
363,0,662786
364,0,671811
365,0,685193
366,0,701172
367,0,719241
368,0,741047
369,0,766192
370,0,794977
371,0,824082
372,0,845810
373,0,875364
374,0,896883
375,0,918900
376,0,932821
377,0,947302
378,0,961363
379,0,971860
380,0,978751
381,0,985031
382,0,989738
383,0,992893
384,0,998410
385,0,999079
386,0,999554
387,0,999763
388,0,999862
389,0,999923
390,0,999965
391,0,999985
392,0,999990
393,0,999996
394,0,1000000
395,0,1000000
396,0,1000000
397,0,1000000
398,0,1000000
399,0,1000000
400,0,1000000
401,0,1000000
402,0,1000000
403,0,1000000
404,0,1000000
405,0,1000000
406,0,1000000
407,0,1000000
408,0,1000000
409,0,1000000
410,0,1000000
411,0,1000000
412,0,1000000
413,0,1000000
414,0,1000000
415,0,1000000
416,0,1000000
417,0,1000000
418,0,1000000
419,0,1000000
420,0,1000000
421,0,1000000
422,0,1000000
423,0,1000000
424,0,1000000
425,0,1000000
426,0,1000000
427,0,1000000
428,0,1000000
429,0,1000000
430,0,1000000
431,0,1000000
432,0,1000000
433,0,1000000
434,0,1000000
435,0,1000000
436,0,1000000
437,0,1000000
438,0,1000000
439,0,1000000
440,0,1000000
441,0,1000000
442,0,1000000
443,0,1000000
444,0,1000000
445,0,1000000
446,0,1000000
447,0,1000000
448,0,1000000
449,0,1000000
450,0,1000000
451,0,1000000
452,0,1000000
453,0,1000000
454,0,1000000
455,0,1000000
456,0,1000000
457,0,1000000
458,0,1000000
459,0,1000000
460,0,1000000
461,0,1000000
462,0,1000000
463,0,1000000
464,0,1000000
465,0,1000000
466,0,1000000
467,0,1000000
468,0,1000000
469,0,1000000
470,0,1000000
471,0,1000000
472,0,1000000
473,0,1000000
474,0,1000000
475,0,1000000
476,0,1000000
477,0,1000000
478,0,1000000
479,0,1000000
480,0,1000000
481,0,1000000
482,0,1000000
483,0,1000000
484,0,1000000
485,0,1000000
486,0,1000000
487,0,1000000
488,0,1000000
489,0,1000000
490,0,1000000
491,0,1000000
492,0,1000000
493,0,1000000
494,0,1000000
495,0,1000000
496,0,1000000
497,0,1000000
498,0,1000000
499,0,1000000
