Vth_T ,6bit_Vth,#1
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,1
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,1
73,0,1
74,0,0
75,0,0
76,0,2
77,0,0
78,0,1
79,0,1
80,0,0
81,0,0
82,0,1
83,0,0
84,0,1
85,0,0
86,0,1
87,0,2
88,0,3
89,0,2
90,0,1
91,0,1
92,0,0
93,0,1
94,0,2
95,0,0
96,0,3
97,0,3
98,0,2
99,0,3
100,0,1
101,0,4
102,0,7
103,0,4
104,0,3
105,0,6
106,0,4
107,0,9
108,0,6
109,0,10
110,0,10
111,0,6
112,0,3
113,0,6
114,0,4
115,0,7
116,0,11
117,0,8
118,0,9
119,0,10
120,0,7
121,0,14
122,0,11
123,0,6
124,0,12
125,0,11
126,0,15
127,0,14
128,0,17
129,0,22
130,0,25
131,0,30
132,0,40
133,0,52
134,0,58
135,0,69
136,0,64
137,0,89
138,0,98
139,0,151
140,0,183
141,0,232
142,0,239
143,0,313
144,0,306
145,0,387
146,0,472
147,0,465
148,0,579
149,0,609
150,0,733
151,0,813
152,0,803
153,0,942
154,0,960
155,0,1109
156,0,1215
157,0,1269
158,0,1405
159,0,1417
160,0,1555
161,0,1631
162,0,1743
163,0,1769
164,0,1869
165,0,1921
166,0,2012
167,0,2089
168,0,2127
169,0,2185
170,0,2243
171,0,2240
172,0,2368
173,0,2430
174,0,2431
175,0,2548
176,0,2584
177,0,2623
178,0,2645
179,0,2754
180,0,2754
181,0,2735
182,0,2810
183,0,2832
184,0,2845
185,0,2866
186,0,2893
187,0,2930
188,0,2889
189,0,2962
190,0,2934
191,0,2984
192,0,2982
193,0,2935
194,0,2931
195,0,2983
196,0,2986
197,0,3001
198,0,3054
199,0,3043
200,0,3056
201,0,3080
202,0,3123
203,0,3174
204,0,3210
205,0,3270
206,0,3289
207,0,3435
208,0,3504
209,0,3607
210,0,3694
211,0,3856
212,0,4012
213,0,4261
214,0,4468
215,0,4781
216,0,5196
217,0,5564
218,0,6267
219,0,7384
220,0,7743
221,0,8798
222,0,10338
223,0,11325
224,0,15619
225,0,17450
226,0,20133
227,0,25181
228,0,29569
229,0,35715
230,0,44959
231,0,51919
232,0,64793
233,0,75686
234,0,92345
235,0,105535
236,0,116234
237,0,127012
238,0,137924
239,0,145254
240,0,153684
241,0,158622
242,0,161961
243,0,169047
244,0,170791
245,0,174250
246,0,176646
247,0,181746
248,0,182213
249,0,182985
250,0,184908
251,0,186659
252,0,188321
253,0,189186
254,0,190393
255,0,190235
256,0,192250
257,0,192753
258,0,193926
259,0,194146
260,0,192869
261,0,193360
262,0,193076
263,0,192642
264,0,192670
265,0,192123
266,0,191780
267,0,191058
268,0,191623
269,0,190763
270,0,190688
271,0,190137
272,0,189590
273,0,190022
274,0,189937
275,0,190279
276,0,190196
277,0,190245
278,0,190254
279,0,190137
280,0,189893
281,0,189799
282,0,189425
283,0,189018
284,0,188805
285,0,188452
286,0,188171
287,0,187681
288,0,186857
289,0,186353
290,0,185896
291,0,185419
292,0,185201
293,0,184863
294,0,184712
295,0,184560
296,0,184503
297,0,184452
298,0,184452
299,0,184521
300,0,184518
301,0,184589
302,0,184604
303,0,184594
304,0,184546
305,0,184398
306,0,184334
307,0,184190
308,0,184091
309,0,183923
310,0,183730
311,0,183513
312,0,183377
313,0,183216
314,0,182918
315,0,182629
316,0,182439
317,0,182375
318,0,182070
319,0,181834
320,0,181185
321,0,180878
322,0,180589
323,0,180096
324,0,179865
325,0,179394
326,0,178824
327,0,178296
328,0,177919
329,0,177146
330,0,176303
331,0,175398
332,0,174554
333,0,172816
334,0,170948
335,0,168801
336,0,166161
337,0,162641
338,0,159054
339,0,155205
340,0,151919
341,0,147604
342,0,143241
343,0,139637
344,0,136657
345,0,132841
346,0,128704
347,0,124023
348,0,119378
349,0,112608
350,0,103800
351,0,93561
352,0,74907
353,0,64036
354,0,51827
355,0,42759
356,0,34822
357,0,26675
358,0,20367
359,0,14887
360,0,11271
361,0,7996
362,0,5303
363,0,3467
364,0,2575
365,0,1587
366,0,916
367,0,516
368,0,293
369,0,181
370,0,96
371,0,54
372,0,26
373,0,14
374,0,6
375,0,0
376,0,2
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
512,0,0
513,0,0
514,0,0
515,0,0
516,0,0
517,0,0
518,0,0
519,0,0
520,0,0
521,0,0
522,0,0
523,0,0
524,0,0
525,0,0
526,0,0
527,0,0
528,0,0
529,0,0
530,0,0
531,0,0
532,0,0
533,0,0
534,0,0
