Vth_T ,6bit_Vth,VinDac,#1
0,0,0,92
1,0,0,89
2,0,0,69
3,0,0,74
4,0,0,78
5,0,0,77
6,0,0,77
7,0,0,91
8,0,0,82
9,0,0,84
10,0,0,80
11,0,0,84
12,0,0,78
13,0,0,84
14,0,0,91
15,0,0,84
16,0,0,80
17,0,0,80
18,0,0,89
19,0,0,88
20,0,0,88
21,0,0,86
22,0,0,84
23,0,0,83
24,0,0,83
25,0,0,91
26,0,0,91
27,0,0,89
28,0,0,88
29,0,0,91
30,0,0,89
31,0,0,87
32,0,0,96
33,0,0,104
34,0,0,94
35,0,0,92
36,0,0,93
37,0,0,85
38,0,0,102
39,0,0,84
40,0,0,104
41,0,0,99
42,0,0,101
43,0,0,96
44,0,0,99
45,0,0,101
46,0,0,93
47,0,0,95
48,0,0,99
49,0,0,95
50,0,0,105
51,0,0,96
52,0,0,108
53,0,0,102
54,0,0,102
55,0,0,113
56,0,0,104
57,0,0,99
58,0,0,99
59,0,0,103
60,0,0,107
61,0,0,109
62,0,0,108
63,0,0,110
64,0,0,109
65,0,0,111
66,0,0,110
67,0,0,119
68,0,0,113
69,0,0,114
70,0,0,112
71,0,0,118
72,0,0,126
73,0,0,121
74,0,0,122
75,0,0,115
76,0,0,118
77,0,0,126
78,0,0,124
79,0,0,119
80,0,0,128
81,0,0,118
82,0,0,127
83,0,0,124
84,0,0,122
85,0,0,119
86,0,0,125
87,0,0,123
88,0,0,126
89,0,0,123
90,0,0,122
91,0,0,127
92,0,0,129
93,0,0,132
94,0,0,130
95,0,0,127
96,0,0,132
97,0,0,128
98,0,0,124
99,0,0,130
100,0,0,136
101,0,0,134
102,0,0,133
103,0,0,128
104,0,0,135
105,0,0,136
106,0,0,132
107,0,0,137
108,0,0,139
109,0,0,137
110,0,0,139
111,0,0,134
112,0,0,142
113,0,0,131
114,0,0,139
115,0,0,143
116,0,0,138
117,0,0,138
118,0,0,146
119,0,0,140
120,0,0,148
121,0,0,146
122,0,0,143
123,0,0,142
124,0,0,150
125,0,0,148
126,0,0,150
127,0,0,146
128,0,0,146
129,0,0,147
130,0,0,151
131,0,0,147
132,0,0,157
133,0,0,153
134,0,0,155
135,0,0,146
136,0,0,152
137,0,0,157
138,0,0,149
139,0,0,160
140,0,0,160
141,0,0,159
142,0,0,165
143,0,0,164
144,0,0,169
145,0,0,170
146,0,0,171
147,0,0,175
148,0,0,173
149,0,0,175
150,0,0,176
151,0,0,179
152,0,0,173
153,0,0,190
154,0,0,188
155,0,0,197
156,0,0,203
157,0,0,207
158,0,0,204
159,0,0,206
160,0,0,226
161,0,0,227
162,0,0,227
163,0,0,252
164,0,0,230
165,0,0,233
166,0,0,258
167,0,0,247
168,0,0,249
169,0,0,258
170,0,0,275
171,0,0,273
172,0,0,279
173,0,0,277
174,0,0,303
175,0,0,317
176,0,0,304
177,0,0,309
178,0,0,304
179,0,0,311
180,0,0,327
181,0,0,359
182,0,0,353
183,0,0,349
184,0,0,354
185,0,0,363
186,0,0,370
187,0,0,379
188,0,0,389
189,0,0,387
190,0,0,399
191,0,0,405
192,0,0,410
193,0,0,417
194,0,0,427
195,0,0,455
196,0,0,456
197,0,0,439
198,0,0,458
199,0,0,448
200,0,0,502
201,0,0,473
202,0,0,485
203,0,0,507
204,0,0,539
205,0,0,560
206,0,0,617
207,0,0,600
208,0,0,679
209,0,0,725
210,0,0,761
211,0,0,834
212,0,0,920
213,0,0,958
214,0,0,1129
215,0,0,1203
216,0,0,1266
217,0,0,1299
218,0,0,1532
219,0,0,1593
220,0,0,1793
221,0,0,1855
222,0,0,1954
223,0,0,2026
224,0,0,2127
225,0,0,2245
226,0,0,2273
227,0,0,2400
228,0,0,2473
229,0,0,2512
230,0,0,2575
231,0,0,2624
232,0,0,2646
233,0,0,2690
234,0,0,2744
235,0,0,2700
236,0,0,2831
237,0,0,2792
238,0,0,2923
239,0,0,2852
240,0,0,2939
241,0,0,2936
242,0,0,3023
243,0,0,2996
244,0,0,3055
245,0,0,3040
246,0,0,3073
247,0,0,3096
248,0,0,3085
249,0,0,3101
250,0,0,2968
251,0,0,3047
252,0,0,3031
253,0,0,2960
254,0,0,2968
255,0,0,2904
256,0,0,2942
257,0,0,2897
258,0,0,2857
259,0,0,2796
260,0,0,2763
261,0,0,2743
262,0,0,2632
263,0,0,2604
264,0,0,2524
265,0,0,2557
266,0,0,2357
267,0,0,2376
268,0,0,2262
269,0,0,2153
270,0,0,2057
271,0,0,1986
272,0,0,1919
273,0,0,1829
274,0,0,1760
275,0,0,1634
276,0,0,1495
277,0,0,1407
278,0,0,1288
279,0,0,1146
280,0,0,998
281,0,0,903
282,0,0,760
283,0,0,709
284,0,0,551
285,0,0,519
286,0,0,391
287,0,0,283
288,0,0,155
289,0,0,126
290,0,0,101
291,0,0,82
292,0,0,42
293,0,0,33
294,0,0,37
295,0,0,20
296,0,0,15
297,0,0,14
298,0,0,6
299,0,0,8
300,0,0,9
301,0,0,6
302,0,0,6
303,0,0,6
304,0,0,6
305,0,0,5
306,0,0,6
307,0,0,6
308,0,0,6
309,0,0,5
310,0,0,5
311,0,0,5
312,0,0,7
313,0,0,6
314,0,0,5
315,0,0,5
316,0,0,6
317,0,0,6
318,0,0,6
319,0,0,6
320,0,0,5
321,0,0,6
322,0,0,6
323,0,0,6
324,0,0,6
325,0,0,6
326,0,0,5
327,0,0,5
328,0,0,6
329,0,0,5
330,0,0,6
331,0,0,6
332,0,0,5
333,0,0,5
334,0,0,6
335,0,0,6
336,0,0,6
337,0,0,5
338,0,0,6
339,0,0,6
340,0,0,5
341,0,0,6
342,0,0,6
343,0,0,6
344,0,0,6
345,0,0,6
346,0,0,6
347,0,0,5
348,0,0,5
349,0,0,5
350,0,0,5
351,0,0,6
352,0,0,5
353,0,0,5
354,0,0,5
355,0,0,5
356,0,0,5
357,0,0,5
358,0,0,6
359,0,0,5
360,0,0,5
361,0,0,6
362,0,0,5
363,0,0,5
364,0,0,5
365,0,0,6
366,0,0,6
367,0,0,5
368,0,0,6
369,0,0,5
370,0,0,6
371,0,0,5
372,0,0,6
373,0,0,5
374,0,0,6
375,0,0,5
376,0,0,5
377,0,0,6
378,0,0,6
379,0,0,5
380,0,0,6
381,0,0,6
382,0,0,6
383,0,0,6
384,0,0,5
385,0,0,5
386,0,0,5
387,0,0,5
388,0,0,5
389,0,0,6
390,0,0,5
391,0,0,6
392,0,0,6
393,0,0,6
394,0,0,6
395,0,0,6
396,0,0,6
397,0,0,6
398,0,0,5
399,0,0,5
400,0,0,5
401,0,0,5
402,0,0,6
403,0,0,5
404,0,0,6
405,0,0,6
406,0,0,5
407,0,0,6
408,0,0,5
409,0,0,6
410,0,0,6
411,0,0,6
412,0,0,6
413,0,0,6
414,0,0,5
415,0,0,6
416,0,0,5
417,0,0,6
418,0,0,6
419,0,0,5
420,0,0,5
421,0,0,5
422,0,0,6
423,0,0,5
424,0,0,5
425,0,0,5
426,0,0,5
427,0,0,6
428,0,0,5
429,0,0,6
430,0,0,6
431,0,0,5
432,0,0,6
433,0,0,5
434,0,0,6
435,0,0,5
436,0,0,6
437,0,0,5
438,0,0,6
439,0,0,6
440,0,0,6
441,0,0,6
442,0,0,5
443,0,0,6
444,0,0,5
445,0,0,6
446,0,0,6
447,0,0,6
448,0,0,6
449,0,0,5
450,0,0,6
451,0,0,6
452,0,0,5
453,0,0,6
454,0,0,6
455,0,0,5
456,0,0,6
457,0,0,5
458,0,0,6
459,0,0,6
460,0,0,6
461,0,0,6
462,0,0,5
463,0,0,6
