Vth_T ,6bit_Vth,VinDac,#1
0,0,0,1.320000000
1,0,0,1.220000000
2,0,0,1.210000000
3,0,0,1.230000000
4,0,0,1.230000000
5,0,0,1.250000000
6,0,0,1.260000000
7,0,0,1.310000000
8,0,0,1.270000000
9,0,0,1.270000000
10,0,0,1.260000000
11,0,0,1.250000000
12,0,0,1.330000000
13,0,0,1.240000000
14,0,0,1.310000000
15,0,0,1.280000000
16,0,0,1.290000000
17,0,0,1.310000000
18,0,0,1.290000000
19,0,0,1.320000000
20,0,0,1.280000000
21,0,0,1.330000000
22,0,0,1.250000000
23,0,0,1.340000000
24,0,0,1.280000000
25,0,0,1.310000000
26,0,0,1.300000000
27,0,0,1.290000000
28,0,0,1.350000000
29,0,0,1.260000000
30,0,0,1.320000000
31,0,0,1.310000000
32,0,0,1.270000000
33,0,0,1.370000000
34,0,0,1.320000000
35,0,0,1.280000000
36,0,0,1.280000000
37,0,0,1.350000000
38,0,0,1.320000000
39,0,0,1.250000000
40,0,0,1.390000000
41,0,0,1.290000000
42,0,0,1.310000000
43,0,0,1.370000000
44,0,0,1.320000000
45,0,0,1.260000000
46,0,0,1.420000000
47,0,0,1.380000000
48,0,0,1.330000000
49,0,0,1.370000000
50,0,0,1.340000000
51,0,0,1.370000000
52,0,0,1.420000000
53,0,0,1.380000000
54,0,0,1.310000000
55,0,0,1.380000000
56,0,0,1.290000000
57,0,0,1.320000000
58,0,0,1.370000000
59,0,0,1.450000000
60,0,0,1.410000000
61,0,0,1.430000000
62,0,0,1.380000000
63,0,0,1.400000000
64,0,0,1.490000000
65,0,0,1.420000000
66,0,0,1.430000000
67,0,0,1.380000000
68,0,0,1.480000000
69,0,0,1.490000000
70,0,0,1.500000000
71,0,0,1.500000000
72,0,0,1.520000000
73,0,0,1.500000000
74,0,0,1.430000000
75,0,0,1.460000000
76,0,0,1.600000000
77,0,0,1.460000000
78,0,0,1.470000000
79,0,0,1.550000000
80,0,0,1.560000000
81,0,0,1.550000000
82,0,0,1.620000000
83,0,0,1.740000000
84,0,0,1.670000000
85,0,0,1.590000000
86,0,0,1.660000000
87,0,0,1.740000000
88,0,0,1.750000000
89,0,0,1.810000000
90,0,0,1.800000000
91,0,0,1.650000000
92,0,0,1.900000000
93,0,0,1.930000000
94,0,0,2.040000000
95,0,0,2.000000000
96,0,0,2.080000000
97,0,0,2.060000000
98,0,0,2.280000000
99,0,0,2.150000000
100,0,0,2.220000000
101,0,0,2.080000000
102,0,0,2.260000000
103,0,0,2.240000000
104,0,0,2.330000000
105,0,0,2.550000000
106,0,0,2.400000000
107,0,0,2.480000000
108,0,0,2.570000000
109,0,0,2.620000000
110,0,0,2.950000000
111,0,0,2.560000000
112,0,0,3.110000000
113,0,0,2.980000000
114,0,0,2.970000000
115,0,0,3.160000000
116,0,0,3.220000000
117,0,0,3.280000000
118,0,0,3.200000000
119,0,0,3.330000000
120,0,0,3.980000000
121,0,0,4.040000000
122,0,0,3.860000000
123,0,0,3.880000000
124,0,0,4.200000000
125,0,0,4.790000000
126,0,0,5.090000000
127,0,0,5.300000000
128,0,0,6.410000000
129,0,0,6.240000000
130,0,0,6.280000000
131,0,0,6.240000000
132,0,0,7.260000000
133,0,0,7.030000000
134,0,0,8.600000000
135,0,0,7.490000000
136,0,0,8.500000000
137,0,0,8.740000000
138,0,0,9.480000000
139,0,0,10.320000000
140,0,0,11.840000000
141,0,0,12.640000000
142,0,0,12.240000000
143,0,0,14.190000000
144,0,0,14.100000000
145,0,0,17.830000000
146,0,0,17.600000000
147,0,0,18.730000000
148,0,0,20.670000000
149,0,0,21.250000000
150,0,0,21.100000000
151,0,0,24.400000000
152,0,0,24.190000000
153,0,0,27.950000000
154,0,0,26.590000000
155,0,0,29.040000000
156,0,0,30.300000000
157,0,0,32.330000000
158,0,0,31.910000000
159,0,0,32.680000000
160,0,0,34.740000000
161,0,0,35.480000000
162,0,0,35.420000000
163,0,0,37.000000000
164,0,0,36.020000000
165,0,0,39.840000000
166,0,0,38.080000000
167,0,0,39.490000000
168,0,0,40.360000000
169,0,0,41.690000000
170,0,0,41.480000000
171,0,0,43.140000000
172,0,0,42.910000000
173,0,0,44.140000000
174,0,0,44.270000000
175,0,0,44.920000000
176,0,0,44.660000000
177,0,0,45.630000000
178,0,0,45.830000000
179,0,0,45.700000000
180,0,0,45.740000000
181,0,0,46.420000000
182,0,0,46.940000000
183,0,0,47.380000000
184,0,0,48.080000000
185,0,0,48.260000000
186,0,0,47.950000000
187,0,0,49.420000000
188,0,0,48.680000000
189,0,0,48.990000000
190,0,0,50.150000000
191,0,0,50.120000000
192,0,0,50.330000000
193,0,0,50.320000000
194,0,0,51.170000000
195,0,0,51.480000000
196,0,0,51.820000000
197,0,0,51.660000000
198,0,0,51.870000000
199,0,0,52.270000000
200,0,0,52.620000000
201,0,0,53.210000000
202,0,0,52.540000000
203,0,0,52.520000000
204,0,0,53.450000000
205,0,0,55.080000000
206,0,0,53.700000000
