Vth_T ,6bit_Vth,VinDac,#1
67,63,0,0
68,63,0,0
69,63,0,0
70,63,0,0
71,63,0,0
72,63,0,0
73,63,0,4113
74,63,0,8237
75,63,0,0
76,63,0,8234
77,63,0,4114
78,63,0,8223
79,63,0,8234
80,63,0,4118
81,63,0,0
82,63,0,4117
83,63,0,4115
84,63,0,0
85,63,0,0
86,63,0,12358
87,63,0,0
88,63,0,4113
89,63,0,4119
90,63,0,0
91,63,0,8233
92,63,0,0
93,63,0,12359
94,63,0,8229
95,63,0,8232
96,63,0,4113
97,63,0,0
98,63,0,0
99,63,0,4119
100,63,0,0
101,63,0,4120
102,63,0,8242
103,63,0,0
104,63,0,4120
105,63,0,8234
106,63,0,16468
107,63,0,4115
108,63,0,8231
109,63,0,24688
110,63,0,16457
111,63,0,0
112,63,0,4117
113,63,0,12353
114,63,0,0
115,63,0,8236
116,63,0,0
117,63,0,8237
118,63,0,8237
119,63,0,8234
120,63,0,12350
121,63,0,28813
122,63,0,4117
123,63,0,12331
124,63,0,13719
125,63,0,16467
126,63,0,12348
127,63,0,24696
128,63,0,20575
129,63,0,12353
130,63,0,24690
131,63,0,12348
132,63,0,20582
133,63,0,16471
134,63,0,12342
135,63,0,12340
136,63,0,16451
137,63,0,8226
138,63,0,20593
139,63,0,20566
140,63,0,12358
141,63,0,16449
142,63,0,20589
143,63,0,37054
144,63,0,20579
145,63,0,20580
146,63,0,32921
147,63,0,16461
148,63,0,19408
149,63,0,16463
150,63,0,8233
151,63,0,16617
152,63,0,28809
153,63,0,37049
154,63,0,20589
155,63,0,20578
156,63,0,41169
157,63,0,53497
158,63,0,41164
159,63,0,41200
160,63,0,32925
161,63,0,41153
162,63,0,24701
163,63,0,37053
164,63,0,38782
165,63,0,37047
166,63,0,61750
167,63,0,65893
168,63,0,49409
169,63,0,82328
170,63,0,53519
171,63,0,82371
172,63,0,65875
173,63,0,57636
174,63,0,65856
175,63,0,82349
176,63,0,65871
177,63,0,65901
178,63,0,61774
179,63,0,61745
180,63,0,49403
181,63,0,115303
182,63,0,98809
183,63,0,98794
184,63,0,82338
185,63,0,111188
186,63,0,107514
187,63,0,131724
188,63,0,127661
189,63,0,86468
190,63,0,131795
191,63,0,115324
192,63,0,135885
193,63,0,144114
194,63,0,185380
195,63,0,214393
196,63,0,304959
197,63,0,333654
198,63,0,484905
199,63,0,541702
200,63,0,556371
201,63,0,598133
202,63,0,717507
203,63,0,747695
204,63,0,774687
205,63,0,782891
206,63,0,818267
207,63,0,850821
208,63,0,856042
209,63,0,864226
210,63,0,854255
211,63,0,857366
212,63,0,869294
213,63,0,867039
214,63,0,871828
215,63,0,874901
216,63,0,876096
217,63,0,876063
218,63,0,708093
219,63,0,877163
220,63,0,876874
221,63,0,875814
222,63,0,732899
223,63,0,874846
224,63,0,874951
225,63,0,731484
226,63,0,875578
227,63,0,875241
228,63,0,876525
229,63,0,876588
230,63,0,874555
231,63,0,874630
232,63,0,876429
233,63,0,874867
234,63,0,875405
235,63,0,875114
236,63,0,875753
237,63,0,876664
238,63,0,876493
239,63,0,872196
240,63,0,879755
241,63,0,875568
242,63,0,879548
243,63,0,880921
244,63,0,884951
245,63,0,880964
246,63,0,890243
247,63,0,892937
248,63,0,902111
249,63,0,795452
250,63,0,913449
251,63,0,813447
252,63,0,935487
253,63,0,938093
254,63,0,826279
255,63,0,956997
256,63,0,954935
257,63,0,963596
258,63,0,967522
259,63,0,970913
260,63,0,971622
261,63,0,975646
262,63,0,975721
263,63,0,978659
264,63,0,979473
265,63,0,894822
266,63,0,979405
267,63,0,979077
268,63,0,979987
269,63,0,979862
270,63,0,979942
271,63,0,980027
272,63,0,980231
273,63,0,899438
274,63,0,897610
275,63,0,899680
276,63,0,980385
277,63,0,980786
278,63,0,898854
279,63,0,980617
280,63,0,980894
281,63,0,980727
282,63,0,980490
283,63,0,980643
284,63,0,980573
285,63,0,980492
286,63,0,899701
287,63,0,980620
288,63,0,980390
289,63,0,980720
290,63,0,980895
291,63,0,980523
292,63,0,980707
293,63,0,980664
294,63,0,980673
295,63,0,980306
296,63,0,980592
297,63,0,980490
298,63,0,979998
299,63,0,900724
300,63,0,899553
301,63,0,900500
302,63,0,979858
303,63,0,898638
304,63,0,979938
305,63,0,980055
306,63,0,979447
307,63,0,979656
308,63,0,979459
309,63,0,979451
310,63,0,979519
311,63,0,979070
312,63,0,900648
313,63,0,979384
314,63,0,979198
315,63,0,979182
316,63,0,979046
317,63,0,979121
318,63,0,979190
319,63,0,978810
320,63,0,978607
321,63,0,978964
322,63,0,978866
323,63,0,978656
324,63,0,899538
325,63,0,895683
326,63,0,900977
327,63,0,978818
328,63,0,979002
329,63,0,979193
330,63,0,979195
331,63,0,978836
332,63,0,979126
333,63,0,979063
334,63,0,978927
335,63,0,978901
336,63,0,979025
337,63,0,979151
338,63,0,979052
339,63,0,979220
340,63,0,979307
341,63,0,979062
342,63,0,979005
343,63,0,979039
344,63,0,978982
345,63,0,979191
346,63,0,979339
347,63,0,979268
348,63,0,979305
349,63,0,979346
350,63,0,979461
351,63,0,914932
352,63,0,917268
353,63,0,979838
354,63,0,979972
355,63,0,979971
356,63,0,980177
357,63,0,980330
