Vth_T ,6bit_Vth,VinDac,#1
282,21,0,12
283,21,0,9
284,21,0,0
285,21,0,1
286,21,0,1
287,21,0,3
288,21,0,1
289,21,0,5
290,21,0,6
291,21,0,10
292,21,0,18
293,21,0,31
294,21,0,47
295,21,0,61
296,21,0,73
297,21,0,162
298,21,0,114
299,21,0,130
300,21,0,151
301,21,0,161
302,21,0,174
303,21,0,178
304,21,0,186
305,21,0,198
306,21,0,199
307,21,0,206
308,21,0,213
309,21,0,214
310,21,0,456
311,21,0,222
312,21,0,224
313,21,0,227
314,21,0,230
315,21,0,231
316,21,0,232
317,21,0,234
318,21,0,466
319,21,0,237
320,21,0,236
321,21,0,466
322,21,0,465
323,21,0,237
324,21,0,237
325,21,0,237
326,21,0,237
327,21,0,465
328,21,0,237
329,21,0,238
330,21,0,237
331,21,0,238
332,21,0,237
333,21,0,237
334,21,0,237
335,21,0,237
336,21,0,237
337,21,0,237
338,21,0,465
339,21,0,466
340,21,0,465
341,21,0,238
342,21,0,465
343,21,0,238
344,21,0,238
345,21,0,237
346,21,0,237
347,21,0,237
348,21,0,238
349,21,0,466
350,21,0,238
351,21,0,465
352,21,0,466
353,21,0,466
354,21,0,239
355,21,0,238
356,21,0,238
357,21,0,239
358,21,0,466
359,21,0,466
360,21,0,466
361,21,0,466
362,21,0,466
363,21,0,241
364,21,0,242
365,21,0,465
366,21,0,466
367,21,0,243
368,21,0,243
369,21,0,244
370,21,0,244
371,21,0,244
