Vth_T ,6bit_Vth,VinDac,#1
0,0,0,921445
1,0,0,983518
2,0,0,983162
3,0,0,983601
4,0,0,984443
5,0,0,984111
6,0,0,984458
7,0,0,984583
8,0,0,984398
9,0,0,985029
10,0,0,986366
11,0,0,986247
12,0,0,986529
13,0,0,904841
14,0,0,906454
15,0,0,907512
16,0,0,904197
17,0,0,989001
18,0,0,905766
19,0,0,989166
20,0,0,988871
21,0,0,989546
22,0,0,990139
23,0,0,903716
24,0,0,902887
25,0,0,991650
26,0,0,990667
27,0,0,990042
28,0,0,901623
29,0,0,901047
30,0,0,900931
31,0,0,900732
32,0,0,901818
33,0,0,992499
34,0,0,992674
35,0,0,992456
36,0,0,993065
37,0,0,900435
38,0,0,900662
39,0,0,900838
40,0,0,899863
41,0,0,993553
42,0,0,993593
43,0,0,994078
44,0,0,993412
45,0,0,900087
46,0,0,899220
47,0,0,900312
48,0,0,899340
49,0,0,993693
50,0,0,993198
51,0,0,992347
52,0,0,993309
53,0,0,899832
54,0,0,899916
55,0,0,899836
56,0,0,900017
57,0,0,993443
58,0,0,993907
59,0,0,993879
60,0,0,993796
61,0,0,900634
62,0,0,901071
63,0,0,900689
64,0,0,900549
65,0,0,993347
66,0,0,993543
67,0,0,993464
68,0,0,993929
69,0,0,993568
70,0,0,993844
71,0,0,993618
72,0,0,993782
73,0,0,994032
74,0,0,993496
75,0,0,993593
76,0,0,993602
77,0,0,993353
78,0,0,993683
79,0,0,993587
80,0,0,993331
81,0,0,993203
82,0,0,993358
83,0,0,993301
84,0,0,993696
85,0,0,993360
86,0,0,993434
87,0,0,993311
88,0,0,993618
89,0,0,993206
90,0,0,993429
91,0,0,993381
92,0,0,992708
93,0,0,993187
94,0,0,993018
95,0,0,993059
96,0,0,993292
97,0,0,993364
98,0,0,993393
99,0,0,993050
100,0,0,992996
101,0,0,993510
102,0,0,993326
103,0,0,993496
104,0,0,993487
105,0,0,993355
106,0,0,992990
107,0,0,993267
108,0,0,992711
109,0,0,917621
110,0,0,920340
111,0,0,916694
112,0,0,919374
113,0,0,992919
114,0,0,992993
115,0,0,992493
116,0,0,992541
117,0,0,923605
118,0,0,925066
119,0,0,925239
120,0,0,925290
121,0,0,993571
122,0,0,993297
123,0,0,993474
124,0,0,993425
125,0,0,930803
126,0,0,930606
127,0,0,930543
128,0,0,932426
129,0,0,993797
130,0,0,993578
131,0,0,993771
132,0,0,993729
133,0,0,993710
134,0,0,994101
135,0,0,994271
136,0,0,994080
137,0,0,994133
138,0,0,994147
139,0,0,994111
140,0,0,994142
141,0,0,994160
