Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
0,0,0,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,236,237,237,237,237,237,237,237,237,238,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
1,0,0,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
2,0,0,466,465,465,466,465,465,466,466,466,465,465,466,465,466,466,466,465,465,465,465,465,466,466,466,465,466,466,465,465,466,466,465,466,466,465,465,466,466,466,465,465,466,466,466,466,465,466,465,466,466
3,0,0,466,465,466,465,465,466,466,466,466,465,465,465,466,465,465,465,465,466,466,465,465,465,465,465,466,466,466,465,465,466,466,466,465,465,465,466,466,465,466,465,466,466,466,465,466,466,465,466,465,465
4,0,0,466,465,465,465,466,466,466,466,465,466,466,466,466,466,465,466,465,465,466,466,466,466,466,465,466,465,466,465,465,465,465,465,465,465,466,465,466,466,465,466,466,465,465,466,466,465,466,466,465,466
5,0,0,466,465,466,466,465,465,465,466,466,465,466,465,466,466,465,465,466,465,466,465,465,465,465,465,466,466,466,465,465,466,465,465,466,466,465,465,466,465,465,466,465,466,465,466,466,466,465,466,466,465
6,0,0,466,466,466,466,466,466,465,466,466,466,466,465,466,466,466,465,466,465,465,465,465,465,465,465,466,466,466,466,466,466,465,465,466,466,465,465,466,465,466,466,466,466,465,466,465,465,465,465,466,465
7,0,0,466,465,466,466,465,466,465,466,466,466,466,466,465,466,466,466,466,466,465,466,466,465,465,465,465,466,466,465,465,465,466,466,465,465,465,466,466,466,465,466,466,465,465,465,465,466,465,466,465,466
8,0,0,466,466,465,465,466,465,465,466,466,465,466,465,466,466,465,466,465,465,465,466,466,466,465,466,465,466,465,466,466,465,466,465,465,465,466,466,466,466,465,466,465,466,466,466,466,466,466,465,465,466
9,0,0,465,465,465,465,465,465,466,466,466,466,466,465,465,466,466,465,466,466,466,465,466,466,466,465,465,466,466,465,465,466,466,465,466,466,466,466,465,465,465,465,466,465,466,466,465,465,465,465,465,465
10,0,0,466,466,466,466,466,466,465,466,465,466,466,465,466,465,465,465,466,466,466,466,465,465,466,465,465,465,466,465,466,465,465,466,466,465,466,466,466,465,466,466,466,466,465,465,465,466,466,466,465,465
11,0,0,466,466,466,465,466,465,465,465,466,466,465,466,466,465,466,465,466,466,465,465,466,465,466,466,466,465,466,465,465,466,466,466,466,466,466,465,465,466,466,465,466,466,465,465,466,465,465,466,466,465
12,0,0,466,466,466,466,466,466,466,466,466,465,465,465,465,465,466,465,466,465,465,465,466,466,465,465,466,465,466,465,466,465,466,465,465,466,466,466,466,465,466,466,466,465,466,466,465,465,466,466,466,465
13,0,0,465,466,466,466,466,466,465,465,466,466,465,466,466,465,466,465,466,466,466,465,466,466,465,465,466,465,466,465,466,466,466,466,465,466,466,465,465,466,466,465,465,466,465,465,466,465,465,465,465,465
14,0,0,465,466,466,466,465,466,465,466,466,466,466,465,465,466,465,465,466,465,465,465,465,466,465,466,466,466,466,465,465,465,466,466,465,466,466,465,466,466,465,465,465,465,465,466,466,465,466,466,466,466
15,0,0,466,465,465,465,465,466,465,465,466,465,466,465,466,466,466,466,466,466,466,466,465,465,466,466,465,466,466,466,465,465,466,465,465,465,466,466,465,466,465,466,466,466,466,465,466,466,465,466,465,466
16,0,0,466,466,465,466,465,465,466,466,466,466,465,465,466,465,466,465,466,465,466,466,465,465,466,466,466,465,465,465,466,466,466,465,466,465,466,466,466,465,465,466,465,465,466,466,466,466,466,465,465,466
17,0,0,466,466,465,465,466,466,466,466,466,465,466,466,465,466,466,465,465,466,466,466,466,466,466,465,465,465,465,465,466,466,465,465,465,466,466,465,465,466,465,465,465,465,466,466,466,465,465,465,465,466
18,0,0,465,465,465,466,465,466,466,466,465,465,465,465,465,465,466,465,466,465,466,465,466,466,465,465,465,465,465,466,465,466,466,465,465,466,466,466,466,466,466,465,466,465,466,465,466,466,465,465,466,465
19,0,0,465,465,465,466,466,466,466,466,466,465,465,466,465,465,466,466,466,466,465,466,465,465,466,465,466,465,466,465,466,465,465,466,466,466,465,466,466,466,465,465,466,465,465,466,466,466,466,465,466,466
20,0,0,466,466,465,465,466,466,466,465,466,465,466,466,466,465,465,466,465,466,466,466,466,465,466,466,466,466,466,465,466,465,465,466,465,466,465,466,465,466,466,466,466,465,466,465,466,466,466,465,466,466
21,0,0,466,465,466,466,466,466,466,466,466,465,466,466,465,466,466,466,466,466,465,465,465,465,466,466,465,466,465,466,466,466,466,465,465,465,465,466,466,466,466,466,466,465,466,465,466,466,466,465,466,465
22,0,0,466,466,466,466,466,465,465,466,466,466,465,466,466,465,466,466,466,466,465,465,466,466,465,466,466,465,466,466,466,465,466,466,466,466,466,465,466,465,465,466,466,466,465,466,466,465,466,465,466,465
23,0,0,466,465,465,466,466,466,465,465,466,466,465,466,465,465,466,466,466,465,466,465,465,466,466,465,466,465,465,465,465,465,465,466,465,465,466,466,465,466,466,466,466,466,465,466,466,466,466,466,465,466
24,0,0,466,466,466,466,466,466,465,465,465,465,466,466,465,466,465,465,466,465,466,465,465,466,465,466,465,466,465,465,465,466,465,466,466,465,466,466,465,465,466,466,465,466,465,466,466,466,465,465,466,465
25,0,0,466,466,465,465,465,465,466,466,465,465,465,466,465,466,466,466,466,465,466,465,466,466,466,465,465,465,465,465,466,465,465,465,466,465,465,466,465,466,465,465,466,466,466,466,465,466,465,465,465,466
