Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50
143,0,0,3934,0,3935,0,0,0,0,0,3942,0,3932,0,0,0,3939,0,3941,0,0,0,0,0,0,0,0,0,0,0,3936,0,0,3937,0,0,0,0,3934,0,0,0,0,0,0,3936,0,0,0,0,0,0
144,0,0,0,0,0,0,0,7880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3940,0,3939,0,0,0,0,0,0,0,0,3935,0,0,0,0,0,0,0,3934,0,0,3940,0,0,0
145,0,0,0,0,7877,0,0,0,0,0,0,0,0,0,0,0,0,0,3937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3935,0,3931,0,0,0,0,7881,0,0,3937,3940,3939,0,0,0,0
146,0,0,7878,0,0,3939,0,3934,0,0,0,0,0,0,3934,0,0,0,3934,0,0,0,3933,0,0,3941,0,3939,0,0,3938,0,0,0,0,0,3941,0,0,0,0,0,0,3932,0,0,0,3934,3934,3938,3938,0
147,0,0,0,0,3937,0,0,7881,7865,3941,0,0,3938,3937,3934,0,0,0,3940,0,3939,3937,0,3940,0,0,0,3940,3938,0,0,0,0,0,0,0,0,0,3934,0,7871,0,3932,0,0,0,0,0,0,0,3941,0
148,0,0,3934,0,0,3939,0,0,0,0,3940,3940,0,3941,3931,0,0,0,0,0,3940,3934,3931,0,0,0,3934,7876,11815,0,0,3935,0,0,0,0,0,0,0,3932,3932,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,7881,0,0,3934,3935,0,0,0,3932,7875,0,7872,3935,0,0,0,0,0,0,0,0,3938,0,0,0,3938,0,0,0,0,0,0,0,11814,3932,3934,3941,0,3938,11818,0,0,0
150,0,0,0,0,3943,0,3940,3938,0,3941,3938,7872,3934,0,0,3938,3939,0,0,0,0,3934,3934,0,0,0,3932,3940,7871,0,0,0,7878,0,3941,0,0,0,0,15751,0,3940,0,0,0,3935,0,3940,0,0,7877,3939
151,0,0,7882,0,3934,0,0,3937,3939,0,0,0,0,11819,7865,3942,3939,3939,0,0,0,0,0,3941,0,3939,7872,3932,3939,0,7877,3937,7880,0,0,0,3934,0,7874,0,0,0,7869,3940,7880,0,3932,0,7877,0,3936,3935
152,0,0,0,11804,563,0,0,3939,0,7880,3940,0,0,7872,0,3941,0,0,0,7874,11814,0,3940,7870,7872,3932,0,0,3936,3931,3941,7875,0,0,0,3931,0,3936,3939,0,0,3943,7875,0,3939,7878,3937,0,3938,0,0,7875
