Vth_T ,6bit_Vth,VinDac,#1
130,0,0,0
131,0,0,0
132,0,0,0
133,0,0,0
134,0,0,0
135,0,0,0
136,0,0,1
137,0,0,0
138,0,0,1
139,0,0,1
140,0,0,3
141,0,0,1
142,0,0,2
143,0,0,2
144,0,0,3
145,0,0,1
146,0,0,2
147,0,0,2
148,0,0,2
149,0,0,5
150,0,0,9
151,0,0,4
152,0,0,11
153,0,0,11
154,0,0,4
155,0,0,5
156,0,0,11
157,0,0,12
158,0,0,18
159,0,0,11
160,0,0,23
161,0,0,31
162,0,0,24
163,0,0,28
164,0,0,29
165,0,0,33
166,0,0,36
167,0,0,40
168,0,0,68
169,0,0,55
170,0,0,60
171,0,0,77
172,0,0,82
173,0,0,84
174,0,0,154
175,0,0,114
176,0,0,119
177,0,0,124
178,0,0,129
179,0,0,148
180,0,0,156
181,0,0,304
182,0,0,332
183,0,0,352
184,0,0,363
185,0,0,387
186,0,0,187
187,0,0,190
188,0,0,196
189,0,0,438
190,0,0,443
191,0,0,452
192,0,0,212
193,0,0,215
194,0,0,217
195,0,0,217
196,0,0,219
197,0,0,219
198,0,0,221
199,0,0,223
200,0,0,225
201,0,0,226
202,0,0,228
203,0,0,227
204,0,0,229
205,0,0,231
206,0,0,231
207,0,0,232
208,0,0,231
209,0,0,466
210,0,0,233
211,0,0,234
212,0,0,234
213,0,0,235
214,0,0,235
215,0,0,235
216,0,0,235
217,0,0,235
218,0,0,235
219,0,0,236
220,0,0,236
221,0,0,236
222,0,0,236
223,0,0,237
224,0,0,237
225,0,0,237
226,0,0,237
227,0,0,237
228,0,0,237
229,0,0,237
230,0,0,236
231,0,0,237
232,0,0,237
233,0,0,237
234,0,0,237
235,0,0,237
236,0,0,237
237,0,0,237
238,0,0,236
239,0,0,236
240,0,0,237
241,0,0,237
242,0,0,237
243,0,0,237
244,0,0,237
245,0,0,237
246,0,0,237
247,0,0,237
248,0,0,236
249,0,0,236
250,0,0,237
251,0,0,236
252,0,0,237
253,0,0,237
254,0,0,237
255,0,0,237
256,0,0,237
257,0,0,237
258,0,0,237
259,0,0,236
260,0,0,236
261,0,0,237
262,0,0,237
263,0,0,237
264,0,0,237
265,0,0,237
266,0,0,237
267,0,0,237
268,0,0,237
269,0,0,237
270,0,0,237
271,0,0,237
272,0,0,237
273,0,0,237
274,0,0,237
275,0,0,237
276,0,0,237
277,0,0,237
278,0,0,237
279,0,0,237
280,0,0,237
281,0,0,237
282,0,0,237
283,0,0,237
284,0,0,237
285,0,0,236
286,0,0,237
287,0,0,237
288,0,0,236
289,0,0,237
290,0,0,237
291,0,0,237
292,0,0,237
293,0,0,237
294,0,0,237
295,0,0,236
296,0,0,237
297,0,0,237
298,0,0,237
299,0,0,237
300,0,0,237
301,0,0,237
302,0,0,236
303,0,0,236
304,0,0,237
305,0,0,237
306,0,0,236
307,0,0,237
308,0,0,237
309,0,0,237
310,0,0,237
311,0,0,238
312,0,0,237
313,0,0,238
314,0,0,238
315,0,0,239
316,0,0,239
317,0,0,239
318,0,0,239
319,0,0,239
320,0,0,240
321,0,0,240
322,0,0,240
323,0,0,241
324,0,0,240
325,0,0,240
326,0,0,242
327,0,0,241
328,0,0,241
329,0,0,241
330,0,0,242
331,0,0,242
332,0,0,242
333,0,0,242
334,0,0,242
335,0,0,242
336,0,0,242
337,0,0,242
338,0,0,242
339,0,0,242
340,0,0,242
341,0,0,241
342,0,0,242
343,0,0,242
344,0,0,242
345,0,0,242
346,0,0,242
347,0,0,242
348,0,0,242
349,0,0,242
350,0,0,242
351,0,0,242
352,0,0,242
353,0,0,242
354,0,0,242
355,0,0,242
356,0,0,242
357,0,0,242
358,0,0,242
359,0,0,242
360,0,0,242
361,0,0,242
362,0,0,242
363,0,0,242
364,0,0,242
365,0,0,242
366,0,0,242
367,0,0,242
368,0,0,242
369,0,0,242
370,0,0,242
371,0,0,242
372,0,0,242
373,0,0,242
374,0,0,242
375,0,0,242
376,0,0,242
377,0,0,242
378,0,0,242
379,0,0,242
380,0,0,242
381,0,0,242
382,0,0,242
383,0,0,242
384,0,0,242
385,0,0,242
386,0,0,242
