Vth_T ,6bit_Vth,VinDac,#1
0,0,0,974969
1,0,0,974665
2,0,0,974857
3,0,0,974705
4,0,0,974649
5,0,0,974295
6,0,0,974493
7,0,0,974557
8,0,0,974706
9,0,0,974779
10,0,0,974472
11,0,0,974326
12,0,0,974344
13,0,0,974347
14,0,0,974555
15,0,0,974490
16,0,0,974518
17,0,0,974313
18,0,0,974490
19,0,0,974674
20,0,0,974515
21,0,0,974617
22,0,0,974680
23,0,0,974548
24,0,0,974419
25,0,0,974302
26,0,0,974700
27,0,0,974777
28,0,0,974786
29,0,0,974576
30,0,0,974575
31,0,0,974815
32,0,0,974619
33,0,0,974505
34,0,0,974316
35,0,0,974672
36,0,0,974408
37,0,0,974322
38,0,0,974422
39,0,0,974317
40,0,0,974374
41,0,0,974310
42,0,0,974547
43,0,0,974567
44,0,0,974554
45,0,0,974571
46,0,0,974325
47,0,0,974292
48,0,0,974369
49,0,0,974480
50,0,0,974639
51,0,0,974527
52,0,0,974454
53,0,0,974644
54,0,0,974709
55,0,0,974777
56,0,0,974879
57,0,0,974880
58,0,0,974693
59,0,0,974808
60,0,0,974799
61,0,0,974564
62,0,0,974627
63,0,0,974664
64,0,0,974575
65,0,0,974732
66,0,0,974746
67,0,0,974669
68,0,0,974943
69,0,0,974459
70,0,0,974569
71,0,0,974440
72,0,0,974599
73,0,0,974231
74,0,0,974308
75,0,0,974615
76,0,0,974453
77,0,0,974669
78,0,0,974550
79,0,0,974556
80,0,0,974587
81,0,0,974434
82,0,0,974600
83,0,0,974574
84,0,0,974680
85,0,0,974287
86,0,0,974642
87,0,0,974473
88,0,0,974594
89,0,0,974653
90,0,0,974494
91,0,0,974630
92,0,0,974631
93,0,0,974614
94,0,0,974748
95,0,0,974735
96,0,0,975041
97,0,0,974800
98,0,0,974963
99,0,0,974718
100,0,0,974743
101,0,0,975098
102,0,0,974755
103,0,0,974761
104,0,0,974890
105,0,0,974893
106,0,0,974914
107,0,0,974804
108,0,0,974677
109,0,0,974488
110,0,0,974941
111,0,0,974942
112,0,0,974728
113,0,0,974785
114,0,0,974754
115,0,0,974611
116,0,0,974840
117,0,0,974845
118,0,0,974905
119,0,0,975108
120,0,0,974691
121,0,0,974686
122,0,0,974665
123,0,0,974536
124,0,0,974622
125,0,0,974555
126,0,0,974411
127,0,0,974155
128,0,0,974682
129,0,0,974539
130,0,0,974535
131,0,0,974419
132,0,0,974458
133,0,0,974412
134,0,0,974363
135,0,0,974339
136,0,0,974573
137,0,0,974551
138,0,0,974566
139,0,0,974380
140,0,0,974229
141,0,0,974610
142,0,0,974655
143,0,0,902926
