Vth_T ,6bit_Vth,VinDac,#1
0,10,0,NaN
1,10,0,NaN
2,10,0,NaN
3,10,0,NaN
4,10,0,NaN
5,10,0,NaN
6,10,0,NaN
7,10,0,NaN
8,10,0,NaN
9,10,0,NaN
10,10,0,NaN
11,10,0,NaN
12,10,0,NaN
13,10,0,NaN
14,10,0,NaN
15,10,0,NaN
16,10,0,NaN
17,10,0,NaN
18,10,0,NaN
19,10,0,NaN
20,10,0,NaN
21,10,0,NaN
22,10,0,NaN
23,10,0,NaN
24,10,0,NaN
25,10,0,NaN
26,10,0,NaN
27,10,0,NaN
28,10,0,NaN
29,10,0,NaN
30,10,0,NaN
31,10,0,NaN
32,10,0,NaN
33,10,0,NaN
34,10,0,NaN
35,10,0,NaN
36,10,0,NaN
37,10,0,NaN
38,10,0,NaN
39,10,0,NaN
40,10,0,NaN
41,10,0,NaN
42,10,0,NaN
43,10,0,NaN
44,10,0,NaN
45,10,0,NaN
46,10,0,NaN
47,10,0,NaN
48,10,0,NaN
49,10,0,NaN
50,10,0,NaN
51,10,0,NaN
52,10,0,NaN
53,10,0,NaN
54,10,0,NaN
55,10,0,NaN
56,10,0,NaN
57,10,0,NaN
58,10,0,NaN
59,10,0,NaN
60,10,0,NaN
61,10,0,NaN
62,10,0,NaN
63,10,0,NaN
64,10,0,NaN
65,10,0,NaN
66,10,0,NaN
67,10,0,NaN
68,10,0,NaN
69,10,0,NaN
70,10,0,NaN
71,10,0,NaN
72,10,0,NaN
73,10,0,NaN
74,10,0,NaN
75,10,0,NaN
76,10,0,NaN
77,10,0,NaN
78,10,0,NaN
79,10,0,NaN
80,10,0,NaN
81,10,0,NaN
82,10,0,NaN
83,10,0,NaN
84,10,0,NaN
85,10,0,NaN
86,10,0,NaN
87,10,0,NaN
88,10,0,NaN
89,10,0,NaN
90,10,0,NaN
91,10,0,NaN
92,10,0,NaN
93,10,0,NaN
94,10,0,NaN
95,10,0,NaN
96,10,0,NaN
97,10,0,NaN
98,10,0,NaN
99,10,0,NaN
100,10,0,NaN
101,10,0,NaN
102,10,0,NaN
103,10,0,NaN
104,10,0,NaN
105,10,0,NaN
106,10,0,NaN
107,10,0,NaN
108,10,0,NaN
109,10,0,NaN
110,10,0,NaN
111,10,0,NaN
112,10,0,NaN
113,10,0,NaN
114,10,0,NaN
115,10,0,NaN
116,10,0,NaN
117,10,0,NaN
118,10,0,NaN
119,10,0,NaN
120,10,0,NaN
121,10,0,NaN
122,10,0,NaN
123,10,0,NaN
124,10,0,NaN
125,10,0,NaN
126,10,0,NaN
127,10,0,NaN
128,10,0,NaN
129,10,0,NaN
130,10,0,NaN
131,10,0,NaN
132,10,0,NaN
133,10,0,NaN
134,10,0,NaN
135,10,0,NaN
136,10,0,NaN
137,10,0,NaN
138,10,0,NaN
139,10,0,NaN
140,10,0,NaN
141,10,0,NaN
142,10,0,NaN
143,10,0,NaN
144,10,0,NaN
145,10,0,NaN
146,10,0,NaN
147,10,0,NaN
148,10,0,NaN
149,10,0,NaN
150,10,0,NaN
151,10,0,NaN
152,10,0,NaN
153,10,0,NaN
