Vth_T ,6bit_Vth,VinDac,#1
0,22,0,0.781250000
1,22,0,0.781250000
2,22,0,0.781250000
3,22,0,0.781250000
4,22,0,0.976562500
5,22,0,0.781250000
6,22,0,0.781250000
7,22,0,0.781250000
8,22,0,0.781250000
9,22,0,0.781250000
10,22,0,0.976562500
11,22,0,0.781250000
12,22,0,0.781250000
13,22,0,0.781250000
14,22,0,0.976562500
15,22,0,0.976562500
16,22,0,0.781250000
17,22,0,0.781250000
18,22,0,0.781250000
19,22,0,0.781250000
20,22,0,0.781250000
21,22,0,0.781250000
22,22,0,0.781250000
23,22,0,0.781250000
24,22,0,0.781250000
25,22,0,0.976562500
26,22,0,0.781250000
27,22,0,0.781250000
28,22,0,0.781250000
29,22,0,0.781250000
30,22,0,0.976562500
31,22,0,0.781250000
32,22,0,0.781250000
33,22,0,0.781250000
34,22,0,0.781250000
35,22,0,0.781250000
36,22,0,0.781250000
37,22,0,0.781250000
38,22,0,0.976562500
39,22,0,0.781250000
40,22,0,0.781250000
41,22,0,0.781250000
42,22,0,0.781250000
43,22,0,0.781250000
44,22,0,0.781250000
45,22,0,0.781250000
46,22,0,0.781250000
47,22,0,0.781250000
48,22,0,0.781250000
49,22,0,0.781250000
50,22,0,0.781250000
51,22,0,0.781250000
52,22,0,0.781250000
53,22,0,0.976562500
54,22,0,0.781250000
55,22,0,0.781250000
56,22,0,0.781250000
57,22,0,0.781250000
58,22,0,0.976562500
59,22,0,0.781250000
60,22,0,0.781250000
61,22,0,0.976562500
62,22,0,0.781250000
63,22,0,0.781250000
64,22,0,0.781250000
65,22,0,0.781250000
66,22,0,0.976562500
67,22,0,0.781250000
68,22,0,0.976562500
69,22,0,0.781250000
70,22,0,0.781250000
71,22,0,0.781250000
72,22,0,0.781250000
73,22,0,0.781250000
74,22,0,0.781250000
75,22,0,0.781250000
76,22,0,0.976562500
77,22,0,0.781250000
78,22,0,0.976562500
79,22,0,0.781250000
80,22,0,0.781250000
81,22,0,0.781250000
82,22,0,0.976562500
83,22,0,0.781250000
84,22,0,0.781250000
85,22,0,0.976562500
86,22,0,0.976562500
87,22,0,0.781250000
88,22,0,0.976562500
89,22,0,0.781250000
90,22,0,0.781250000
91,22,0,0.781250000
92,22,0,0.781250000
93,22,0,0.781250000
94,22,0,1.171875000
95,22,0,0.781250000
96,22,0,0.781250000
97,22,0,0.781250000
98,22,0,0.781250000
99,22,0,0.976562500
100,22,0,0.781250000
101,22,0,0.781250000
102,22,0,0.781250000
103,22,0,0.781250000
104,22,0,0.781250000
105,22,0,0.976562500
106,22,0,0.781250000
107,22,0,0.976562500
108,22,0,0.781250000
109,22,0,0.781250000
110,22,0,0.781250000
111,22,0,0.781250000
112,22,0,0.976562500
113,22,0,0.976562500
114,22,0,0.781250000
115,22,0,0.781250000
116,22,0,0.781250000
117,22,0,0.976562500
118,22,0,1.171875000
119,22,0,0.781250000
120,22,0,0.976562500
121,22,0,0.781250000
122,22,0,0.976562500
123,22,0,0.781250000
124,22,0,0.781250000
125,22,0,0.781250000
126,22,0,0.976562500
127,22,0,1.171875000
128,22,0,0.781250000
129,22,0,0.976562500
130,22,0,0.781250000
131,22,0,0.781250000
132,22,0,0.781250000
133,22,0,0.976562500
134,22,0,0.781250000
135,22,0,1.171875000
136,22,0,0.781250000
137,22,0,1.171875000
138,22,0,0.976562500
139,22,0,0.781250000
140,22,0,0.781250000
141,22,0,1.367187500
142,22,0,1.757812500
143,22,0,1.562500000
144,22,0,1.367187500
145,22,0,0.976562500
146,22,0,1.562500000
147,22,0,0.976562500
148,22,0,1.171875000
149,22,0,0.976562500
150,22,0,0.976562500
151,22,0,1.562500000
152,22,0,0.976562500
153,22,0,0.976562500
154,22,0,1.953125000
155,22,0,0.976562500
156,22,0,1.562500000
157,22,0,1.562500000
158,22,0,1.367187500
159,22,0,1.171875000
160,22,0,1.367187500
161,22,0,1.562500000
162,22,0,1.367187500
163,22,0,1.562500000
164,22,0,1.757812500
165,22,0,1.953125000
166,22,0,1.367187500
167,22,0,1.171875000
168,22,0,1.367187500
169,22,0,2.148437500
170,22,0,1.757812500
