Vth_T ,6bit_Vth,VinDac,#1
0,0,0,0.828600000
1,0,0,0.829000000
2,0,0,0.831200000
3,0,0,0.834400000
4,0,0,0.831400000
5,0,0,0.834200000
6,0,0,0.840000000
7,0,0,0.844800000
8,0,0,0.848400000
9,0,0,0.845600000
10,0,0,0.844400000
11,0,0,0.848000000
12,0,0,0.856400000
13,0,0,0.861200000
14,0,0,0.861800000
15,0,0,0.859200000
16,0,0,0.862800000
17,0,0,0.861000000
18,0,0,0.874200000
19,0,0,0.873000000
20,0,0,0.875000000
21,0,0,0.885000000
22,0,0,0.886600000
23,0,0,0.896400000
24,0,0,0.888800000
25,0,0,0.900800000
26,0,0,0.905000000
27,0,0,0.906600000
28,0,0,0.918800000
29,0,0,0.918000000
30,0,0,0.920400000
31,0,0,0.941200000
32,0,0,0.940200000
33,0,0,0.957800000
34,0,0,0.950400000
35,0,0,0.947600000
36,0,0,0.959800000
37,0,0,0.971200000
38,0,0,0.964400000
39,0,0,0.980600000
40,0,0,1.002000000
41,0,0,0.992600000
42,0,0,1.009800000
43,0,0,1.003200000
44,0,0,1.021600000
45,0,0,1.038600000
46,0,0,1.037600000
47,0,0,1.053000000
48,0,0,1.054200000
49,0,0,1.070400000
50,0,0,1.089800000
51,0,0,1.088800000
52,0,0,1.106000000
53,0,0,1.124800000
54,0,0,1.128800000
55,0,0,1.128800000
56,0,0,1.155200000
57,0,0,1.165000000
58,0,0,1.178200000
59,0,0,1.196800000
60,0,0,1.211000000
61,0,0,1.229200000
62,0,0,1.235800000
63,0,0,1.254000000
64,0,0,1.248800000
65,0,0,1.298200000
66,0,0,1.302200000
67,0,0,1.323800000
68,0,0,1.351000000
69,0,0,1.347000000
70,0,0,1.381000000
71,0,0,1.398800000
72,0,0,1.409000000
73,0,0,1.427000000
74,0,0,1.446200000
75,0,0,1.456000000
76,0,0,1.477600000
77,0,0,1.503000000
78,0,0,1.510000000
79,0,0,1.523200000
80,0,0,1.546000000
81,0,0,1.553800000
82,0,0,1.572000000
83,0,0,1.575000000
84,0,0,1.615200000
85,0,0,1.626000000
86,0,0,1.650800000
87,0,0,1.660800000
88,0,0,1.684600000
89,0,0,1.705400000
90,0,0,1.727800000
91,0,0,1.745800000
92,0,0,1.763600000
93,0,0,1.776400000
94,0,0,1.819200000
95,0,0,1.828800000
96,0,0,1.824600000
97,0,0,1.842000000
98,0,0,1.863000000
99,0,0,1.862000000
100,0,0,1.897800000
101,0,0,1.903000000
102,0,0,1.916600000
103,0,0,1.951600000
104,0,0,1.950600000
105,0,0,1.957000000
106,0,0,1.993800000
107,0,0,1.993000000
108,0,0,2.002200000
109,0,0,2.025800000
110,0,0,2.049200000
111,0,0,2.045600000
112,0,0,2.050800000
113,0,0,2.053000000
114,0,0,2.080200000
115,0,0,2.084000000
116,0,0,2.088600000
117,0,0,2.089800000
118,0,0,2.111000000
119,0,0,2.129600000
120,0,0,2.145400000
121,0,0,2.153400000
122,0,0,2.158000000
123,0,0,2.166400000
124,0,0,2.178400000
125,0,0,2.198800000
126,0,0,2.204400000
127,0,0,2.212000000
128,0,0,2.243000000
129,0,0,2.245800000
130,0,0,2.258000000
131,0,0,2.275200000
132,0,0,2.288600000
133,0,0,2.310800000
134,0,0,2.332600000
135,0,0,2.357000000
136,0,0,2.381200000
137,0,0,2.396800000
138,0,0,2.427400000
139,0,0,2.454000000
140,0,0,2.489200000
141,0,0,2.513800000
142,0,0,2.562200000
143,0,0,2.587600000
144,0,0,2.610000000
145,0,0,2.636800000
146,0,0,2.689200000
147,0,0,2.722400000
148,0,0,2.779200000
149,0,0,2.824200000
150,0,0,2.857400000
151,0,0,2.918000000
152,0,0,2.970000000
153,0,0,3.048400000
154,0,0,3.097600000
155,0,0,3.135000000
156,0,0,3.220600000
157,0,0,3.262800000
158,0,0,3.339800000
159,0,0,3.414200000
160,0,0,3.463200000
161,0,0,3.532400000
162,0,0,3.614200000
163,0,0,3.677200000
164,0,0,3.732800000
165,0,0,3.787200000
166,0,0,3.875600000
167,0,0,3.938200000
168,0,0,3.993600000
169,0,0,4.038200000
170,0,0,4.105000000
171,0,0,4.166200000
172,0,0,4.219600000
173,0,0,4.236000000
174,0,0,4.278000000
175,0,0,4.305200000
176,0,0,4.327400000
177,0,0,4.382200000
178,0,0,4.405200000
179,0,0,4.443400000
