Vth_T ,6bit_Vth,VinDac,#1
116,7,0,NaN
117,7,0,NaN
118,7,0,NaN
119,7,0,NaN
120,7,0,NaN
121,7,0,NaN
122,7,0,NaN
123,7,0,NaN
124,7,0,NaN
125,7,0,NaN
126,7,0,NaN
127,7,0,NaN
128,7,0,NaN
129,7,0,NaN
130,7,0,NaN
131,7,0,NaN
132,7,0,NaN
133,7,0,NaN
134,7,0,NaN
135,7,0,NaN
136,7,0,NaN
137,7,0,NaN
138,7,0,NaN
139,7,0,NaN
140,7,0,NaN
141,7,0,NaN
142,7,0,NaN
143,7,0,NaN
144,7,0,NaN
145,7,0,NaN
146,7,0,NaN
147,7,0,NaN
148,7,0,NaN
149,7,0,NaN
150,7,0,NaN
151,7,0,NaN
152,7,0,NaN
153,7,0,NaN
154,7,0,NaN
155,7,0,NaN
156,7,0,NaN
157,7,0,NaN
158,7,0,NaN
159,7,0,NaN
160,7,0,NaN
161,7,0,NaN
162,7,0,NaN
163,7,0,NaN
164,7,0,NaN
165,7,0,NaN
166,7,0,NaN
167,7,0,NaN
168,7,0,NaN
169,7,0,NaN
170,7,0,NaN
171,7,0,NaN
172,7,0,NaN
173,7,0,NaN
174,7,0,NaN
175,7,0,NaN
176,7,0,NaN
177,7,0,NaN
178,7,0,NaN
179,7,0,NaN
180,7,0,NaN
181,7,0,NaN
182,7,0,NaN
183,7,0,NaN
184,7,0,NaN
185,7,0,NaN
186,7,0,NaN
187,7,0,NaN
188,7,0,NaN
189,7,0,NaN
190,7,0,NaN
191,7,0,NaN
192,7,0,NaN
193,7,0,NaN
194,7,0,NaN
195,7,0,NaN
196,7,0,NaN
197,7,0,NaN
198,7,0,NaN
199,7,0,NaN
200,7,0,NaN
201,7,0,NaN
202,7,0,NaN
203,7,0,NaN
204,7,0,NaN
205,7,0,NaN
206,7,0,NaN
207,7,0,NaN
208,7,0,NaN
209,7,0,NaN
210,7,0,NaN
211,7,0,NaN
212,7,0,NaN
213,7,0,NaN
214,7,0,NaN
215,7,0,NaN
216,7,0,NaN
217,7,0,NaN
218,7,0,NaN
219,7,0,NaN
220,7,0,NaN
221,7,0,NaN
222,7,0,NaN
223,7,0,NaN
224,7,0,NaN
225,7,0,NaN
226,7,0,NaN
227,7,0,NaN
228,7,0,NaN
229,7,0,NaN
230,7,0,NaN
231,7,0,NaN
232,7,0,NaN
233,7,0,NaN
234,7,0,NaN
235,7,0,NaN
236,7,0,NaN
237,7,0,NaN
238,7,0,NaN
239,7,0,NaN
240,7,0,NaN
241,7,0,NaN
242,7,0,NaN
243,7,0,NaN
244,7,0,NaN
245,7,0,NaN
246,7,0,NaN
247,7,0,NaN
248,7,0,NaN
249,7,0,NaN
250,7,0,NaN
251,7,0,NaN
252,7,0,NaN
253,7,0,NaN
254,7,0,NaN
255,7,0,NaN
256,7,0,NaN
257,7,0,NaN
258,7,0,NaN
259,7,0,NaN
260,7,0,NaN
261,7,0,NaN
262,7,0,NaN
263,7,0,NaN
264,7,0,NaN
265,7,0,NaN
266,7,0,NaN
267,7,0,NaN
268,7,0,NaN
269,7,0,NaN
270,7,0,NaN
271,7,0,NaN
272,7,0,NaN
273,7,0,NaN
274,7,0,NaN
275,7,0,NaN
276,7,0,NaN
277,7,0,NaN
278,7,0,NaN
279,7,0,NaN
280,7,0,NaN
281,7,0,NaN
282,7,0,NaN
283,7,0,NaN
284,7,0,NaN
285,7,0,NaN
286,7,0,NaN
287,7,0,NaN
288,7,0,NaN
289,7,0,NaN
290,7,0,NaN
291,7,0,NaN
292,7,0,NaN
293,7,0,NaN
294,7,0,NaN
295,7,0,NaN
296,7,0,NaN
297,7,0,NaN
298,7,0,NaN
299,7,0,NaN
300,7,0,NaN
301,7,0,NaN
302,7,0,NaN
303,7,0,NaN
304,7,0,NaN
305,7,0,NaN
306,7,0,NaN
307,7,0,NaN
308,7,0,NaN
309,7,0,NaN
310,7,0,NaN
311,7,0,NaN
312,7,0,NaN
313,7,0,NaN
314,7,0,NaN
315,7,0,NaN
316,7,0,NaN
317,7,0,NaN
318,7,0,NaN
319,7,0,NaN
320,7,0,NaN
321,7,0,NaN
322,7,0,NaN
323,7,0,NaN
324,7,0,NaN
325,7,0,NaN
326,7,0,NaN
327,7,0,NaN
328,7,0,NaN
329,7,0,NaN
330,7,0,NaN
331,7,0,NaN
332,7,0,NaN
333,7,0,NaN
334,7,0,NaN
335,7,0,NaN
336,7,0,NaN
337,7,0,NaN
338,7,0,NaN
339,7,0,NaN
340,7,0,NaN
341,7,0,NaN
342,7,0,NaN
343,7,0,NaN
344,7,0,NaN
345,7,0,NaN
346,7,0,NaN
347,7,0,NaN
348,7,0,NaN
349,7,0,NaN
350,7,0,NaN
351,7,0,NaN
352,7,0,NaN
353,7,0,NaN
354,7,0,NaN
355,7,0,NaN
356,7,0,NaN
357,7,0,NaN
358,7,0,NaN
359,7,0,NaN
360,7,0,NaN
361,7,0,NaN
362,7,0,NaN
363,7,0,NaN
364,7,0,NaN
365,7,0,NaN
366,7,0,NaN
367,7,0,NaN
368,7,0,NaN
369,7,0,NaN
370,7,0,NaN
371,7,0,NaN
372,7,0,NaN
373,7,0,NaN
374,7,0,NaN
375,7,0,NaN
376,7,0,NaN
377,7,0,NaN
378,7,0,NaN
379,7,0,NaN
380,7,0,NaN
381,7,0,NaN
382,7,0,NaN
383,7,0,NaN
384,7,0,NaN
385,7,0,NaN
386,7,0,NaN
387,7,0,NaN
388,7,0,NaN
389,7,0,NaN
390,7,0,NaN
391,7,0,NaN
392,7,0,NaN
393,7,0,NaN
394,7,0,NaN
395,7,0,NaN
396,7,0,NaN
397,7,0,NaN
398,7,0,NaN
399,7,0,NaN
400,7,0,NaN
401,7,0,NaN
402,7,0,NaN
403,7,0,NaN
404,7,0,NaN
405,7,0,NaN
406,7,0,NaN
407,7,0,NaN
408,7,0,NaN
409,7,0,NaN
410,7,0,NaN
411,7,0,NaN
412,7,0,NaN
413,7,0,NaN
414,7,0,NaN
415,7,0,NaN
416,7,0,NaN
417,7,0,NaN
418,7,0,NaN
419,7,0,NaN
420,7,0,NaN
421,7,0,NaN
422,7,0,NaN
423,7,0,NaN
424,7,0,NaN
425,7,0,NaN
426,7,0,NaN
427,7,0,NaN
428,7,0,NaN
429,7,0,NaN
430,7,0,NaN
431,7,0,NaN
432,7,0,NaN
433,7,0,NaN
434,7,0,NaN
435,7,0,NaN
436,7,0,NaN
437,7,0,NaN
438,7,0,NaN
439,7,0,NaN
440,7,0,NaN
441,7,0,NaN
442,7,0,NaN
