Vth_T ,6bit_Vth,VinDac,#1
0,63,0,23798
1,63,0,23790
2,63,0,23799
3,63,0,23796
4,63,0,23826
5,63,0,23814
6,63,0,23811
7,63,0,23795
8,63,0,23813
9,63,0,23812
10,63,0,23806
11,63,0,23814
12,63,0,23793
13,63,0,23821
14,63,0,23822
15,63,0,23804
16,63,0,23830
17,63,0,23816
18,63,0,23816
19,63,0,23831
20,63,0,23830
21,63,0,23790
22,63,0,23818
23,63,0,23826
24,63,0,23831
25,63,0,23829
26,63,0,23832
27,63,0,23846
28,63,0,23834
29,63,0,23831
30,63,0,23824
31,63,0,23852
32,63,0,23823
33,63,0,23867
34,63,0,23847
35,63,0,23853
36,63,0,23866
37,63,0,23858
38,63,0,23879
39,63,0,23851
40,63,0,23875
41,63,0,23866
42,63,0,23861
43,63,0,23890
44,63,0,23865
45,63,0,23882
46,63,0,23868
47,63,0,23882
48,63,0,23916
49,63,0,23894
50,63,0,23880
51,63,0,23921
52,63,0,23902
53,63,0,23947
54,63,0,23906
55,63,0,23904
56,63,0,23949
57,63,0,23924
58,63,0,23936
59,63,0,23938
60,63,0,23925
61,63,0,23957
62,63,0,23926
63,63,0,23964
64,63,0,23926
65,63,0,23968
66,63,0,23965
67,63,0,23998
68,63,0,23959
69,63,0,23990
70,63,0,23981
71,63,0,23964
72,63,0,23994
73,63,0,24012
74,63,0,24007
75,63,0,24014
76,63,0,24055
77,63,0,24042
78,63,0,24064
79,63,0,24031
80,63,0,24109
81,63,0,24084
82,63,0,24138
83,63,0,24159
84,63,0,24130
85,63,0,24155
86,63,0,24202
87,63,0,24159
88,63,0,24247
89,63,0,24220
90,63,0,24263
91,63,0,24338
92,63,0,24298
93,63,0,24380
94,63,0,24445
95,63,0,24522
96,63,0,24553
97,63,0,24540
98,63,0,24653
99,63,0,24669
100,63,0,24739
101,63,0,24819
102,63,0,24880
103,63,0,24946
104,63,0,24991
105,63,0,25175
106,63,0,25245
107,63,0,25370
108,63,0,25490
109,63,0,25614
110,63,0,25623
111,63,0,25770
112,63,0,25954
113,63,0,26207
114,63,0,26348
115,63,0,26485
116,63,0,26618
117,63,0,26837
118,63,0,27091
119,63,0,27152
120,63,0,27359
121,63,0,27579
122,63,0,27897
123,63,0,28166
124,63,0,28197
125,63,0,28540
126,63,0,28781
127,63,0,29169
128,63,0,29207
129,63,0,29507
130,63,0,29871
131,63,0,30269
132,63,0,30392
133,63,0,30853
134,63,0,31262
135,63,0,31597
136,63,0,31989
137,63,0,32339
138,63,0,32801
139,63,0,33151
140,63,0,33418
141,63,0,33921
142,63,0,34422
143,63,0,35000
144,63,0,35504
145,63,0,35876
146,63,0,36423
147,63,0,37143
148,63,0,37390
149,63,0,37895
150,63,0,38465
151,63,0,39079
152,63,0,39552
153,63,0,39907
154,63,0,40435
155,63,0,40951
156,63,0,41569
157,63,0,42226
158,63,0,42840
159,63,0,43432
160,63,0,44180
161,63,0,44694
162,63,0,45013
163,63,0,45840
164,63,0,46199
165,63,0,46889
