Vth_T ,6bit_Vth,VinDac,#1
172,63,0,3
173,63,0,4
174,63,0,1
175,63,0,4
176,63,0,2
177,63,0,5
178,63,0,2
179,63,0,6
180,63,0,3
181,63,0,6
182,63,0,5
183,63,0,3
184,63,0,4
185,63,0,7
186,63,0,7
187,63,0,7
188,63,0,5
189,63,0,8
190,63,0,6
191,63,0,9
192,63,0,7
193,63,0,12
194,63,0,8
195,63,0,16
196,63,0,12
197,63,0,19
198,63,0,17
199,63,0,11
200,63,0,23
201,63,0,22
202,63,0,20
203,63,0,17
204,63,0,23
205,63,0,25
206,63,0,20
207,63,0,21
208,63,0,31
209,63,0,35
210,63,0,29
211,63,0,45
212,63,0,39
213,63,0,50
214,63,0,46
215,63,0,46
216,63,0,43
217,63,0,50
218,63,0,72
219,63,0,47
220,63,0,64
221,63,0,79
222,63,0,67
223,63,0,88
224,63,0,77
225,63,0,78
226,63,0,93
227,63,0,100
228,63,0,95
229,63,0,113
230,63,0,127
231,63,0,116
232,63,0,143
233,63,0,139
234,63,0,117
235,63,0,160
236,63,0,144
237,63,0,191
238,63,0,200
239,63,0,165
240,63,0,183
241,63,0,238
242,63,0,250
243,63,0,235
244,63,0,291
245,63,0,302
246,63,0,341
247,63,0,351
248,63,0,357
249,63,0,388
250,63,0,405
251,63,0,510
252,63,0,534
253,63,0,571
254,63,0,655
255,63,0,672
256,63,0,720
257,63,0,761
258,63,0,834
259,63,0,880
260,63,0,1037
261,63,0,1198
262,63,0,1291
263,63,0,1380
264,63,0,1507
265,63,0,1638
266,63,0,1900
267,63,0,2045
268,63,0,2382
269,63,0,2647
270,63,0,2844
271,63,0,3118
272,63,0,3458
273,63,0,3829
274,63,0,4132
275,63,0,4565
276,63,0,5065
277,63,0,5525
278,63,0,6085
279,63,0,6560
280,63,0,7193
281,63,0,7677
282,63,0,8194
283,63,0,8759
284,63,0,9670
285,63,0,10087
286,63,0,10850
287,63,0,11753
288,63,0,12660
289,63,0,13517
290,63,0,14237
291,63,0,15058
292,63,0,15913
293,63,0,16653
294,63,0,17687
295,63,0,18562
296,63,0,19318
297,63,0,20078
298,63,0,21189
299,63,0,21950
300,63,0,22842
301,63,0,23628
302,63,0,24414
303,63,0,25550
304,63,0,26399
305,63,0,27365
306,63,0,27956
307,63,0,29263
308,63,0,30544
309,63,0,31086
310,63,0,32333
311,63,0,33382
312,63,0,34160
313,63,0,35168
314,63,0,35864
315,63,0,37008
316,63,0,37871
317,63,0,38894
318,63,0,39703
319,63,0,40622
320,63,0,41594
321,63,0,42614
322,63,0,43122
323,63,0,43848
324,63,0,44340
325,63,0,44970
326,63,0,45346
327,63,0,46081
328,63,0,46501
329,63,0,46974
330,63,0,47261
331,63,0,47590
332,63,0,48169
333,63,0,48502
334,63,0,48812
335,63,0,49296
336,63,0,49526
337,63,0,49861
338,63,0,50425
339,63,0,51050
340,63,0,51750
341,63,0,52254
342,63,0,52996
343,63,0,54208
344,63,0,54919
345,63,0,56012
346,63,0,57687
347,63,0,59647
348,63,0,61393
349,63,0,64299
350,63,0,66869
351,63,0,70585
352,63,0,75151
353,63,0,79434
354,63,0,83471
355,63,0,89722
356,63,0,95392
357,63,0,103241
358,63,0,114794
359,63,0,126172
360,63,0,141043
361,63,0,162342
362,63,0,185038
363,63,0,220967
364,63,0,259363
365,63,0,317480
366,63,0,383910
367,63,0,467770
368,63,0,530448
369,63,0,567576
370,63,0,580490
371,63,0,590660
372,63,0,608270
373,63,0,641314
374,63,0,689391
375,63,0,756009
376,63,0,833264
377,63,0,941532
378,63,0,1079933
379,63,0,1241864
380,63,0,1430039
381,63,0,1656466
382,63,0,1864915
383,63,0,2118900
384,63,0,2382912
385,63,0,2799576
386,63,0,3176368
387,63,0,3520296
388,63,0,3757751
389,63,0,4021003
390,63,0,4186788
391,63,0,4349298
392,63,0,4477881
393,63,0,4624600
394,63,0,4705767
395,63,0,4800422
396,63,0,4850503
397,63,0,4914144
398,63,0,4956893
399,63,0,5012554
400,63,0,5040254
401,63,0,5083414
402,63,0,5117329
403,63,0,5145746
404,63,0,5180017
405,63,0,5205579
406,63,0,5227520
407,63,0,5248085
408,63,0,5267068
409,63,0,5288889
410,63,0,5307731
411,63,0,5329043
412,63,0,5346231
413,63,0,5362615
414,63,0,5381589
415,63,0,5395743
416,63,0,5423327
417,63,0,5443046
418,63,0,5463695
419,63,0,5489807
420,63,0,5512679
421,63,0,5542183
422,63,0,5571561
423,63,0,5603795
424,63,0,5631216
425,63,0,5666649
426,63,0,5701816
427,63,0,5745667
428,63,0,5785290
429,63,0,5827895
430,63,0,5859718
431,63,0,5897212
432,63,0,5929909
433,63,0,5969847
434,63,0,5993573
435,63,0,6020696
436,63,0,6041764
437,63,0,6067381
438,63,0,6093995
439,63,0,6126858
440,63,0,6149546
441,63,0,6167877
442,63,0,6176856
443,63,0,6183659
444,63,0,6191937
445,63,0,6206099
446,63,0,6222086
447,63,0,6248583
448,63,0,6292132
449,63,0,6338972
450,63,0,6388985
451,63,0,6466025
452,63,0,6577973
453,63,0,6749214
454,63,0,6897388
455,63,0,7106281
456,63,0,7311542
457,63,0,7586565
458,63,0,7826888
459,63,0,8080030
460,63,0,8312747
461,63,0,8547963
462,63,0,8755457
463,63,0,8963503
464,63,0,9137777
465,63,0,9319946
466,63,0,9460486
467,63,0,9595467
468,63,0,9693927
469,63,0,9777454
470,63,0,9835461
471,63,0,9887718
472,63,0,9919821
473,63,0,9948238
474,63,0,9965823
475,63,0,9979102
476,63,0,9987043
477,63,0,9992189
478,63,0,9995014
479,63,0,9997095
480,63,0,9998868
481,63,0,9999458
482,63,0,9999715
483,63,0,9999839
484,63,0,9999930
485,63,0,9999940
486,63,0,9999956
487,63,0,9999982
488,63,0,9999984
489,63,0,9999987
490,63,0,9999993
491,63,0,9999998
492,63,0,9999998
