Vth_T ,6bit_Vth,VinDac,#1
0,0,0,20362
1,0,0,20555
2,0,0,20631
3,0,0,20601
4,0,0,20689
5,0,0,20739
6,0,0,20799
7,0,0,20994
8,0,0,21067
9,0,0,20995
10,0,0,21111
11,0,0,21265
12,0,0,21235
13,0,0,21307
14,0,0,21345
15,0,0,21416
16,0,0,21390
17,0,0,21550
18,0,0,21556
19,0,0,21591
20,0,0,21642
21,0,0,21671
22,0,0,21623
23,0,0,21765
24,0,0,21812
25,0,0,21767
26,0,0,21844
27,0,0,21850
28,0,0,21971
29,0,0,21911
30,0,0,21980
31,0,0,22004
32,0,0,22011
33,0,0,22033
34,0,0,22115
35,0,0,22038
36,0,0,22020
37,0,0,22058
38,0,0,22125
39,0,0,22174
40,0,0,22136
41,0,0,22143
42,0,0,22173
43,0,0,22162
44,0,0,22187
45,0,0,22210
46,0,0,22242
47,0,0,22190
48,0,0,22243
49,0,0,22233
50,0,0,22249
51,0,0,22261
52,0,0,22322
53,0,0,22277
54,0,0,22376
55,0,0,22374
56,0,0,22375
57,0,0,22422
58,0,0,22376
59,0,0,22464
60,0,0,22478
61,0,0,22539
62,0,0,22512
63,0,0,22517
64,0,0,22552
65,0,0,22644
66,0,0,22651
67,0,0,22632
68,0,0,22718
69,0,0,22695
70,0,0,22760
71,0,0,22819
72,0,0,22796
73,0,0,22823
74,0,0,22857
75,0,0,22980
76,0,0,22980
77,0,0,23004
78,0,0,22976
79,0,0,23046
80,0,0,23126
81,0,0,23183
82,0,0,23166
83,0,0,23244
84,0,0,23291
85,0,0,23304
86,0,0,23383
87,0,0,23370
88,0,0,23404
89,0,0,23436
90,0,0,23458
91,0,0,23491
92,0,0,23514
93,0,0,23531
94,0,0,23533
95,0,0,23589
96,0,0,23604
97,0,0,23597
98,0,0,23621
99,0,0,23620
100,0,0,23631
101,0,0,23623
102,0,0,23643
103,0,0,23643
104,0,0,23647
105,0,0,23650
106,0,0,23646
107,0,0,23649
108,0,0,23656
109,0,0,23661
110,0,0,23656
111,0,0,23658
112,0,0,23663
113,0,0,23658
114,0,0,23664
115,0,0,23675
116,0,0,23678
117,0,0,23671
118,0,0,23675
119,0,0,23680
120,0,0,23684
121,0,0,23678
122,0,0,23688
123,0,0,23682
124,0,0,23683
125,0,0,23679
126,0,0,23682
127,0,0,23687
128,0,0,23697
129,0,0,23685
130,0,0,23697
131,0,0,23686
132,0,0,23684
133,0,0,23692
134,0,0,23687
135,0,0,23692
136,0,0,23695
137,0,0,23686
138,0,0,23683
139,0,0,23700
140,0,0,23685
141,0,0,23700
142,0,0,23698
143,0,0,23698
144,0,0,23700
145,0,0,23704
146,0,0,23714
147,0,0,23708
148,0,0,23706
149,0,0,23721
150,0,0,23715
151,0,0,23727
152,0,0,23728
153,0,0,23737
154,0,0,23728
155,0,0,23729
156,0,0,23726
157,0,0,23719
158,0,0,23727
159,0,0,23729
160,0,0,23733
161,0,0,23733
162,0,0,23754
163,0,0,23764
164,0,0,23743
165,0,0,23744
166,0,0,23783
167,0,0,23750
168,0,0,23792
169,0,0,23774
170,0,0,23759
171,0,0,23779
172,0,0,23791
173,0,0,23797
174,0,0,23799
175,0,0,23825
176,0,0,23829
177,0,0,23831
178,0,0,23871
179,0,0,23848
180,0,0,23848
181,0,0,23880
182,0,0,23886
183,0,0,23875
184,0,0,23873
185,0,0,23907
186,0,0,23945
187,0,0,23930
188,0,0,23981
189,0,0,23961
190,0,0,23973
191,0,0,24020
192,0,0,24038
193,0,0,24101
194,0,0,24148
195,0,0,24172
196,0,0,24236
197,0,0,24374
198,0,0,24379
199,0,0,24531
200,0,0,24693
201,0,0,24856
202,0,0,25018
203,0,0,25239
204,0,0,25479
205,0,0,25854
206,0,0,26146
207,0,0,26505
208,0,0,27083
209,0,0,27850
210,0,0,28454
211,0,0,29050
212,0,0,29782
213,0,0,30616
214,0,0,31677
215,0,0,32683
216,0,0,33906
217,0,0,35121
218,0,0,36263
219,0,0,37838
220,0,0,38994
221,0,0,40494
222,0,0,42116
223,0,0,43730
224,0,0,45559
225,0,0,47378
226,0,0,48987
227,0,0,50745
228,0,0,52440
229,0,0,54112
230,0,0,56118
231,0,0,57811
232,0,0,59572
233,0,0,61420
234,0,0,63172
235,0,0,64980
236,0,0,66363
237,0,0,68194
238,0,0,69845
239,0,0,71335
240,0,0,73330
241,0,0,74799
242,0,0,76160
243,0,0,77514
244,0,0,78644
245,0,0,80119
246,0,0,81408
247,0,0,82465
248,0,0,83630
249,0,0,84842
250,0,0,85848
251,0,0,87161
252,0,0,87993
253,0,0,89228
254,0,0,90590
255,0,0,92094
256,0,0,92885
257,0,0,94480
258,0,0,95879
259,0,0,97520
260,0,0,98907
261,0,0,100620
262,0,0,102401
263,0,0,104593
264,0,0,106848
265,0,0,109156
266,0,0,111257
267,0,0,113355
268,0,0,115858
269,0,0,118503
270,0,0,121387
271,0,0,124683
272,0,0,128260
273,0,0,131955
274,0,0,135789
275,0,0,139418
276,0,0,142486
277,0,0,146196
278,0,0,150439
279,0,0,154121
280,0,0,158287
281,0,0,162634
282,0,0,167348
283,0,0,171736
284,0,0,176176
285,0,0,180631
286,0,0,185170
287,0,0,190314
288,0,0,195178
289,0,0,199611
290,0,0,204803
291,0,0,209100
292,0,0,213026
293,0,0,218228
294,0,0,222712
295,0,0,228186
296,0,0,233363
297,0,0,238609
298,0,0,244527
299,0,0,250339
300,0,0,254933
301,0,0,260101
302,0,0,266316
303,0,0,271779
304,0,0,278537
305,0,0,285542
306,0,0,293349
307,0,0,301493
308,0,0,309434
309,0,0,319689
310,0,0,331074
311,0,0,345061
312,0,0,358507
313,0,0,374107
314,0,0,393966
315,0,0,415652
316,0,0,437727
317,0,0,467162
318,0,0,504411
319,0,0,546303
320,0,0,624201
321,0,0,686584
322,0,0,760477
323,0,0,845174
324,0,0,929973
325,0,0,1035515
326,0,0,1164177
327,0,0,1297372
328,0,0,1433166
329,0,0,1552685
330,0,0,1639142
331,0,0,1672859
332,0,0,1645099
333,0,0,1552325
334,0,0,1395782
335,0,0,1205725
336,0,0,949501
337,0,0,727786
338,0,0,517849
339,0,0,346598
340,0,0,228387
341,0,0,133916
342,0,0,74021
343,0,0,41228
344,0,0,24275
345,0,0,13909
346,0,0,7785
347,0,0,4499
348,0,0,2779
349,0,0,1559
350,0,0,913
351,0,0,438
352,0,0,224
353,0,0,126
354,0,0,82
355,0,0,55
356,0,0,18
357,0,0,23
358,0,0,10
359,0,0,8
360,0,0,3
361,0,0,4
362,0,0,1
363,0,0,0
364,0,0,0
365,0,0,0
366,0,0,1
