Vth_T ,6bit_Vth,VinDac,#1
0,0,0,54187
1,0,0,54344
2,0,0,54453
3,0,0,54448
4,0,0,54507
5,0,0,54788
6,0,0,54901
7,0,0,54971
8,0,0,54965
9,0,0,55196
10,0,0,55541
11,0,0,55602
12,0,0,55696
13,0,0,55800
14,0,0,55891
15,0,0,56156
16,0,0,56124
17,0,0,56259
18,0,0,56560
19,0,0,56814
20,0,0,56962
21,0,0,57155
22,0,0,57464
23,0,0,57581
24,0,0,57861
25,0,0,58139
26,0,0,58250
27,0,0,58679
28,0,0,58749
29,0,0,59124
30,0,0,59403
31,0,0,59739
32,0,0,59915
33,0,0,60396
34,0,0,60404
35,0,0,60773
36,0,0,60981
37,0,0,61283
38,0,0,61731
39,0,0,62050
40,0,0,62185
41,0,0,62679
42,0,0,63394
43,0,0,63440
44,0,0,63724
45,0,0,64547
46,0,0,64894
47,0,0,65000
48,0,0,65502
49,0,0,65717
50,0,0,65629
51,0,0,66016
52,0,0,66805
53,0,0,66754
54,0,0,67541
55,0,0,67479
56,0,0,67914
57,0,0,68160
58,0,0,68712
59,0,0,69249
60,0,0,69331
61,0,0,69548
62,0,0,70077
63,0,0,70058
64,0,0,70697
65,0,0,71248
66,0,0,71347
67,0,0,71487
68,0,0,72080
69,0,0,72211
70,0,0,72639
71,0,0,73007
72,0,0,73396
73,0,0,73822
74,0,0,74113
75,0,0,74190
76,0,0,74820
77,0,0,75060
78,0,0,75320
79,0,0,75619
80,0,0,75707
81,0,0,75981
82,0,0,76156
83,0,0,76312
84,0,0,76584
85,0,0,76953
86,0,0,77009
87,0,0,77400
88,0,0,77562
89,0,0,78076
90,0,0,78074
91,0,0,78153
92,0,0,78281
93,0,0,78578
94,0,0,78716
95,0,0,78979
96,0,0,79038
97,0,0,79294
98,0,0,79218
99,0,0,79579
100,0,0,79926
101,0,0,79988
102,0,0,80380
103,0,0,80303
104,0,0,80451
105,0,0,80763
106,0,0,80594
107,0,0,80986
108,0,0,81255
109,0,0,81018
110,0,0,81406
111,0,0,81722
112,0,0,81512
113,0,0,81641
114,0,0,81948
115,0,0,82283
116,0,0,82334
117,0,0,82550
118,0,0,82497
119,0,0,82737
120,0,0,83175
121,0,0,83471
122,0,0,83598
123,0,0,83825
124,0,0,84001
125,0,0,84495
126,0,0,84830
127,0,0,84917
128,0,0,85619
129,0,0,85853
130,0,0,86387
131,0,0,86555
132,0,0,87462
133,0,0,87992
134,0,0,88538
135,0,0,89011
136,0,0,89674
137,0,0,90757
138,0,0,91495
139,0,0,92136
140,0,0,93717
141,0,0,94573
142,0,0,95693
143,0,0,97496
144,0,0,97160
145,0,0,99357
146,0,0,101007
147,0,0,102500
148,0,0,104385
149,0,0,106511
150,0,0,108355
151,0,0,110870
152,0,0,113368
153,0,0,115819
154,0,0,119699
155,0,0,122729
156,0,0,127045
157,0,0,130489
158,0,0,134835
159,0,0,138933
160,0,0,143754
161,0,0,148887
162,0,0,155028
163,0,0,160548
164,0,0,168819
165,0,0,175391
166,0,0,183538
167,0,0,190756
168,0,0,202206
169,0,0,208204
170,0,0,218304
171,0,0,232547
172,0,0,241485
173,0,0,252174
174,0,0,267892
175,0,0,283948
176,0,0,289184
177,0,0,306506
178,0,0,339024
179,0,0,364669
180,0,0,398268
181,0,0,409659
182,0,0,454205
183,0,0,497007
184,0,0,539529
185,0,0,601255
186,0,0,667858
187,0,0,696129
188,0,0,854735
189,0,0,950203
190,0,0,1082243
191,0,0,1209757
192,0,0,1403915
193,0,0,1507756
194,0,0,1614172
195,0,0,1698041
196,0,0,1801177
197,0,0,1855781
198,0,0,1948702
199,0,0,1594624
200,0,0,2184094
201,0,0,2330504
202,0,0,2549947
203,0,0,2329051
204,0,0,3072942
205,0,0,3348266
206,0,0,3303947
207,0,0,3596795
208,0,0,3957101
209,0,0,4157441
210,0,0,4202003
211,0,0,4512950
212,0,0,4667173
213,0,0,4770634
214,0,0,4875713
215,0,0,4957663
216,0,0,5036730
217,0,0,5115057
218,0,0,5210560
219,0,0,5284683
220,0,0,5351055
221,0,0,5403828
222,0,0,5444415
223,0,0,5485069
224,0,0,5550078
225,0,0,5589652
226,0,0,5598411
227,0,0,5633070
228,0,0,5669226
229,0,0,5703177
230,0,0,5733966
231,0,0,5758477
232,0,0,5785733
233,0,0,5807157
234,0,0,5827162
235,0,0,5842781
236,0,0,5863934
237,0,0,5878159
238,0,0,5889857
239,0,0,5927765
240,0,0,5934715
241,0,0,5943326
242,0,0,5952155
243,0,0,5962864
244,0,0,5975415
245,0,0,5984724
246,0,0,5968063
247,0,0,6002841
248,0,0,6013194
249,0,0,6025802
250,0,0,6013931
251,0,0,6052906
252,0,0,6075691
253,0,0,6053623
254,0,0,6069819
255,0,0,6129023
256,0,0,6096422
257,0,0,6116351
258,0,0,6143655
259,0,0,6209333
260,0,0,6239593
261,0,0,6235380
262,0,0,6280068
263,0,0,6298271
264,0,0,6329839
265,0,0,6352457
266,0,0,6373268
267,0,0,6376808
268,0,0,6396401
269,0,0,6409014
270,0,0,6422880
271,0,0,6431046
272,0,0,6434482
273,0,0,6443944
274,0,0,6454179
275,0,0,6463247
276,0,0,6475219
277,0,0,6485745
278,0,0,6511460
279,0,0,6516652
280,0,0,6526162
281,0,0,6526458
282,0,0,6556173
283,0,0,6560904
284,0,0,6583159
285,0,0,6610986
286,0,0,6638674
287,0,0,6661521
288,0,0,6678010
289,0,0,6691812
290,0,0,6724536
291,0,0,6719192
292,0,0,6772845
293,0,0,6756685
294,0,0,6852489
295,0,0,6915964
296,0,0,6898752
297,0,0,7142105
298,0,0,7119365
299,0,0,7272158
300,0,0,7500726
301,0,0,7951461
302,0,0,8189596
303,0,0,8399155
304,0,0,8274309
305,0,0,8706706
306,0,0,8950492
307,0,0,9146156
308,0,0,9258258
309,0,0,9526112
310,0,0,9669027
311,0,0,9760551
312,0,0,9839580
313,0,0,9892751
314,0,0,9932161
315,0,0,9954169
316,0,0,9971443
317,0,0,9980062
318,0,0,9988657
319,0,0,9990295
320,0,0,9994576
321,0,0,9995900
322,0,0,9996164
323,0,0,9996927
324,0,0,9997937
325,0,0,9998052
326,0,0,9998489
327,0,0,9998738
328,0,0,9999073
329,0,0,9999227
330,0,0,9999380
331,0,0,9999476
332,0,0,9999600
333,0,0,9999705
334,0,0,9999777
335,0,0,9999843
336,0,0,9999859
337,0,0,9999906
338,0,0,9999934
339,0,0,9999953
340,0,0,9999969
341,0,0,9999986
342,0,0,9999986
343,0,0,9999990
344,0,0,9999993
345,0,0,9999998
346,0,0,9999997
347,0,0,9999997
348,0,0,9999999
349,0,0,9999998
350,0,0,9999999
351,0,0,9999999
352,0,0,10000000
353,0,0,10000000
