Vth_T ,6bit_Vth,VinDac,#1
0,16,0,0
1,16,0,0
2,16,0,0
3,16,0,0
4,16,0,0
5,16,0,1
6,16,0,0
7,16,0,0
8,16,0,3
9,16,0,0
10,16,0,1
11,16,0,1
12,16,0,2
13,16,0,1
14,16,0,1
15,16,0,1
16,16,0,0
17,16,0,2
18,16,0,2
19,16,0,4
20,16,0,3
21,16,0,4
22,16,0,1
23,16,0,2
24,16,0,5
25,16,0,3
26,16,0,2
27,16,0,5
28,16,0,5
29,16,0,3
30,16,0,4
31,16,0,3
32,16,0,4
33,16,0,7
34,16,0,4
35,16,0,6
36,16,0,7
37,16,0,10
38,16,0,7
39,16,0,3
40,16,0,5
41,16,0,9
42,16,0,8
43,16,0,11
44,16,0,14
45,16,0,9
46,16,0,6
47,16,0,12
48,16,0,11
49,16,0,8
50,16,0,3
51,16,0,16
52,16,0,12
53,16,0,17
54,16,0,15
55,16,0,14
56,16,0,14
57,16,0,20
58,16,0,15
59,16,0,16
60,16,0,20
61,16,0,9
62,16,0,29
63,16,0,16
64,16,0,15
65,16,0,15
66,16,0,23
67,16,0,20
68,16,0,26
69,16,0,22
70,16,0,23
71,16,0,30
72,16,0,30
73,16,0,25
74,16,0,30
75,16,0,28
76,16,0,30
77,16,0,38
78,16,0,28
79,16,0,32
80,16,0,32
81,16,0,29
82,16,0,38
83,16,0,44
84,16,0,39
85,16,0,57
86,16,0,61
87,16,0,59
88,16,0,63
89,16,0,63
90,16,0,95
91,16,0,108
92,16,0,96
93,16,0,127
94,16,0,148
95,16,0,147
96,16,0,174
97,16,0,190
98,16,0,252
99,16,0,282
100,16,0,293
101,16,0,354
102,16,0,386
103,16,0,467
104,16,0,483
105,16,0,560
106,16,0,621
107,16,0,687
108,16,0,728
109,16,0,812
110,16,0,928
111,16,0,985
112,16,0,1112
113,16,0,1217
114,16,0,1301
115,16,0,1490
116,16,0,1541
117,16,0,1595
118,16,0,1717
119,16,0,1800
120,16,0,1956
121,16,0,1972
122,16,0,2125
123,16,0,2235
124,16,0,2274
125,16,0,2408
126,16,0,2494
127,16,0,2585
128,16,0,2707
129,16,0,2764
130,16,0,2814
131,16,0,2882
132,16,0,2988
133,16,0,3041
134,16,0,3119
135,16,0,3229
136,16,0,3272
137,16,0,3338
138,16,0,3375
139,16,0,3414
140,16,0,3458
141,16,0,3512
142,16,0,3568
143,16,0,3602
144,16,0,3637
145,16,0,3679
146,16,0,3700
147,16,0,3743
148,16,0,3755
149,16,0,3795
150,16,0,3833
151,16,0,3853
152,16,0,3858
153,16,0,3873
154,16,0,3897
155,16,0,3897
156,16,0,3905
157,16,0,3910
158,16,0,3932
159,16,0,3918
160,16,0,3943
161,16,0,3942
162,16,0,3961
163,16,0,3936
164,16,0,3951
165,16,0,3959
166,16,0,3945
167,16,0,3958
168,16,0,3951
169,16,0,3966
170,16,0,3959
171,16,0,3961
