Vth_T ,6bit_Vth,VinDac,#1
0,16,0,9312
1,16,0,9301
2,16,0,9289
3,16,0,9220
4,16,0,9244
5,16,0,9293
6,16,0,9228
7,16,0,9236
8,16,0,9332
9,16,0,9259
10,16,0,9357
11,16,0,9233
12,16,0,9249
13,16,0,9206
14,16,0,9259
15,16,0,9398
16,16,0,9278
17,16,0,9354
18,16,0,9258
19,16,0,9282
20,16,0,9327
21,16,0,9247
22,16,0,9289
23,16,0,9260
24,16,0,9299
25,16,0,9256
26,16,0,9304
27,16,0,9307
28,16,0,9289
29,16,0,9309
30,16,0,9303
31,16,0,9309
32,16,0,9293
33,16,0,9291
34,16,0,9250
35,16,0,9261
36,16,0,9279
37,16,0,9291
38,16,0,9257
39,16,0,9323
40,16,0,9239
41,16,0,9258
42,16,0,9288
43,16,0,9279
44,16,0,9313
45,16,0,9298
46,16,0,9301
47,16,0,9319
48,16,0,9278
49,16,0,9326
50,16,0,9310
51,16,0,9339
52,16,0,9329
53,16,0,9322
54,16,0,9405
55,16,0,9325
56,16,0,9352
57,16,0,9339
58,16,0,9339
59,16,0,9397
60,16,0,9368
61,16,0,9363
62,16,0,9381
63,16,0,9321
64,16,0,9285
65,16,0,9351
66,16,0,9315
67,16,0,9370
68,16,0,9409
69,16,0,9286
70,16,0,9385
71,16,0,9345
72,16,0,9285
73,16,0,9313
74,16,0,9331
75,16,0,9356
76,16,0,9385
77,16,0,9371
78,16,0,9339
79,16,0,9358
80,16,0,9381
81,16,0,9329
82,16,0,9350
83,16,0,9311
84,16,0,9383
85,16,0,9286
86,16,0,9325
87,16,0,9387
88,16,0,9376
89,16,0,9309
90,16,0,9442
91,16,0,9408
92,16,0,9343
93,16,0,9331
94,16,0,9282
95,16,0,9399
96,16,0,9393
97,16,0,9408
98,16,0,9421
99,16,0,9399
100,16,0,9371
101,16,0,9354
102,16,0,9415
103,16,0,9457
104,16,0,9493
105,16,0,9479
106,16,0,9397
107,16,0,9452
108,16,0,9509
109,16,0,9481
110,16,0,9474
111,16,0,9517
112,16,0,9518
113,16,0,9578
114,16,0,9562
115,16,0,9587
116,16,0,9574
117,16,0,9641
118,16,0,9698
119,16,0,9742
120,16,0,9827
121,16,0,9871
122,16,0,9835
123,16,0,9861
124,16,0,10014
125,16,0,10038
126,16,0,10158
127,16,0,10191
128,16,0,10122
129,16,0,10240
130,16,0,10397
131,16,0,10441
132,16,0,10542
133,16,0,10549
134,16,0,10570
135,16,0,10650
136,16,0,10818
137,16,0,10978
138,16,0,10996
139,16,0,11132
140,16,0,11187
141,16,0,11342
142,16,0,11386
143,16,0,11463
144,16,0,11626
145,16,0,11635
146,16,0,11757
147,16,0,11859
148,16,0,12019
149,16,0,12076
150,16,0,12292
151,16,0,12356
152,16,0,12366
153,16,0,12455
154,16,0,12652
155,16,0,12780
156,16,0,12979
157,16,0,13127
158,16,0,13194
159,16,0,13371
160,16,0,13564
161,16,0,13767
162,16,0,13904
163,16,0,14137
164,16,0,14424
165,16,0,14365
166,16,0,14530
167,16,0,14689
168,16,0,14798
169,16,0,15056
170,16,0,15193
171,16,0,15297
172,16,0,15461
173,16,0,15621
174,16,0,15799
175,16,0,15846
176,16,0,16000
177,16,0,16120
178,16,0,16250
179,16,0,16385
180,16,0,16554
181,16,0,16491
182,16,0,16811
183,16,0,16751
184,16,0,16948
185,16,0,16997
186,16,0,17037
187,16,0,17036
188,16,0,17111
189,16,0,17262
190,16,0,17237
191,16,0,17369
192,16,0,17526
193,16,0,17643
194,16,0,17643
195,16,0,17855
196,16,0,17690
197,16,0,17892
198,16,0,17966
199,16,0,17913
200,16,0,17901
201,16,0,17938
202,16,0,17860
203,16,0,17987
204,16,0,18034
205,16,0,18111
206,16,0,18014
207,16,0,18115
208,16,0,18177
209,16,0,18196
210,16,0,18256
211,16,0,18330
212,16,0,18392
213,16,0,18264
214,16,0,18384
215,16,0,18411
216,16,0,18383
217,16,0,18606
218,16,0,18649
219,16,0,18737
220,16,0,18672
221,16,0,18802
222,16,0,18777
223,16,0,18709
224,16,0,18862
225,16,0,18870
226,16,0,18878
227,16,0,18957
228,16,0,18890
229,16,0,18951
230,16,0,18973
231,16,0,18929
232,16,0,18974
233,16,0,18918
234,16,0,18864
235,16,0,19046
236,16,0,19017
237,16,0,19037
238,16,0,19006
239,16,0,19021
240,16,0,18907
241,16,0,19075
242,16,0,19144
243,16,0,19056
244,16,0,19053
245,16,0,19174
246,16,0,19084
247,16,0,19190
248,16,0,19248
249,16,0,19249
250,16,0,19201
251,16,0,19214
252,16,0,19237
253,16,0,19318
254,16,0,19293
255,16,0,19300
256,16,0,19303
257,16,0,19367
258,16,0,19384
259,16,0,19368
260,16,0,19445
261,16,0,19403
262,16,0,19571
263,16,0,19449
264,16,0,19527
265,16,0,19461
266,16,0,19503
267,16,0,19535
268,16,0,19625
269,16,0,19550
270,16,0,19506
271,16,0,19558
272,16,0,19635
273,16,0,19497
274,16,0,19635
275,16,0,19629
276,16,0,19741
277,16,0,19664
278,16,0,19702
279,16,0,19670
280,16,0,19753
281,16,0,19734
282,16,0,19826
283,16,0,19872
284,16,0,19876
285,16,0,19806
286,16,0,19976
287,16,0,20226
288,16,0,20153
289,16,0,20298
290,16,0,20371
291,16,0,20511
292,16,0,20577
293,16,0,20769
294,16,0,20961
295,16,0,21223
296,16,0,21150
297,16,0,21415
298,16,0,21754
299,16,0,21953
300,16,0,22229
301,16,0,22592
302,16,0,22824
303,16,0,23239
304,16,0,23736
305,16,0,24300
306,16,0,24987
307,16,0,25852
308,16,0,26980
309,16,0,27932
