Vth_T ,6bit_Vth,VinDac,#1
0,32,0,6680
1,32,0,6725
2,32,0,6793
3,32,0,6809
4,32,0,6727
5,32,0,6777
6,32,0,6803
7,32,0,6780
8,32,0,6845
9,32,0,6796
10,32,0,6813
11,32,0,6813
12,32,0,6815
13,32,0,6846
14,32,0,6837
15,32,0,6886
16,32,0,6935
17,32,0,6955
18,32,0,6952
19,32,0,6980
20,32,0,7018
21,32,0,6958
22,32,0,7045
23,32,0,7049
24,32,0,7080
25,32,0,7125
26,32,0,7181
27,32,0,7124
28,32,0,7188
29,32,0,7216
30,32,0,7288
31,32,0,7248
32,32,0,7287
33,32,0,7282
34,32,0,7378
35,32,0,7373
36,32,0,7415
37,32,0,7485
38,32,0,7442
39,32,0,7554
40,32,0,7525
41,32,0,7591
42,32,0,7710
43,32,0,7641
44,32,0,7675
45,32,0,7663
46,32,0,7829
47,32,0,7780
48,32,0,7857
49,32,0,7885
50,32,0,7955
51,32,0,7996
52,32,0,7958
53,32,0,8007
54,32,0,8050
55,32,0,8098
56,32,0,8099
57,32,0,8146
58,32,0,8220
59,32,0,8338
60,32,0,8344
61,32,0,8331
62,32,0,8341
63,32,0,8439
64,32,0,8482
65,32,0,8536
66,32,0,8546
67,32,0,8637
68,32,0,8586
69,32,0,8574
70,32,0,8700
71,32,0,8664
72,32,0,8767
73,32,0,8777
74,32,0,8813
75,32,0,8814
76,32,0,8877
77,32,0,8998
78,32,0,8947
79,32,0,8962
80,32,0,9047
81,32,0,9082
82,32,0,9096
83,32,0,9133
84,32,0,9197
85,32,0,9180
86,32,0,9186
87,32,0,9274
88,32,0,9324
89,32,0,9343
90,32,0,9340
91,32,0,9439
92,32,0,9426
93,32,0,9508
94,32,0,9543
95,32,0,9531
96,32,0,9627
97,32,0,9609
98,32,0,9645
99,32,0,9677
100,32,0,9760
101,32,0,9729
102,32,0,9775
103,32,0,9909
104,32,0,9929
105,32,0,9933
106,32,0,9933
107,32,0,10097
108,32,0,10017
109,32,0,10086
110,32,0,10096
111,32,0,10205
112,32,0,10181
113,32,0,10238
114,32,0,10298
115,32,0,10381
116,32,0,10467
117,32,0,10418
118,32,0,10494
119,32,0,10487
120,32,0,10560
121,32,0,10682
122,32,0,10601
123,32,0,10765
124,32,0,10865
125,32,0,10880
126,32,0,10897
127,32,0,11028
128,32,0,11084
129,32,0,11116
130,32,0,11056
131,32,0,11169
132,32,0,11282
133,32,0,11354
134,32,0,11403
135,32,0,11455
136,32,0,11454
137,32,0,11605
138,32,0,11655
139,32,0,11689
140,32,0,11893
141,32,0,11808
142,32,0,11973
143,32,0,12082
144,32,0,12085
145,32,0,12195
146,32,0,12357
147,32,0,12419
148,32,0,12454
149,32,0,12611
150,32,0,12660
151,32,0,12693
152,32,0,12765
153,32,0,12863
154,32,0,12940
155,32,0,13022
156,32,0,13165
157,32,0,13148
158,32,0,13365
159,32,0,13426
160,32,0,13509
161,32,0,13626
162,32,0,13774
163,32,0,13814
164,32,0,13830
165,32,0,13881
166,32,0,14100
167,32,0,14158
168,32,0,14265
169,32,0,14406
170,32,0,14527
171,32,0,14555
172,32,0,14690
173,32,0,14802
174,32,0,14994
175,32,0,15023
176,32,0,15186
177,32,0,15211
178,32,0,15446
179,32,0,15519
180,32,0,15598
181,32,0,15752
182,32,0,16058
183,32,0,15959
184,32,0,16224
185,32,0,16313
186,32,0,16568
187,32,0,16553
188,32,0,16777
189,32,0,16804
190,32,0,17020
191,32,0,17175
192,32,0,17438
193,32,0,17468
194,32,0,17620
195,32,0,17803
196,32,0,17975
197,32,0,18148
198,32,0,18299
199,32,0,18430
200,32,0,18618
201,32,0,18720
202,32,0,19043
203,32,0,19162
204,32,0,19312
205,32,0,19498
206,32,0,19701
207,32,0,19825
208,32,0,20110
209,32,0,20109
210,32,0,20404
211,32,0,20622
212,32,0,20784
213,32,0,20912
214,32,0,21235
215,32,0,21464
216,32,0,21554
217,32,0,21874
218,32,0,21885
219,32,0,22212
220,32,0,22457
221,32,0,22670
222,32,0,23006
223,32,0,23049
224,32,0,23495
225,32,0,23758
226,32,0,23944
227,32,0,24245
228,32,0,24536
229,32,0,24863
230,32,0,25096
231,32,0,25274
232,32,0,25745
233,32,0,26000
234,32,0,26315
235,32,0,26859
236,32,0,27069
237,32,0,27248
238,32,0,27714
239,32,0,28054
240,32,0,28584
241,32,0,29041
242,32,0,29290
243,32,0,29626
244,32,0,30151
245,32,0,30511
246,32,0,31064
247,32,0,31505
248,32,0,31874
249,32,0,32401
250,32,0,32829
251,32,0,33187
252,32,0,33790
253,32,0,34404
254,32,0,34781
255,32,0,35446
256,32,0,35849
257,32,0,36221
258,32,0,36952
259,32,0,37388
260,32,0,37727
261,32,0,38424
262,32,0,39003
263,32,0,39727
264,32,0,40015
265,32,0,40565
266,32,0,41148
267,32,0,41829
268,32,0,42321
269,32,0,42871
270,32,0,43828
271,32,0,44462
272,32,0,45133
