Vth_T ,6bit_Vth,VinDac,#1
0,31,0,1
1,31,0,5
2,31,0,7
3,31,0,6
4,31,0,2
5,31,0,7
6,31,0,5
7,31,0,4
8,31,0,10
9,31,0,7
10,31,0,8
11,31,0,10
12,31,0,8
13,31,0,11
14,31,0,9
15,31,0,5
16,31,0,17
17,31,0,11
18,31,0,8
19,31,0,13
20,31,0,17
21,31,0,18
22,31,0,22
23,31,0,19
24,31,0,21
25,31,0,21
26,31,0,26
27,31,0,27
28,31,0,26
29,31,0,42
30,31,0,41
31,31,0,48
32,31,0,54
33,31,0,45
34,31,0,73
35,31,0,70
36,31,0,81
37,31,0,92
38,31,0,76
39,31,0,121
40,31,0,119
41,31,0,151
42,31,0,133
43,31,0,156
44,31,0,181
45,31,0,164
46,31,0,202
47,31,0,210
48,31,0,205
49,31,0,259
50,31,0,256
51,31,0,261
52,31,0,273
53,31,0,356
54,31,0,320
55,31,0,345
56,31,0,382
57,31,0,402
58,31,0,416
59,31,0,425
60,31,0,465
61,31,0,495
62,31,0,511
63,31,0,562
64,31,0,582
65,31,0,623
66,31,0,611
67,31,0,663
68,31,0,690
69,31,0,738
70,31,0,723
71,31,0,771
72,31,0,822
73,31,0,840
74,31,0,862
75,31,0,912
76,31,0,912
77,31,0,948
78,31,0,978
79,31,0,988
80,31,0,1051
81,31,0,1067
82,31,0,1133
83,31,0,1111
84,31,0,1157
85,31,0,1182
86,31,0,1195
87,31,0,1251
88,31,0,1285
89,31,0,1282
90,31,0,1304
91,31,0,1332
92,31,0,1383
93,31,0,1381
94,31,0,1435
95,31,0,1448
96,31,0,1467
97,31,0,1488
98,31,0,1543
99,31,0,1551
100,31,0,1556
101,31,0,1605
102,31,0,1599
103,31,0,1582
104,31,0,1622
105,31,0,1604
106,31,0,1667
107,31,0,1687
108,31,0,1725
109,31,0,1708
110,31,0,1732
111,31,0,1744
112,31,0,1764
113,31,0,1798
114,31,0,1795
115,31,0,1781
116,31,0,1805
117,31,0,1842
118,31,0,1830
119,31,0,1820
120,31,0,1854
121,31,0,1877
122,31,0,1861
123,31,0,1920
124,31,0,1899
125,31,0,1914
126,31,0,1931
127,31,0,1904
128,31,0,1914
129,31,0,1951
130,31,0,1937
131,31,0,1924
132,31,0,1958
133,31,0,1968
134,31,0,1959
135,31,0,1948
136,31,0,1975
137,31,0,1933
138,31,0,1996
139,31,0,1972
140,31,0,1977
141,31,0,1994
142,31,0,1997
143,31,0,2027
144,31,0,1982
145,31,0,2007
146,31,0,2024
147,31,0,2000
148,31,0,2001
149,31,0,2022
150,31,0,2048
151,31,0,2028
152,31,0,2033
153,31,0,2040
154,31,0,2021
155,31,0,2063
156,31,0,2049
157,31,0,2056
158,31,0,2071
159,31,0,2073
160,31,0,2091
161,31,0,2070
162,31,0,2070
163,31,0,2072
164,31,0,2077
165,31,0,2076
166,31,0,2116
167,31,0,2078
168,31,0,2136
169,31,0,2130
170,31,0,2133
171,31,0,2119
172,31,0,2162
173,31,0,2164
174,31,0,2166
175,31,0,2161
176,31,0,2185
177,31,0,2186
178,31,0,2171
179,31,0,2208
180,31,0,2196
181,31,0,2207
182,31,0,2224
183,31,0,2230
184,31,0,2237
185,31,0,2244
186,31,0,2234
187,31,0,2257
188,31,0,2267
189,31,0,2277
190,31,0,2279
191,31,0,2286
192,31,0,2297
193,31,0,2303
194,31,0,2302
195,31,0,2309
196,31,0,2307
197,31,0,2300
198,31,0,2330
199,31,0,2330
200,31,0,2322
201,31,0,2335
202,31,0,2341
203,31,0,2347
204,31,0,2350
205,31,0,2355
206,31,0,2351
207,31,0,2354
208,31,0,2360
209,31,0,2355
210,31,0,2358
211,31,0,2362
212,31,0,2363
213,31,0,2360
214,31,0,2359
215,31,0,2364
216,31,0,2365
217,31,0,2363
218,31,0,2364
219,31,0,2364
220,31,0,2367
221,31,0,2366
222,31,0,2366
223,31,0,2367
224,31,0,2366
225,31,0,2364
226,31,0,2367
227,31,0,2367
228,31,0,2366
229,31,0,2369
230,31,0,2367
231,31,0,2367
232,31,0,2366
233,31,0,2367
234,31,0,2368
235,31,0,2367
236,31,0,2368
237,31,0,2368
238,31,0,2369
239,31,0,2367
240,31,0,2370
241,31,0,2368
242,31,0,2368
243,31,0,2367
244,31,0,2367
245,31,0,2368
246,31,0,2369
247,31,0,2368
248,31,0,2371
249,31,0,2372
250,31,0,2371
251,31,0,2375
252,31,0,2368
253,31,0,2369
254,31,0,2373
255,31,0,2370
256,31,0,2367
257,31,0,2373
258,31,0,2375
259,31,0,2375
260,31,0,2374
261,31,0,2374
262,31,0,2371
263,31,0,2370
264,31,0,2378
265,31,0,2375
266,31,0,2377
267,31,0,2374
268,31,0,2375
269,31,0,2378
270,31,0,2383
271,31,0,2379
272,31,0,2386
273,31,0,2378
274,31,0,2390
275,31,0,2395
276,31,0,2382
277,31,0,2399
278,31,0,2393
279,31,0,2400
280,31,0,2406
281,31,0,2397
282,31,0,2398
283,31,0,2407
284,31,0,2409
285,31,0,2403
286,31,0,2408
287,31,0,2410
288,31,0,2428
289,31,0,2447
290,31,0,2427
291,31,0,2431
292,31,0,2438
293,31,0,2477
294,31,0,2473
295,31,0,2511
296,31,0,2534
297,31,0,2545
298,31,0,2573
299,31,0,2627
300,31,0,2663
301,31,0,2739
302,31,0,2761
303,31,0,2872
304,31,0,2943
305,31,0,3045
306,31,0,3096
307,31,0,3273
308,31,0,3439
309,31,0,3529
310,31,0,3681
311,31,0,3784
312,31,0,3942
313,31,0,4249
314,31,0,4336
315,31,0,4562
316,31,0,4739
317,31,0,4985
318,31,0,5258
319,31,0,5498
320,31,0,5741
321,31,0,5922
322,31,0,6340
323,31,0,6577
324,31,0,6788
325,31,0,7289
326,31,0,7731
327,31,0,8068
328,31,0,8499
329,31,0,8961
330,31,0,9479
331,31,0,9995
332,31,0,10610
333,31,0,11283
334,31,0,11883
335,31,0,12586
336,31,0,13116
337,31,0,13998
338,31,0,14716
339,31,0,15602
340,31,0,16381
341,31,0,17460
342,31,0,18547
343,31,0,19660
344,31,0,20567
345,31,0,21627
346,31,0,22589
347,31,0,23902
348,31,0,25164
349,31,0,26630
350,31,0,27927
351,31,0,29339
352,31,0,31600
353,31,0,33659
354,31,0,35280
355,31,0,37716
356,31,0,39953
357,31,0,42323
358,31,0,45488
359,31,0,48507
360,31,0,51477
361,31,0,55801
362,31,0,58994
363,31,0,64052
364,31,0,68840
365,31,0,73250
366,31,0,79156
367,31,0,85032
368,31,0,90325
369,31,0,98438
370,31,0,105012
371,31,0,113027
372,31,0,119111
373,31,0,127848
374,31,0,135096
375,31,0,143837
376,31,0,148999
377,31,0,159123
378,31,0,165385
379,31,0,171743
380,31,0,176566
381,31,0,183542
382,31,0,186932
383,31,0,190516
384,31,0,195298
385,31,0,196878
386,31,0,197291
387,31,0,196733
388,31,0,194545
389,31,0,191925
390,31,0,188937
391,31,0,184355
392,31,0,179191
393,31,0,171970
394,31,0,164256
395,31,0,154090
396,31,0,143630
397,31,0,131495
398,31,0,119794
399,31,0,106685
400,31,0,95789
401,31,0,83336
402,31,0,71729
403,31,0,60034
404,31,0,50561
405,31,0,41087
406,31,0,32880
407,31,0,25747
408,31,0,20819
409,31,0,15934
410,31,0,12202
