Vth_T ,6bit_Vth,VinDac,#1
0,0,0,10661
1,0,0,10573
2,0,0,10602
3,0,0,10616
4,0,0,10829
5,0,0,10709
6,0,0,10737
7,0,0,10809
8,0,0,10840
9,0,0,10869
10,0,0,10938
11,0,0,10905
12,0,0,10848
13,0,0,10967
14,0,0,10952
15,0,0,10966
16,0,0,11031
17,0,0,11081
18,0,0,11156
19,0,0,11196
20,0,0,11140
21,0,0,11235
22,0,0,11202
23,0,0,11270
24,0,0,11234
25,0,0,11282
26,0,0,11326
27,0,0,11345
28,0,0,11387
29,0,0,11409
30,0,0,11397
31,0,0,11443
32,0,0,11524
33,0,0,11507
34,0,0,11491
35,0,0,11555
36,0,0,11573
37,0,0,11587
38,0,0,11655
39,0,0,11617
40,0,0,11693
41,0,0,11665
42,0,0,11764
43,0,0,11702
44,0,0,11768
45,0,0,11812
46,0,0,11766
47,0,0,11734
48,0,0,11837
49,0,0,11882
50,0,0,11911
51,0,0,11883
52,0,0,11905
53,0,0,11977
54,0,0,11984
55,0,0,12061
56,0,0,11967
57,0,0,12064
58,0,0,12055
59,0,0,12062
60,0,0,12154
61,0,0,12175
62,0,0,12167
63,0,0,12217
64,0,0,12280
65,0,0,12304
66,0,0,12338
67,0,0,12433
68,0,0,12532
69,0,0,12467
70,0,0,12494
71,0,0,12515
72,0,0,12634
73,0,0,12618
74,0,0,12707
75,0,0,12713
76,0,0,12791
77,0,0,12828
78,0,0,12887
79,0,0,12933
80,0,0,12997
81,0,0,13017
82,0,0,13148
83,0,0,13153
84,0,0,13171
85,0,0,13255
86,0,0,13339
87,0,0,13321
88,0,0,13321
89,0,0,13449
90,0,0,13519
91,0,0,13566
92,0,0,13684
93,0,0,13758
94,0,0,13782
95,0,0,13806
96,0,0,13867
97,0,0,13846
98,0,0,13952
99,0,0,14033
100,0,0,14064
101,0,0,14156
102,0,0,14125
103,0,0,14287
104,0,0,14364
105,0,0,14367
106,0,0,14440
107,0,0,14561
108,0,0,14592
109,0,0,14682
110,0,0,14676
111,0,0,14787
112,0,0,14815
113,0,0,14928
114,0,0,14988
115,0,0,15041
116,0,0,15081
117,0,0,15178
118,0,0,15236
119,0,0,15359
120,0,0,15459
121,0,0,15508
122,0,0,15623
123,0,0,15710
124,0,0,15735
125,0,0,15901
126,0,0,15934
127,0,0,16063
128,0,0,16163
129,0,0,16302
130,0,0,16291
