Vth_T ,6bit_Vth,VinDac,#1
0,0,0,1097
1,0,0,1145
2,0,0,1166
3,0,0,1156
4,0,0,1140
5,0,0,1176
6,0,0,1187
7,0,0,1215
8,0,0,1242
9,0,0,1254
10,0,0,1278
11,0,0,1244
12,0,0,1300
13,0,0,1330
14,0,0,1339
15,0,0,1334
16,0,0,1340
17,0,0,1348
18,0,0,1362
19,0,0,1368
20,0,0,1435
21,0,0,1443
22,0,0,1422
23,0,0,1444
24,0,0,1454
25,0,0,1464
26,0,0,1496
27,0,0,1563
28,0,0,1571
29,0,0,1549
30,0,0,1625
31,0,0,1636
32,0,0,1611
33,0,0,1653
34,0,0,1660
35,0,0,1720
36,0,0,1682
37,0,0,1743
38,0,0,1712
39,0,0,1761
40,0,0,1744
41,0,0,1788
42,0,0,1797
43,0,0,1830
44,0,0,1853
45,0,0,1823
46,0,0,1872
47,0,0,1820
48,0,0,1887
49,0,0,1861
50,0,0,1887
51,0,0,1887
52,0,0,1910
53,0,0,1888
54,0,0,1922
55,0,0,1943
56,0,0,1942
57,0,0,1966
58,0,0,1962
59,0,0,1995
60,0,0,1966
61,0,0,1986
62,0,0,1986
63,0,0,2015
64,0,0,1991
65,0,0,2004
66,0,0,2023
67,0,0,2029
68,0,0,2046
69,0,0,1999
70,0,0,2009
71,0,0,2080
72,0,0,2067
73,0,0,2040
74,0,0,2062
75,0,0,2058
76,0,0,2042
77,0,0,2070
78,0,0,2059
79,0,0,2083
80,0,0,2062
81,0,0,2081
82,0,0,2095
83,0,0,2107
84,0,0,2098
85,0,0,2100
86,0,0,2107
87,0,0,2119
88,0,0,2090
89,0,0,2117
90,0,0,2111
91,0,0,2146
92,0,0,2121
93,0,0,2128
94,0,0,2172
95,0,0,2131
96,0,0,2157
97,0,0,2160
98,0,0,2157
99,0,0,2147
100,0,0,2153
101,0,0,2146
102,0,0,2158
103,0,0,2184
104,0,0,2174
105,0,0,2165
106,0,0,2165
107,0,0,2180
108,0,0,2191
109,0,0,2198
110,0,0,2205
111,0,0,2190
112,0,0,2204
113,0,0,2205
114,0,0,2196
115,0,0,2203
116,0,0,2230
117,0,0,2225
118,0,0,2230
119,0,0,2224
120,0,0,2231
121,0,0,2234
122,0,0,2237
123,0,0,2260
124,0,0,2242
125,0,0,2264
126,0,0,2238
127,0,0,2236
128,0,0,2250
129,0,0,2263
130,0,0,2263
131,0,0,2261
132,0,0,2277
133,0,0,2280
134,0,0,2274
135,0,0,2291
136,0,0,2285
137,0,0,2275
138,0,0,2296
139,0,0,2292
140,0,0,2299
141,0,0,2311
142,0,0,2315
143,0,0,2332
144,0,0,2337
145,0,0,2341
146,0,0,2335
147,0,0,2333
148,0,0,2327
149,0,0,2336
150,0,0,2335
151,0,0,2341
152,0,0,2344
153,0,0,2349
154,0,0,2364
155,0,0,2368
156,0,0,2361
157,0,0,2364
158,0,0,2370
159,0,0,2372
160,0,0,2364
161,0,0,2375
162,0,0,2377
163,0,0,2377
164,0,0,2375
165,0,0,2399
166,0,0,2405
167,0,0,2404
168,0,0,2416
169,0,0,2408
170,0,0,2422
171,0,0,2416
172,0,0,2432
173,0,0,2448
174,0,0,2445
175,0,0,2479
176,0,0,2463
177,0,0,2497
178,0,0,2477
179,0,0,2494
180,0,0,2493
181,0,0,2497
182,0,0,2515
183,0,0,2523
184,0,0,2570
185,0,0,2529
186,0,0,2529
187,0,0,2535
188,0,0,2548
189,0,0,2558
190,0,0,2542
191,0,0,2550
192,0,0,2562
193,0,0,2555
194,0,0,2566
195,0,0,2585
196,0,0,2575
197,0,0,2561
198,0,0,2566
199,0,0,2563
200,0,0,2556
201,0,0,2582
202,0,0,2553
203,0,0,2551
204,0,0,2564
205,0,0,2583
206,0,0,2549
207,0,0,2542
208,0,0,2544
209,0,0,2543
210,0,0,2536
211,0,0,2495
212,0,0,2527
213,0,0,2548
214,0,0,2527
215,0,0,2547
216,0,0,2555
217,0,0,2586
218,0,0,2585
219,0,0,2582
220,0,0,2622
221,0,0,2650
222,0,0,2653
223,0,0,2691
224,0,0,2729
225,0,0,2762
226,0,0,2786
227,0,0,2880
228,0,0,2899
229,0,0,2946
230,0,0,2971
231,0,0,3018
232,0,0,3062
233,0,0,3171
234,0,0,3247
235,0,0,3315
236,0,0,3410
237,0,0,3520
238,0,0,3632
239,0,0,3709
240,0,0,3873
241,0,0,4045
242,0,0,4170
243,0,0,4355
244,0,0,4488
245,0,0,4684
246,0,0,4835
247,0,0,5072
248,0,0,5300
249,0,0,5454
250,0,0,5666
251,0,0,5990
252,0,0,6228
253,0,0,6436
254,0,0,6753
255,0,0,7089
256,0,0,7172
257,0,0,7379
258,0,0,7643
259,0,0,8068
260,0,0,8419
261,0,0,8632
262,0,0,9039
263,0,0,9460
264,0,0,9786
265,0,0,10134
266,0,0,10591
267,0,0,11112
268,0,0,11457
269,0,0,11969
270,0,0,12452
271,0,0,12978
272,0,0,13724
273,0,0,14306
274,0,0,14961
275,0,0,15715
276,0,0,16285
277,0,0,16875
278,0,0,17682
279,0,0,18594
280,0,0,19141
281,0,0,20157
282,0,0,21080
283,0,0,22006
284,0,0,22821
285,0,0,23896
286,0,0,25083
287,0,0,26225
288,0,0,27828
289,0,0,29218
290,0,0,30828
291,0,0,32431
292,0,0,34254
293,0,0,36319
294,0,0,38812
295,0,0,40933
296,0,0,43505
297,0,0,46703
298,0,0,50211
299,0,0,53001
300,0,0,56953
301,0,0,61459
302,0,0,67004
303,0,0,72125
304,0,0,80635
305,0,0,86582
306,0,0,94780
307,0,0,102224
308,0,0,109412
309,0,0,116894
310,0,0,125901
311,0,0,132851
312,0,0,141146
313,0,0,148846
314,0,0,156155
315,0,0,162954
316,0,0,168410
317,0,0,172996
318,0,0,175812
319,0,0,177887
320,0,0,177770
321,0,0,175462
322,0,0,169974
323,0,0,162806
324,0,0,153831
325,0,0,139935
326,0,0,123524
327,0,0,106754
328,0,0,89571
329,0,0,73833
330,0,0,57914
331,0,0,43998
332,0,0,33709
333,0,0,23526
334,0,0,16711
335,0,0,11296
336,0,0,7084
337,0,0,3903
338,0,0,1985
339,0,0,1048
340,0,0,635
341,0,0,312
342,0,0,159
343,0,0,70
344,0,0,47
345,0,0,18
346,0,0,4
347,0,0,1
348,0,0,2
349,0,0,0
350,0,0,0
351,0,0,0
352,0,0,0
