Vth_T ,6bit_Vth,VinDac,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22,#23,#24,#25,#26,#27,#28,#29,#30,#31,#32,#33,#34,#35,#36,#37,#38,#39,#40,#41,#42,#43,#44,#45,#46,#47,#48,#49,#50,#51,#52,#53,#54,#55,#56,#57,#58,#59,#60,#61,#62,#63,#64,#65,#66,#67,#68,#69,#70,#71,#72,#73,#74,#75,#76,#77,#78,#79,#80,#81,#82,#83,#84,#85,#86,#87,#88,#89,#90,#91,#92,#93,#94,#95,#96,#97,#98,#99,#100
297,0,0,3986,0,0,0,6250,2221,2154,0,4766,0,1138,9,0,6500,0,0,8,0,4729,0,3432,8,2733,2216,0,0,1769,0,1809,0,0,0,0,3646,0,0,0,0,0,5777,0,5062,0,0,4408,0,3607,0,4876,0,8,9,9646,1425,0,8,0,4518,2998,12434,0,8,0,5324,0,16,2839,0,4296,2582,7394,884,32,3713,0,0,0,0,8639,0,0,0,0,0,0,5048,0,0,4068,2932,0,8282,3717,0,9,0,0,0,968,6069
298,0,0,0,4238,2820,9,29,3256,7142,4326,1782,9,0,5527,5845,10932,5880,0,4641,0,1797,5864,4411,2114,927,9,640,0,3078,6126,8,3072,8332,956,0,3513,9,3188,3436,9,0,5428,2759,5459,10,9,4900,18,792,0,0,848,19,6015,0,9,2963,920,9,3746,3205,7383,647,1261,2161,10209,4733,0,1984,4559,6548,4898,685,5641,466,10,5003,5137,0,1445,4177,10,0,8,0,449,9,8164,0,14028,8,18,8,0,0,10,1792,1237,7022,4081,9,9
299,0,0,6988,1439,11486,7696,3590,17,5919,3877,4708,2603,28,902,0,0,1295,12053,5303,17,9155,19,5439,4750,1067,2189,0,0,340,4708,9,3909,5686,0,5946,32,2910,10932,3099,901,9,6903,774,0,2504,14696,11875,1343,1764,5111,4701,2848,9,4498,0,4089,4505,10,5147,3539,2717,5913,20,17,1333,0,5061,0,2892,19,0,5552,981,791,5040,0,0,0,0,0,4129,1815,1691,5572,4842,828,0,9711,6184,6473,4098,0,9213,1745,8,7517,0,16,801,3724,18,5503
300,0,0,7574,10221,13014,5415,18,8679,6233,6047,1157,0,8,4684,18148,1475,20999,4154,0,15323,5971,61,37,5959,10587,11282,5273,15640,7006,4997,5565,10,6678,9,10,14343,10969,18731,5012,0,4629,12022,19,0,8387,1124,17,8,10,4279,14700,9,0,5950,550,6939,36,10930,0,3501,1689,1950,0,5198,3716,9283,3448,8,6153,7861,2565,3340,5496,6478,1563,17030,7264,6603,18120,7321,0,2597,5660,7644,7790,12610,10,6720,6433,4770,10285,6511,1416,6646,5865,0,5164,2324,665,8363,4211,13118
301,0,0,11929,16994,3173,12257,5948,18,0,4834,4122,7507,3437,3513,7436,3579,5579,17815,2356,8779,16094,12685,8243,8014,1617,10341,5078,2900,13356,640,17,6105,6074,5000,7550,9495,11463,15255,6830,3411,4873,5382,10542,7448,8670,3747,7394,15536,5967,18249,18395,14715,21245,9724,10160,1467,6474,8640,5207,19750,7581,1981,9275,9197,16,5754,2679,9129,2032,3448,10131,18364,3746,5229,7462,14133,27,19925,9617,18546,9076,33962,9126,9536,14263,10560,9272,17077,3143,12800,3154,15525,9381,13099,11176,18956,10765,19989,4880,9413,19522,10699
302,0,0,5715,17582,10493,25705,4922,16661,6732,14437,16843,23511,16641,3605,7145,22801,8293,10611,5905,22569,702,29984,12797,12276,10044,12186,27237,4047,15045,1886,21972,34251,10590,9302,5959,8073,7209,9246,14218,1589,9159,24828,15745,25497,19249,4994,20343,8892,26431,13272,16202,15917,12715,13456,17651,8509,6662,24458,8852,17243,7365,29943,1788,16202,7609,20023,12285,39434,8062,13514,21371,4613,9110,18405,26284,40022,2502,7548,13290,7769,43446,23006,21137,8831,9349,10411,18003,20277,2520,39666,31051,21606,14277,5999,12568,23885,4637,1489,4315,15107,19837,22221
303,0,0,10218,14220,31601,6290,38939,29126,28943,21234,22751,16473,22279,18565,26309,37034,20036,29503,29660,16252,27239,11762,20581,17136,17004,20731,21638,14008,16881,37898,13892,37261,20203,34516,40360,26968,40250,22249,28068,33780,24795,29768,4851,14326,19897,15616,18829,38470,19065,9189,21032,25204,18624,46406,27568,10534,13519,21315,18565,29135,17622,10694,38482,27969,32609,27956,36797,12563,21231,31453,21450,10307,18577,47216,28344,18693,23468,10944,11310,22726,19719,28471,16000,16811,17120,16574,19613,30474,31017,14152,27546,18629,16967,20875,16884,40906,33117,31199,14012,27765,6758,9067
304,0,0,25821,21836,21023,38232,31580,31515,31512,48598,43986,24189,44772,36252,29977,38470,25258,19510,45870,23825,46681,45358,38118,25712,22605,14770,41521,34768,20780,48735,21121,21515,22568,27672,36744,31239,38570,27453,32344,32428,15188,14436,61413,34399,22411,16877,50499,30437,22787,32860,52443,38520,31852,32095,12600,41884,29415,22359,29748,26713,35978,44348,25692,29318,43092,27454,23209,47115,62330,37295,31127,49489,26949,33039,47900,39010,20431,13496,43170,28396,18149,17786,23139,29683,9385,17620,39349,20633,47154,25838,36725,29211,27024,57695,34269,36563,27547,16840,17287,35681,45610,28564
305,0,0,33119,16455,35908,35432,10849,44476,47202,55005,57050,43642,48856,39928,68226,46903,43513,57387,62652,70357,53091,49427,32155,44911,48668,33355,27398,65224,67053,56330,42664,42942,31111,43559,51688,68520,42232,35232,23754,29880,34246,47568,63715,63209,45622,41357,27159,44924,43563,60171,41428,47108,62906,38339,42740,37326,58105,43910,49369,51202,47483,53794,70111,41997,38235,62044,61346,30840,50303,37199,41642,53666,27945,52389,63177,43196,40450,40148,49961,53213,45667,17643,31065,43027,37770,43625,39672,50627,36398,50849,38709,34832,37816,69640,53395,66956,55361,62691,43061,50801,37126,33948
306,0,0,64783,68088,80001,64740,52584,79947,81216,53553,78842,72285,91937,63585,43140,65271,52234,72333,77774,125107,97889,52429,69545,94805,78868,59539,121044,78677,101912,59370,86386,80922,58426,82213,90934,85856,99251,51288,79740,107655,89394,93820,122804,72311,141720,101925,84550,74317,62420,101741,66024,82803,74378,72426,64778,104689,81020,111590,112078,76019,78756,71963,68621,70698,59245,101871,87598,83898,96131,117946,100678,62836,120849,69246,94468,99470,102640,55680,95265,79065,105419,83101,65592,67084,103018,82962,79538,60966,76696,93271,93164,62351,42815,82290,70235,57336,79943,91015,81340,100923,65735,60353
307,0,0,82575,92921,82514,83048,100573,95228,66517,78556,100914,119775,106178,94907,98028,55449,133791,86763,106396,101890,115731,87529,81101,94714,127763,70822,103212,104933,80570,61846,114989,104108,112224,60709,109832,93324,118447,97672,99309,109723,94068,53902,61534,90633,83352,91501,47846,101861,89424,89767,91560,113961,71416,100135,107655,128380,90139,70830,103489,84933,73045,66432,93022,123891,77670,80305,93493,110149,88998,102900,107849,117007,89347,77188,81910,125112,99412,82311,70138,123747,111791,83720,58028,114768,96782,117148,86184,88555,93933,106041,88872,74545,88576,92767,85756,78549,78024,66310,83858,74966,68871,94192
308,0,0,160858,91381,131835,95807,89608,153256,117814,95620,144377,113478,120466,130442,112488,121108,96560,100206,117145,107000,132213,88254,86785,137958,172533,102849,164174,126940,120007,110096,89634,164480,99740,140240,135574,106927,110788,126786,132224,97303,131929,121539,96077,137440,133696,89871,125550,106021,126506,119017,115443,107588,92049,126496,130085,106615,85523,151473,92925,140064,116495,108974,102190,100440,138642,77136,123346,108264,105315,116581,122707,134283,129798,113228,104841,134371,130893,140407,155575,84663,101347,136355,139076,121296,130938,139021,120749,94975,103879,107959,106779,103133,130651,106811,112453,101525,134071,104329,114448,162241,124485,82317
309,0,0,200715,162253,158655,197239,147066,151708,174877,197005,131243,190363,186698,136531,148857,169708,176545,183793,174155,144239,137606,143192,157225,167734,181459,210359,143888,190136,153913,170366,144808,224777,179059,166100,186826,143446,126717,165003,145046,169282,145722,181662,212534,134493,175093,160970,174787,202387,143470,205095,160551,227910,149795,190963,143520,171192,138901,171917,192576,130291,198406,165367,173907,180277,216504,149246,174426,160054,122897,160225,153274,178487,149774,173889,142591,144788,171539,178719,168922,167911,186307,174205,179494,199535,181035,174196,253345,169565,185621,146893,142216,147974,147783,180051,158355,158335,171655,169236,149763,194874,137436,163572
